,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,4677718811.2806,4677.718811,4.677719,460602144,0.099328,31.746386,31.845714,256,10,4,4,16,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
1,BCSR OMP,O2,10980302953.001322,10980.302953,10.980303,1842408576,0.168463,31.566457,31.73492,1024,10,4,4,64,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
2,BCSR OMP,O2,12489368684.66206,12489.368685,12.489369,3684817152,0.298723,31.555569,31.854292,2048,10,4,4,128,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
3,BCSR OMP,O2,1994979089.454698,1994.979089,1.994979,460602144,0.271637,31.497323,31.76896,256,10,4,4,16,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
4,BCSR OMP,O2,8461577918.197176,8461.577918,8.461578,1842408576,0.223658,31.36949,31.593148,1024,10,4,4,64,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
5,BCSR OMP,O2,12026106103.288445,12026.106103,12.026106,3684817152,0.307497,31.617928,31.925425,2048,10,4,4,128,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
6,BCSR OMP,O2,3331548419.950631,3331.54842,3.331548,460602144,0.212221,31.915533,32.127754,256,10,4,4,16,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
7,BCSR OMP,O2,9670556877.49384,9670.556877,9.670557,1842408576,0.250219,31.671929,31.922149,1024,10,4,4,64,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
8,BCSR OMP,O2,6941694640.808989,6941.694641,6.941695,3684817152,0.58812,31.23095,31.81907,2048,10,4,4,128,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
9,BCSR OMP,O2,2758864252.55978,2758.864253,2.758864,460602144,0.168391,31.621518,31.789909,256,10,2,2,16,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
10,BCSR OMP,O2,4745537653.849188,4745.537654,4.745538,460602144,0.097903,32.02476,32.122663,256,10,16,16,16,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
11,BCSR OMP,O2,3142153364.018228,3142.153364,3.142153,1842408576,0.62347,31.243242,31.866712,1024,10,2,2,64,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
12,BCSR OMP,O2,9441134439.125702,9441.134439,9.441134,1842408576,0.195688,31.982439,32.178127,1024,10,16,16,64,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
13,BCSR OMP,O2,5718678501.627145,5718.678502,5.718679,3684817152,0.727247,31.589671,32.316918,2048,10,2,2,128,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
14,BCSR OMP,O2,9402103379.976707,9402.10338,9.402103,3684817152,0.555703,31.346783,31.902486,2048,10,16,16,128,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
15,BCSR OMP,O2,3132872841.781931,3132.872842,3.132873,460602144,0.16437,31.76896,31.93333,256,10,2,2,16,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
16,BCSR OMP,O2,3246108508.575738,3246.108509,3.246109,460602144,0.269176,31.295733,31.564909,256,10,16,16,16,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
17,BCSR OMP,O2,2980336317.986721,2980.336318,2.980336,1842408576,0.689713,31.634715,32.324428,1024,10,2,2,64,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
18,BCSR OMP,O2,11119553526.91364,11119.553527,11.119554,1842408576,0.168754,32.130297,32.299052,1024,10,16,16,64,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
19,BCSR OMP,O2,7756762332.222615,7756.762332,7.756762,3684817152,0.485019,31.993456,32.478475,2048,10,2,2,128,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
20,BCSR OMP,O2,9759308605.05572,9759.308605,9.759309,3684817152,0.487523,31.630541,32.118064,2048,10,16,16,128,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
21,BCSR OMP,O2,1724988492.502566,1724.988493,1.724988,460602144,0.309778,31.094665,31.404443,256,10,2,2,16,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
22,BCSR OMP,O2,2662687042.065238,2662.687042,2.662687,460602144,0.335713,32.149051,32.484764,256,10,16,16,16,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
23,BCSR OMP,O2,2243949243.563288,2243.949244,2.243949,1842408576,0.859281,31.6963,32.555581,1024,10,2,2,64,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
24,BCSR OMP,O2,10376411155.057566,10376.411155,10.376411,1842408576,0.194718,32.061508,32.256226,1024,10,16,16,64,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
25,BCSR OMP,O2,5951828727.832258,5951.828728,5.951829,3684817152,0.648694,31.822743,32.471437,2048,10,2,2,128,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
26,BCSR OMP,O2,11278653506.388851,11278.653506,11.278654,3684817152,0.336137,31.884419,32.220556,2048,10,16,16,128,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
