Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,3949470.800953,3.949471,0.003949,28787634,11.559542,31.608540,43.168082,256,10,2,2,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,3941759.695504,3.941760,0.003942,28787634,9.819360,31.766726,41.586086,256,10,4,4,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,2940978.156630,2.940978,0.002941,28787634,13.410486,32.009909,45.420395,256,10,16,16,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,4100818.540762,4.100819,0.004101,28787634,11.546514,31.732364,43.278878,1024,10,2,2,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,3644327.956565,3.644328,0.003644,28787634,10.967682,31.645546,42.613228,1024,10,4,4,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,4025326.005897,4.025326,0.004025,28787634,9.369058,31.949370,41.318428,1024,10,16,16,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,2786405.168321,2.786405,0.002786,28787634,14.686632,31.711243,46.397875,2048,10,2,2,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,3969532.012469,3.969532,0.003970,28787634,10.390381,31.057348,41.447729,2048,10,4,4,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,2648132.607120,2.648133,0.002648,28787634,14.373096,31.987768,46.360864,2048,10,16,16,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6505372.650218,6.505373,0.006505,28787634,6.760291,31.568400,38.328691,256,10,2,2,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6335971.625312,6.335972,0.006336,28787634,6.516654,31.324130,37.840784,256,10,4,4,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6056505.541410,6.056506,0.006057,28787634,6.612776,31.869744,38.482520,256,10,16,16,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,5330679.465662,5.330679,0.005331,28787634,8.513237,31.492779,40.006016,1024,10,2,2,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,5873245.761083,5.873246,0.005873,28787634,7.093645,31.485281,38.578926,1024,10,4,4,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6069494.847884,6.069495,0.006069,28787634,5.706994,31.940128,37.647122,1024,10,16,16,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6712275.592513,6.712276,0.006712,28787634,6.420132,31.562383,37.982515,2048,10,2,2,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,5727323.229776,5.727323,0.005727,28787634,7.006672,31.414591,38.421263,2048,10,4,4,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,3513522.620907,3.513523,0.003514,28787634,8.841501,32.525503,41.367004,2048,10,16,16,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,8206368.271049,8.206368,0.008206,28787634,4.857192,31.184147,36.041339,256,10,2,2,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,8087477.668025,8.087478,0.008087,28787634,5.174478,31.250884,36.425362,256,10,4,4,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,7595191.979099,7.595192,0.007595,28787634,5.993416,31.976831,37.970247,256,10,16,16,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,8473453.839687,8.473454,0.008473,28787634,4.560460,31.565530,36.125990,1024,10,2,2,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,7807654.613143,7.807655,0.007808,28787634,5.711181,31.426792,37.137973,1024,10,4,4,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,7854386.990190,7.854387,0.007854,28787634,5.871437,31.980667,37.852103,1024,10,16,16,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,7720286.603414,7.720287,0.007720,28787634,5.930526,31.382123,37.312649,2048,10,2,2,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,7400829.890016,7.400830,0.007401,28787634,6.142699,31.561474,37.704173,2048,10,4,4,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6904071.163488,6.904071,0.006904,28787634,6.096087,32.058984,38.155071,2048,10,16,16,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
