,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR Serial,O2,201787839.431678,201.787839,0.201788,28787634,0.142663,12.169326,12.311989,256,10,2,2,16,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
1,BCSR Serial,O2,185631923.463004,185.631923,0.185632,28787634,0.155081,12.256524,12.411605,256,10,4,4,16,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
2,BCSR Serial,O2,109973752.633754,109.973753,0.109974,28787634,0.26177,12.575816,12.837586,256,10,16,16,16,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
3,BCSR Serial,O2,80087722.484098,80.087722,0.080088,28787634,0.359455,12.260142,12.619596,1024,10,2,2,64,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
4,BCSR Serial,O2,69870547.5801,69.870548,0.069871,28787634,0.412015,12.280284,12.692299,1024,10,4,4,64,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
5,BCSR Serial,O2,40028998.066312,40.028998,0.040029,28787634,0.71917,12.436074,13.155244,1024,10,16,16,64,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
6,BCSR Serial,O2,44729096.257125,44.729096,0.044729,28787634,0.64365,12.031946,12.675596,2048,10,2,2,128,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
7,BCSR Serial,O2,37730360.74011,37.730361,0.03773,28787634,0.762985,12.270253,13.033238,2048,10,4,4,128,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
8,BCSR Serial,O2,21940895.392246,21.940895,0.021941,28787634,1.312054,12.417262,13.729316,2048,10,16,16,128,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
9,BCSR Serial,O2,3094101822.310496,3094.101822,3.094102,460602144,0.148866,11.905315,12.054181,256,10,2,2,16,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
10,BCSR Serial,O2,1944096400.292449,1944.0964,1.944096,460602144,0.236928,12.238084,12.475012,256,10,16,16,16,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
11,BCSR Serial,O2,5382030747.20266,5382.030747,5.382031,1842408576,0.342331,11.878116,12.220447,1024,10,2,2,64,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
12,BCSR Serial,O2,2565907272.234076,2565.907272,2.565907,1842408576,0.718037,12.138785,12.856822,1024,10,16,16,64,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
13,BCSR Serial,O2,6171605699.237505,6171.605699,6.171606,3684817152,0.597102,11.853582,12.450684,2048,10,2,2,128,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
14,BCSR Serial,O2,3164923548.835111,3164.923549,3.164924,3684817152,1.164268,12.109181,13.273449,2048,10,16,16,128,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81
