Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_omp -t pdb1HYS,38.951549,14.599024,53.550573,0,1,1,1,1,36417,36417,2190591,0,0
csr_omp -t pdb1HYS,26.942061,14.597896,41.539957,0,1,1,1,2,36417,36417,2190591,0,0
csr_omp -t pdb1HYS,16.616534,14.808330,31.424864,0,1,1,1,4,36417,36417,2190591,0,0
csr_omp -t pdb1HYS,11.186964,14.799184,25.986148,0,1,1,1,8,36417,36417,2190591,0,0
csr_omp -t pdb1HYS,9.552496,14.847855,24.400351,0,1,1,1,16,36417,36417,2190591,0,0
csr_omp -t pdb1HYS,10.446958,15.013567,25.460525,0,1,1,1,32,36417,36417,2190591,0,0
bcsr_omp 1 x 1 -t 1,13.756085,128.076742,141.832827,0,1,1,1,1,36417,36417,2190591,0,0
bcsr_omp 1 x 1 -t 2,7.141286,128.775268,135.916554,0,1,1,1,2,36417,36417,2190591,0,0
bcsr_omp 1 x 1 -t 4,3.741089,129.628375,133.369464,0,1,1,1,4,36417,36417,2190591,0,0
bcsr_omp 1 x 1 -t 8,2.124977,129.137417,131.262394,0,1,1,1,8,36417,36417,2190591,0,0
bcsr_omp 1 x 1 -t 16,1.205698,129.910410,131.116108,0,1,1,1,16,36417,36417,2190591,0,0
bcsr_omp 1 x 1 -t 32,0.813219,127.993689,128.806908,0,1,1,1,32,36417,36417,2190591,0,0
bcsr_omp 2 x 2 -t 1,15.949552,127.413203,143.362755,0,1,2,2,1,36417,36417,2190591,0,0
bcsr_omp 2 x 2 -t 2,11.101001,126.465627,137.566628,0,1,2,2,2,36417,36417,2190591,0,0
bcsr_omp 2 x 2 -t 4,5.952732,126.624242,132.576974,0,1,2,2,4,36417,36417,2190591,0,0
bcsr_omp 2 x 2 -t 8,2.356308,127.007073,129.363381,0,1,2,2,8,36417,36417,2190591,0,0
bcsr_omp 2 x 2 -t 16,1.394031,130.087753,131.481784,0,1,2,2,16,36417,36417,2190591,0,0
bcsr_omp 2 x 2 -t 32,0.888823,126.304850,127.193673,0,1,2,2,32,36417,36417,2190591,0,0
bcsr_omp 4 x 4 -t 1,20.694869,133.843924,154.538793,0,1,4,4,1,36417,36417,2190591,0,0
bcsr_omp 4 x 4 -t 2,10.999745,130.352998,141.352743,0,1,4,4,2,36417,36417,2190591,0,0
bcsr_omp 4 x 4 -t 4,5.582635,128.724509,134.307144,0,1,4,4,4,36417,36417,2190591,0,0
bcsr_omp 4 x 4 -t 8,3.039583,132.519331,135.558914,0,1,4,4,8,36417,36417,2190591,0,0
bcsr_omp 4 x 4 -t 16,1.849474,130.781768,132.631242,0,1,4,4,16,36417,36417,2190591,0,0
bcsr_omp 4 x 4 -t 32,1.128717,128.899373,130.028090,0,1,4,4,32,36417,36417,2190591,0,0
bcsr_omp 8 x 8 -t 1,28.161967,127.608075,155.770042,0,1,8,8,1,36417,36417,2190591,0,0
bcsr_omp 8 x 8 -t 2,14.925567,129.010951,143.936518,0,1,8,8,2,36417,36417,2190591,0,0
bcsr_omp 8 x 8 -t 4,7.506994,127.637690,135.144684,0,1,8,8,4,36417,36417,2190591,0,0
bcsr_omp 8 x 8 -t 8,4.091459,128.159713,132.251172,0,1,8,8,8,36417,36417,2190591,0,0
bcsr_omp 8 x 8 -t 16,2.446955,129.880616,132.327571,0,1,8,8,16,36417,36417,2190591,0,0
bcsr_omp 8 x 8 -t 32,1.544781,127.173120,128.717901,0,1,8,8,32,36417,36417,2190591,0,0
bcsr_omp 16 x 16 -t 1,40.552747,126.629297,167.182044,0,1,16,16,1,36417,36417,2190591,0,0
bcsr_omp 16 x 16 -t 2,21.352773,126.522262,147.875035,0,1,16,16,2,36417,36417,2190591,0,0
bcsr_omp 16 x 16 -t 4,10.789324,127.441109,138.230433,0,1,16,16,4,36417,36417,2190591,0,0
bcsr_omp 16 x 16 -t 8,5.965668,126.674142,132.639810,0,1,16,16,8,36417,36417,2190591,0,0
bcsr_omp 16 x 16 -t 16,3.644187,127.244031,130.888218,0,1,16,16,16,36417,36417,2190591,0,0
bcsr_omp 16 x 16 -t 32,2.231498,137.139115,139.370613,0,1,16,16,32,36417,36417,2190591,0,0
bcsr_omp 32 x 32 -t 1,62.931975,126.035306,188.967281,0,1,32,32,1,36417,36417,2190591,0,0
bcsr_omp 32 x 32 -t 2,35.879005,127.958227,163.837232,0,1,32,32,2,36417,36417,2190591,0,0
bcsr_omp 32 x 32 -t 4,17.155843,128.443773,145.599616,0,1,32,32,4,36417,36417,2190591,0,0
bcsr_omp 32 x 32 -t 8,9.361838,126.648746,136.010584,0,1,32,32,8,36417,36417,2190591,0,0
bcsr_omp 32 x 32 -t 16,6.251914,127.192125,133.444039,0,1,32,32,16,36417,36417,2190591,0,0
bcsr_omp 32 x 32 -t 32,3.960906,126.372716,130.333622,0,1,32,32,32,36417,36417,2190591,0,0
