Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_serial,36.145398,14.659859,50.805257,0,1,1,1,-1,36417,36417,2190591,0,0
csr_omp -t pdb1HYS,38.951549,14.599024,53.550573,0,1,1,1,1,36417,36417,2190591,0,0
csr_omp -t pdb1HYS,26.942061,14.597896,41.539957,0,1,1,1,2,36417,36417,2190591,0,0
csr_omp -t pdb1HYS,16.616534,14.808330,31.424864,0,1,1,1,4,36417,36417,2190591,0,0
csr_omp -t pdb1HYS,11.186964,14.799184,25.986148,0,1,1,1,8,36417,36417,2190591,0,0
csr_omp -t pdb1HYS,9.552496,14.847855,24.400351,0,1,1,1,16,36417,36417,2190591,0,0
csr_omp -t pdb1HYS,10.446958,15.013567,25.460525,0,1,1,1,32,36417,36417,2190591,0,0
ell_serial,143.822207,15.348683,159.170890,0,1,1,1,-1,36417,36417,2190591,184,60
ell_omp -t 1,151.793792,15.077769,166.871561,0,1,1,1,1,36417,36417,2190591,184,60
ell_omp -t 2,112.125661,15.158639,127.284300,0,1,1,1,2,36417,36417,2190591,184,60
ell_omp -t 4,57.523238,16.241240,73.764478,0,1,1,1,4,36417,36417,2190591,184,60
ell_omp -t 8,29.805361,15.319207,45.124568,0,1,1,1,8,36417,36417,2190591,184,60
ell_omp -t 16,18.846081,15.305583,34.151664,0,1,1,1,16,36417,36417,2190591,184,60
ell_omp -t 32,14.187798,15.341704,29.529502,0,1,1,1,32,36417,36417,2190591,184,60
