Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_transpose_omp_O2,11.056074,108.983687,120.039761,14.431406,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_collapse_O2,68.976393,110.688044,179.664437,2.313119,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_omp_O2,1.788815,109.632826,111.421641,89.386583,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_O2,10.730728,109.524315,120.255044,14.871837,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_collapse_O2,40.233007,109.404488,149.637495,3.965768,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_omp_O2,1.112502,108.972985,110.085487,143.515447,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_O2,10.675904,109.009754,119.685658,14.949600,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_collapse_O2,25.860993,109.863919,135.724912,6.169654,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_omp_O2,1.206993,109.577914,110.784907,132.239805,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_O2,11.091581,108.068886,119.160467,16.854663,0,10,2,2,16,8,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_collapse_O2,46.457277,107.156809,153.614086,4.025441,0,10,2,2,16,8,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_omp_O2,1.677922,107.826101,109.504023,111.861802,0,10,2,2,16,8,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_O2,10.993197,107.805152,118.798349,17.009077,0,10,2,2,16,16,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_collapse_O2,28.396795,107.463306,135.860101,6.582976,0,10,2,2,16,16,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_omp_O2,1.118777,107.836358,108.955135,167.293173,0,10,2,2,16,16,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_O2,10.928945,107.395989,118.324934,17.188054,0,10,2,2,16,32,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_collapse_O2,19.549262,107.716365,127.265627,9.563913,0,10,2,2,16,32,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_omp_O2,1.194796,107.778448,108.973244,156.581416,0,10,2,2,16,32,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_O2,bcsr_transpose_omp_collapse_O2,bcsr_transpose_omp_omp_O2,bcsr_transpose_omp_O2,bcsr_transpose_omp_collapse_O2,bcsr_transpose_omp_omp_O2,bcsr_transpose_omp_O2,bcsr_transpose_omp_collapse_O2,bcsr_transpose_omp_omp_O2,bcsr_transpose_omp_O2,bcsr_transpose_omp_collapse_O2,bcsr_transpose_omp_omp_O2,bcsr_transpose_omp_O2,bcsr_transpose_omp_collapse_O2,bcsr_transpose_omp_omp_O2,bcsr_transpose_omp_O2,bcsr_transpose_omp_collapse_O2,bcsr_transpose_omp_omp_O2,
