Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,1520722538.131010,1520.722538,1.520723,4381182,0.007400,2.589647,2.597047,144,10,2,2,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,1077245799.137603,1077.245799,1.077246,4381182,0.012264,2.618118,2.630382,144,10,4,4,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,75721837.547420,75.721838,0.075722,4381182,0.058059,2.618601,2.676660,144,10,16,16,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,522999645.071093,522.999645,0.523000,4381182,0.017764,2.524303,2.542067,576,10,2,2,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,374428764.549750,374.428765,0.374429,4381182,0.023063,2.551884,2.574946,576,10,4,4,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,123508957.522918,123.508958,0.123509,4381182,0.060811,2.579334,2.640145,576,10,16,16,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,231191207.245796,231.191207,0.231191,4381182,0.039207,2.569672,2.608879,1152,10,2,2,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,87649017.161469,87.649017,0.087649,4381182,0.072613,2.564492,2.637105,1152,10,4,4,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,98750362.978089,98.750363,0.098750,4381182,0.063245,2.614192,2.677437,1152,10,16,16,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,2320993817.701818,2320.993818,2.320994,4381182,0.008859,2.549805,2.558664,144,10,2,2,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,1438929414.315258,1438.929414,1.438929,4381182,0.014915,2.520121,2.535036,144,10,4,4,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,503848939.708739,503.848940,0.503849,4381182,0.028770,2.607898,2.636668,144,10,16,16,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,804727407.352686,804.727407,0.804727,4381182,0.017109,2.566275,2.583383,576,10,2,2,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,651530018.597840,651.530019,0.651530,4381182,0.016689,2.584854,2.601543,576,10,4,4,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,234654837.021108,234.654837,0.234655,4381182,0.038410,2.631813,2.670223,576,10,16,16,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,334824713.479413,334.824713,0.334825,4381182,0.033546,2.558130,2.591676,1152,10,2,2,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,187507547.997842,187.507548,0.187508,4381182,0.049640,2.579200,2.628840,1152,10,4,4,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,51175768.628234,51.175769,0.051176,4381182,0.089466,2.646614,2.736080,1152,10,16,16,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,3688115247.351869,3688.115247,3.688115,4381182,0.009384,2.530357,2.539741,144,10,2,2,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,3000856501.272206,3000.856501,3.000857,4381182,0.008757,2.596040,2.604797,144,10,4,4,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,1503415383.254748,1503.415383,1.503415,4381182,0.012109,2.660104,2.672213,144,10,16,16,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,1447612569.484362,1447.612569,1.447613,4381182,0.014873,2.573332,2.588205,576,10,2,2,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,1033631121.539045,1033.631122,1.033631,4381182,0.017245,2.573006,2.590251,576,10,4,4,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,472732334.297921,472.732334,0.472732,4381182,0.024362,2.641815,2.666177,576,10,16,16,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,908087752.297826,908.087752,0.908088,4381182,0.016347,2.602026,2.618372,1152,10,2,2,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,310363140.210233,310.363140,0.310363,4381182,0.034170,2.600448,2.634618,1152,10,4,4,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,67276765.912266,67.276766,0.067277,4381182,0.069977,2.658391,2.728368,1152,10,16,16,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
