Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,720940674.848596,720.940675,0.720941,70098912,0.143851,7.218138,7.361989,144,10,2,2,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,1642046277.380155,1642.046277,1.642046,70098912,0.099530,7.308773,7.408303,144,10,16,16,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,2869331713.778441,2869.331714,2.869332,280395648,0.144376,7.269409,7.413785,576,10,2,2,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,6980536758.963575,6980.536759,6.980537,280395648,0.041524,7.268605,7.310129,576,10,16,16,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,6299230433.741694,6299.230434,6.299230,560791296,0.091013,7.267800,7.358812,1152,10,2,2,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,8163229463.607265,8163.229464,8.163229,560791296,0.095254,7.325999,7.421253,1152,10,16,16,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,824389612.144954,824.389612,0.824390,70098912,0.126712,7.270647,7.397359,144,10,2,2,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,2609470942.759157,2609.470943,2.609471,70098912,0.122273,7.346597,7.468870,144,10,16,16,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,4070474835.597369,4070.474836,4.070475,280395648,0.070212,7.307319,7.377530,576,10,2,2,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,6802394316.399638,6802.394316,6.802394,280395648,0.055574,7.413433,7.469007,576,10,16,16,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,5251201323.437765,5251.201323,5.251201,560791296,0.121838,7.254769,7.376607,1152,10,2,2,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,8244627728.175382,8244.627728,8.244628,560791296,0.086064,7.337572,7.423636,1152,10,16,16,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,705912222.088496,705.912222,0.705912,70098912,0.169620,7.249984,7.419604,144,10,2,2,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,1940584841.066689,1940.584841,1.940585,70098912,0.100066,7.347468,7.447534,144,10,16,16,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,2477248895.052913,2477.248895,2.477249,280395648,0.259651,7.304187,7.563838,576,10,2,2,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,6016519825.165375,6016.519825,6.016520,280395648,0.068808,7.352593,7.421401,576,10,16,16,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,5331025077.230919,5331.025077,5.331025,560791296,0.148836,7.244353,7.393190,1152,10,2,2,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP,O2,9188370250.637049,9188.370251,9.188370,560791296,0.090468,7.365261,7.455729,1152,10,16,16,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
