Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,2696579.756990,2.696580,0.002697,4381182,3.294008,7.397188,10.691196,144,10,2,2,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,3463128.794518,3.463129,0.003463,4381182,1.919095,7.443277,9.362372,144,10,4,4,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,2819124.261657,2.819124,0.002819,4381182,2.130296,7.485511,9.615807,144,10,16,16,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,3755566.764187,3.755567,0.003756,4381182,1.848494,7.396495,9.244989,576,10,2,2,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,3570433.500103,3.570434,0.003570,4381182,1.698716,7.413809,9.112524,576,10,4,4,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,2264512.896778,2.264513,0.002265,4381182,3.138905,7.492881,10.631786,576,10,16,16,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,2506337.788476,2.506338,0.002506,4381182,2.968976,7.409650,10.378626,1152,10,2,2,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,4034536.695861,4.034537,0.004035,4381182,1.814325,7.463199,9.277524,1152,10,4,4,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,3435670.589837,3.435671,0.003436,4381182,2.070402,7.492267,9.562669,1152,10,16,16,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,5269481.926518,5.269482,0.005269,4381182,1.315737,7.395487,8.711224,144,10,2,2,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,6365385.630262,6.365386,0.006365,4381182,1.224281,7.414720,8.639001,144,10,4,4,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,5570461.814803,5.570462,0.005570,4381182,1.190064,7.513405,8.703468,144,10,16,16,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,4091107.184562,4.091107,0.004091,4381182,1.668952,7.425388,9.094340,576,10,2,2,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,6186768.801508,6.186769,0.006187,4381182,1.176200,7.411237,8.587437,576,10,4,4,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,5442487.464673,5.442487,0.005442,4381182,1.165243,7.531286,8.696529,576,10,16,16,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,5421384.445102,5.421384,0.005421,4381182,1.268456,7.403886,8.672342,1152,10,2,2,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,5805556.552885,5.805557,0.005806,4381182,0.967887,7.411911,8.379798,1152,10,4,4,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,4909753.887559,4.909754,0.004910,4381182,1.372120,7.518601,8.890721,1152,10,16,16,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,6747959.116466,6.747959,0.006748,4381182,1.121590,7.425384,8.546974,144,10,2,2,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,6303517.655521,6.303518,0.006304,4381182,1.187538,7.417279,8.604817,144,10,4,4,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,7766057.604888,7.766058,0.007766,4381182,1.036889,7.512438,8.549327,144,10,16,16,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,8003561.388505,8.003561,0.008004,4381182,1.045950,7.407733,8.453683,576,10,2,2,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,6228744.420556,6.228744,0.006229,4381182,1.090100,7.428612,8.518712,576,10,4,4,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,7581433.513462,7.581434,0.007581,4381182,0.987508,7.520419,8.507927,576,10,16,16,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,5920247.115630,5.920247,0.005920,4381182,1.137659,7.459349,8.597008,1152,10,2,2,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,7703924.748909,7.703925,0.007704,4381182,1.038434,7.424859,8.463293,1152,10,4,4,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,6658740.599870,6.658741,0.006659,4381182,1.056674,7.518738,8.575412,1152,10,16,16,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
