Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O3,0.013853,2.371893,2.385746,5.065943,0,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
csr_serial_O3,0.015079,2.369792,2.384871,10592.815633,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
ell_serial_O3,0.046498,2.645849,2.692347,10502.994513,0,10,1,1,16,-1,488040823152,36417,36417,2190591,184,60,753,27
bcsr_serial_O3,0.024339,112.114770,112.139109,6559.307058,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
bell_serial_O3,0.013850,2.623852,2.637702,5.067697,2141161,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
bcsr_serial_O3,0.021312,108.961146,108.982459,8777.528164,0,10,2,2,16,-1,186933413712,36417,36417,2190591,184,60,753,27
bell_serial_O3,0.015147,2.660543,2.675690,4.643789,2141161,10,2,2,16,-1,70098912,36417,36417,2190591,184,60,753,27
bcsr_serial_O3,0.024270,107.733042,107.757312,10145.675188,0,10,4,4,16,-1,245955173952,36417,36417,2190591,184,60,753,27
bell_serial_O3,0.016132,2.628374,2.644506,4.354770,2141161,10,4,4,16,-1,70098912,36417,36417,2190591,184,60,753,27
bcsr_serial_O3,0.043604,108.639860,108.683464,11334.501310,0,10,16,16,16,-1,493714300416,36417,36417,2190591,184,60,753,27
bell_serial_O3,0.018509,2.608878,2.627387,3.792180,2141161,10,16,16,16,-1,70098912,36417,36417,2190591,184,60,753,27
