Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_serial,57.544826,23.538340,81.083166,0,1,1,1,-1,46835,46835,2374001,0,0
csr_omp -t rma10,61.499065,23.449576,84.948641,0,1,1,1,1,46835,46835,2374001,0,0
csr_omp -t rma10,35.023882,23.503414,58.527296,0,1,1,1,2,46835,46835,2374001,0,0
csr_omp -t rma10,27.795968,25.352020,53.147988,0,1,1,1,4,46835,46835,2374001,0,0
csr_omp -t rma10,19.070217,23.956511,43.026728,0,1,1,1,8,46835,46835,2374001,0,0
csr_omp -t rma10,16.331387,23.924204,40.255591,0,1,1,1,16,46835,46835,2374001,0,0
csr_omp -t rma10,15.778236,23.918435,39.696671,0,1,1,1,32,46835,46835,2374001,0,0
bcsr_serial 1 x 1,18.609929,204.762946,223.372875,0,1,1,1,-1,46835,46835,2374001,0,0
bcsr_serial 2 x 2,23.625760,202.300416,225.926176,0,1,2,2,-1,46835,46835,2374001,0,0
bcsr_serial 4 x 4,32.777448,204.038887,236.816335,0,1,4,4,-1,46835,46835,2374001,0,0
bcsr_serial 8 x 8,47.242444,206.338369,253.580813,0,1,8,8,-1,46835,46835,2374001,0,0
bcsr_serial 16 x 16,75.038159,199.923458,274.961617,0,1,16,16,-1,46835,46835,2374001,0,0
bcsr_serial 32 x 32,130.126594,199.505839,329.632433,0,1,32,32,-1,46835,46835,2374001,0,0
bcsr_omp 1 x 1 -t 1,19.432472,202.620367,222.052839,0,1,1,1,1,46835,46835,2374001,0,0
bcsr_omp 1 x 1 -t 2,10.486045,201.559688,212.045733,0,1,1,1,2,46835,46835,2374001,0,0
bcsr_omp 1 x 1 -t 4,6.710028,206.945469,213.655497,0,1,1,1,4,46835,46835,2374001,0,0
bcsr_omp 1 x 1 -t 8,3.876675,200.963669,204.840344,0,1,1,1,8,46835,46835,2374001,0,0
bcsr_omp 1 x 1 -t 16,2.224195,200.724045,202.948240,0,1,1,1,16,46835,46835,2374001,0,0
bcsr_omp 1 x 1 -t 32,1.502613,201.828255,203.330868,0,1,1,1,32,46835,46835,2374001,0,0
bcsr_omp 2 x 2 -t 1,24.614805,205.234941,229.849746,0,1,2,2,1,46835,46835,2374001,0,0
bcsr_omp 2 x 2 -t 2,13.746739,205.829405,219.576144,0,1,2,2,2,46835,46835,2374001,0,0
bcsr_omp 2 x 2 -t 4,8.260822,206.273037,214.533859,0,1,2,2,4,46835,46835,2374001,0,0
bcsr_omp 2 x 2 -t 8,4.805528,202.432351,207.237879,0,1,2,2,8,46835,46835,2374001,0,0
bcsr_omp 2 x 2 -t 16,2.723565,202.701677,205.425242,0,1,2,2,16,46835,46835,2374001,0,0
bcsr_omp 2 x 2 -t 32,1.705510,204.958593,206.664103,0,1,2,2,32,46835,46835,2374001,0,0
bcsr_omp 4 x 4 -t 1,34.194455,208.375127,242.569582,0,1,4,4,1,46835,46835,2374001,0,0
