Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,300614495.556369,300.614496,0.300614,4748002,0.025374,3.666699,3.692073,6112,10,2,2,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,277768945.776850,277.768946,0.277769,4748002,0.022911,3.642313,3.665224,6112,10,4,4,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,154505456.626693,154.505457,0.154505,4748002,0.039233,3.811334,3.850567,6112,10,16,16,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,144824059.504116,144.824060,0.144824,4748002,0.040069,3.634037,3.674106,24448,10,2,2,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,100993233.229158,100.993233,0.100993,4748002,0.055483,3.665673,3.721156,24448,10,4,4,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,62535356.761019,62.535357,0.062535,4748002,0.081309,3.778464,3.859773,24448,10,16,16,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,53079318.289733,53.079318,0.053079,4748002,0.091167,3.656194,3.747361,48896,10,2,2,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,81586599.415599,81.586599,0.081587,4748002,0.064173,3.685760,3.749933,48896,10,4,4,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,32824633.796604,32.824634,0.032825,4748002,0.147160,3.808922,3.956082,48896,10,16,16,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,810774623.925897,810.774624,0.810775,4748002,0.012550,3.662417,3.674967,6112,10,2,2,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,479499569.908164,479.499570,0.479500,4748002,0.019192,3.684756,3.703948,6112,10,4,4,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,246036231.051624,246.036231,0.246036,4748002,0.028260,3.801113,3.829373,6112,10,16,16,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,222243316.035096,222.243316,0.222243,4748002,0.033407,3.667911,3.701319,24448,10,2,2,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,192492582.347319,192.492582,0.192493,4748002,0.031411,3.680523,3.711934,24448,10,4,4,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,86723715.894280,86.723716,0.086724,4748002,0.061918,3.829397,3.891315,24448,10,16,16,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,76101237.320310,76.101237,0.076101,4748002,0.066209,3.669590,3.735799,48896,10,2,2,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,62951655.104807,62.951655,0.062952,4748002,0.079355,3.690179,3.769534,48896,10,4,4,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,44356648.476078,44.356648,0.044357,4748002,0.109410,3.829735,3.939145,48896,10,16,16,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,263944025.481084,263.944025,0.263944,4748002,0.023999,3.654078,3.678077,6112,10,2,2,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,374296626.955914,374.296627,0.374297,4748002,0.020596,3.683289,3.703885,6112,10,4,4,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,117262753.578643,117.262754,0.117263,4748002,0.042771,3.851535,3.894306,6112,10,16,16,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,122282588.508534,122.282589,0.122283,4748002,0.042251,3.695055,3.737306,24448,10,2,2,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,117054799.249548,117.054799,0.117055,4748002,0.045813,3.674504,3.720317,24448,10,4,4,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,66680451.964293,66.680452,0.066680,4748002,0.073179,3.810116,3.883295,24448,10,16,16,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,89532181.714943,89.532182,0.089532,4748002,0.055454,3.698583,3.754037,48896,10,2,2,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,80401611.634971,80.401612,0.080402,4748002,0.063025,3.731489,3.794514,48896,10,4,4,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,51927075.728459,51.927076,0.051927,4748002,0.094662,3.801757,3.896419,48896,10,16,16,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
