,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,403142053.102666,403.142053,0.403142,4748002,0.017503,3.593101,3.610604,6112,10,2,2,16,8,46835,46835,2374001,4748002,145,50,2.0,772,27
1,BCSR OMP,O2,235985839.546966,235.98584,0.235986,4748002,0.030433,3.544446,3.574879,6112,10,4,4,16,8,46835,46835,2374001,4748002,145,50,2.0,772,27
2,BCSR OMP,O2,108437643.325266,108.437643,0.108438,4748002,0.049735,3.664655,3.71439,6112,10,16,16,16,8,46835,46835,2374001,4748002,145,50,2.0,772,27
3,BCSR OMP,O2,157817627.431774,157.817627,0.157818,4748002,0.0377,3.576333,3.614033,24448,10,2,2,64,8,46835,46835,2374001,4748002,145,50,2.0,772,27
4,BCSR OMP,O2,93363937.411141,93.363937,0.093364,4748002,0.056168,3.600878,3.657046,24448,10,4,4,64,8,46835,46835,2374001,4748002,145,50,2.0,772,27
5,BCSR OMP,O2,45916732.017615,45.916732,0.045917,4748002,0.107016,3.721997,3.829013,24448,10,16,16,64,8,46835,46835,2374001,4748002,145,50,2.0,772,27
6,BCSR OMP,O2,117562568.836992,117.562569,0.117563,4748002,0.048118,3.609428,3.657546,48896,10,2,2,128,8,46835,46835,2374001,4748002,145,50,2.0,772,27
7,BCSR OMP,O2,59043031.527929,59.043032,0.059043,4748002,0.087708,3.532504,3.620212,48896,10,4,4,128,8,46835,46835,2374001,4748002,145,50,2.0,772,27
8,BCSR OMP,O2,32172881.067941,32.172881,0.032173,4748002,0.151606,3.720176,3.871782,48896,10,16,16,128,8,46835,46835,2374001,4748002,145,50,2.0,772,27
9,BCSR OMP,O2,701538825.076046,701.538825,0.701539,4748002,0.01487,3.58325,3.59812,6112,10,2,2,16,16,46835,46835,2374001,4748002,145,50,2.0,772,27
10,BCSR OMP,O2,531926894.464703,531.926894,0.531927,4748002,0.016749,3.604053,3.620802,6112,10,4,4,16,16,46835,46835,2374001,4748002,145,50,2.0,772,27
11,BCSR OMP,O2,207548922.641015,207.548923,0.207549,4748002,0.033205,3.702114,3.73532,6112,10,16,16,16,16,46835,46835,2374001,4748002,145,50,2.0,772,27
12,BCSR OMP,O2,266670540.308283,266.67054,0.266671,4748002,0.025235,3.587034,3.612269,24448,10,2,2,64,16,46835,46835,2374001,4748002,145,50,2.0,772,27
13,BCSR OMP,O2,161434635.370482,161.434635,0.161435,4748002,0.039005,3.571569,3.610574,24448,10,4,4,64,16,46835,46835,2374001,4748002,145,50,2.0,772,27
14,BCSR OMP,O2,67666331.567601,67.666332,0.067666,4748002,0.076977,3.680082,3.757059,24448,10,16,16,64,16,46835,46835,2374001,4748002,145,50,2.0,772,27
15,BCSR OMP,O2,144742173.55954,144.742174,0.144742,4748002,0.040174,3.521681,3.561855,48896,10,2,2,128,16,46835,46835,2374001,4748002,145,50,2.0,772,27
