Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,437988031.868012,437.988032,0.437988,4748002,0.024841,11.149388,11.174228,6112,10,2,2,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,410417841.445736,410.417841,0.410418,4748002,0.022714,11.156494,11.179208,6112,10,4,4,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,136550156.770437,136.550157,0.136550,4748002,0.044353,11.321229,11.365582,6112,10,16,16,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,220272742.049886,220.272742,0.220273,4748002,0.036010,11.068446,11.104456,24448,10,2,2,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,144600592.335953,144.600592,0.144601,4748002,0.038065,11.157784,11.195849,24448,10,4,4,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,83580481.732137,83.580482,0.083580,4748002,0.058419,11.300443,11.358862,24448,10,16,16,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,130416544.010289,130.416544,0.130417,4748002,0.044664,11.183635,11.228299,48896,10,2,2,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,135232963.051517,135.232963,0.135233,4748002,0.047294,11.151775,11.199069,48896,10,4,4,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,56933151.986562,56.933152,0.056933,4748002,0.094920,11.330118,11.425038,48896,10,16,16,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,586075197.666506,586.075198,0.586075,4748002,0.023470,11.217017,11.240487,6112,10,2,2,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,503160822.395728,503.160822,0.503161,4748002,0.025137,11.160982,11.186118,6112,10,4,4,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,260186086.181281,260.186086,0.260186,4748002,0.030447,11.331041,11.361488,6112,10,16,16,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,266147396.793875,266.147397,0.266147,4748002,0.029628,11.132815,11.162443,24448,10,2,2,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,265556506.120858,265.556506,0.265557,4748002,0.032463,11.149053,11.181516,24448,10,4,4,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,116776831.862630,116.776832,0.116777,4748002,0.050039,11.325884,11.375923,24448,10,16,16,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,122203764.857917,122.203765,0.122204,4748002,0.040387,11.130429,11.170816,48896,10,2,2,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,142468312.954481,142.468313,0.142468,4748002,0.048309,11.212136,11.260444,48896,10,4,4,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,86604752.785354,86.604753,0.086605,4748002,0.064467,11.316178,11.380645,48896,10,16,16,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,388476912.388830,388.476912,0.388477,4748002,0.026886,11.137450,11.164336,6112,10,2,2,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,645728097.074575,645.728097,0.645728,4748002,0.018285,11.147250,11.165535,6112,10,4,4,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,249773577.072690,249.773577,0.249774,4748002,0.031361,11.327306,11.358667,6112,10,16,16,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,233436612.447552,233.436612,0.233437,4748002,0.027881,11.120724,11.148605,24448,10,2,2,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,135289767.299045,135.289767,0.135290,4748002,0.036818,11.176858,11.213676,24448,10,4,4,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,161028765.183410,161.028765,0.161029,4748002,0.038231,11.327574,11.365805,24448,10,16,16,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,265545881.116951,265.545881,0.265546,4748002,0.027539,11.146929,11.174468,48896,10,2,2,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,243597181.949918,243.597182,0.243597,4748002,0.027440,11.170275,11.197715,48896,10,4,4,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,103732660.833084,103.732661,0.103733,4748002,0.049310,11.311520,11.360831,48896,10,16,16,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
