Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,1556086.265679,1.556086,0.001556,4748002,3.053821,3.682481,6.736302,6112,10,2,2,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,1587067.889119,1.587068,0.001587,4748002,2.993459,3.684146,6.677605,6112,10,4,4,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,1624255.444827,1.624255,0.001624,4748002,2.923742,3.818784,6.742526,6112,10,16,16,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,1531647.501269,1.531648,0.001532,4748002,3.100958,3.699663,6.800621,24448,10,2,2,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,1553979.780559,1.553980,0.001554,4748002,3.057442,3.675821,6.733263,24448,10,4,4,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,1537350.810183,1.537351,0.001537,4748002,3.090934,3.794776,6.885710,24448,10,16,16,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,1577930.870289,1.577931,0.001578,4748002,3.009589,3.676757,6.686347,48896,10,2,2,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,1540709.884380,1.540710,0.001541,4748002,3.082181,3.676288,6.758468,48896,10,4,4,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,1506588.124549,1.506588,0.001507,4748002,3.153315,3.803077,6.956392,48896,10,16,16,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,2956918.082735,2.956918,0.002957,4748002,1.613465,3.658100,5.271565,6112,10,2,2,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,2969865.706034,2.969866,0.002970,4748002,1.606991,3.681303,5.288294,6112,10,4,4,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,2948121.462926,2.948121,0.002948,4748002,1.612107,3.797290,5.409397,6112,10,16,16,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,3043105.009763,3.043105,0.003043,4748002,1.562559,3.677131,5.239690,24448,10,2,2,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,2957879.750827,2.957880,0.002958,4748002,1.610365,3.670492,5.280857,24448,10,4,4,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,2935433.700657,2.935434,0.002935,4748002,1.618474,3.790921,5.409395,24448,10,16,16,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,2874344.359218,2.874344,0.002874,4748002,1.654492,3.675037,5.329529,48896,10,2,2,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,2908591.210022,2.908591,0.002909,4748002,1.633244,3.697510,5.330754,48896,10,4,4,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,2694859.071139,2.694859,0.002695,4748002,1.762525,3.813658,5.576183,48896,10,16,16,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,5822561.535392,5.822562,0.005823,4748002,0.816732,3.669285,4.486017,6112,10,2,2,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,5899931.612349,5.899932,0.005900,4748002,0.805362,3.608244,4.413606,6112,10,4,4,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,5576463.507801,5.576464,0.005576,4748002,0.853621,3.805680,4.659301,6112,10,16,16,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,5355935.888207,5.355936,0.005356,4748002,0.886840,3.690864,4.577704,24448,10,2,2,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,5523798.733035,5.523799,0.005524,4748002,0.860576,3.698475,4.559051,24448,10,4,4,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,5341900.561300,5.341901,0.005342,4748002,0.890960,3.804826,4.695786,24448,10,16,16,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,5261749.714963,5.261750,0.005262,4748002,0.902576,3.665135,4.567711,48896,10,2,2,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,5170173.019440,5.170173,0.005170,4748002,0.918442,3.683640,4.602082,48896,10,4,4,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP Transpose,O2,5152514.510946,5.152515,0.005153,4748002,0.922366,3.806804,4.729170,48896,10,16,16,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
