Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O2,0.017744,25.561471,25.579215,4.355202,1703782,10,1,1,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,114.103802,25.637399,139.741201,0.000666,1703782,10,1,1,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.015421,25.297215,25.312636,5.119175,1703782,10,1,1,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,57.784643,25.499172,83.283815,0.001315,1703782,10,1,1,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.009607,24.195254,24.204861,8.522723,1703782,10,1,1,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,30.355393,25.485493,55.840886,0.002503,1703782,10,1,1,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.018390,25.504128,25.522518,4.175649,1703782,10,2,2,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,122.739323,25.491398,148.230721,0.000619,1703782,10,2,2,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.014914,24.098979,24.113893,5.308967,1703782,10,2,2,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,62.150599,25.465529,87.616128,0.001222,1703782,10,2,2,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.010144,24.134861,24.145005,8.500011,1703782,10,2,2,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,32.895852,25.446468,58.342320,0.002309,1703782,10,2,2,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.020246,25.490424,25.510670,3.804460,1703782,10,4,4,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,137.746015,25.528187,163.274202,0.000552,1703782,10,4,4,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.013186,24.107535,24.120721,5.972272,1703782,10,4,4,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,69.730522,25.478690,95.209212,0.001089,1703782,10,4,4,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.009707,24.102089,24.111797,8.291091,1703782,10,4,4,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,36.784898,25.460799,62.245697,0.002065,1703782,10,4,4,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.024010,25.005853,25.029863,3.270290,1703782,10,16,16,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,162.142562,25.557941,187.700503,0.000469,1703782,10,16,16,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.014912,24.127124,24.142036,5.165553,1703782,10,16,16,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,82.121233,25.520386,107.641619,0.000925,1703782,10,16,16,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.012334,24.183395,24.195729,6.818225,1703782,10,16,16,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,43.481555,25.486559,68.968114,0.001747,1703782,10,16,16,16,32,75968032,46835,46835,2374001,145,50,772,27
