Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_gpu_O2,0.017421,3.355939,3.373360,8.745024,3078073,10,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
csr_omp_gpu_O2,0.015092,3.359910,3.375002,25868.512025,0,10,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
ell_omp_gpu_O2,0.027328,3.678801,3.706129,30223.823237,0,10,1,1,16,-1,636119995250,46835,46835,2374001,145,50,772,27
bcsr_omp_gpu_O2,0.024036,173.442830,173.466867,15003.206511,0,10,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
bell_omp_gpu_O2,0.016962,3.576198,3.593160,7.653119,1703782,10,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_omp_gpu_O2,0.025709,169.897529,169.923239,15316.812049,0,10,2,2,16,-1,287196716160,46835,46835,2374001,145,50,772,27
bell_omp_gpu_O2,0.015739,3.666733,3.682472,10.338665,1703782,10,2,2,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_omp_gpu_O2,0.026928,169.954354,169.981282,20911.303662,0,10,4,4,16,-1,406688163040,46835,46835,2374001,145,50,772,27
bell_omp_gpu_O2,0.021266,3.653679,3.674945,5.034758,1703782,10,4,4,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_omp_gpu_O2,0.035594,170.244715,170.280309,32912.372199,0,10,16,16,16,-1,957694069760,46835,46835,2374001,145,50,772,27
bell_omp_gpu_O2,0.020886,3.680058,3.700944,5.079415,1703782,10,16,16,16,-1,75968032,46835,46835,2374001,145,50,772,27
