Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O2,0.060286,25.119891,25.180177,1.260986,0,10,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
csr_serial_O2,0.067741,23.683203,23.750944,3282.725590,0,10,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
ell_serial_O2,0.124897,24.182017,24.306914,5099.788305,0,10,1,1,16,-1,636119995250,46835,46835,2374001,145,50,772,27
bcsr_serial_O2,0.070985,199.154711,199.225696,3132.670053,0,10,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
bell_serial_O2,0.059918,24.168936,24.228854,1.267866,1703782,10,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_serial_O2,0.078860,201.987603,202.066463,3643.094108,0,10,2,2,16,-1,287196716160,46835,46835,2374001,145,50,772,27
bell_serial_O2,0.063460,24.159915,24.223375,1.197102,1703782,10,2,2,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_serial_O2,0.090460,205.925812,206.016272,4497.129938,0,10,4,4,16,-1,406688163040,46835,46835,2374001,145,50,772,27
bell_serial_O2,0.068834,24.177894,24.246727,1.103649,1703782,10,4,4,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_serial_O2,0.166870,197.707425,197.874295,5740.112313,0,10,16,16,16,-1,957694069760,46835,46835,2374001,145,50,772,27
bell_serial_O2,0.075654,24.176957,24.252610,1.004163,1703782,10,16,16,16,-1,75968032,46835,46835,2374001,145,50,772,27
