Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,51995612.619894,51.995613,0.051996,6553600,0.213867,32.992745,33.206612,0,10,2,2,16,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,157037558.014506,157.037558,0.157038,6553600,0.128158,33.166718,33.294876,0,10,16,16,16,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,153674847.123438,153.674847,0.153675,26214400,0.271079,33.050744,33.321823,0,10,2,2,64,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,467037866.595841,467.037867,0.467038,26214400,0.112319,33.188931,33.301250,0,10,16,16,64,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,268884238.507787,268.884239,0.268884,52428800,0.248416,33.063337,33.311753,0,10,2,2,128,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,608825523.976425,608.825524,0.608826,52428800,0.138338,33.238194,33.376532,0,10,16,16,128,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,24435550.858728,24.435551,0.024436,6553600,0.317328,33.171703,33.489031,0,10,2,2,16,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,74841843.986549,74.841844,0.074842,6553600,0.155168,33.141114,33.296282,0,10,16,16,16,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,125890654.095304,125.890654,0.125891,26214400,0.280018,33.056076,33.336094,0,10,2,2,64,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,310979795.692969,310.979796,0.310980,26214400,0.189582,33.108296,33.297878,0,10,16,16,64,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,161383117.941116,161.383118,0.161383,52428800,0.411169,32.981401,33.392570,0,10,2,2,128,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,516875722.987674,516.875723,0.516876,52428800,0.153525,33.143674,33.297199,0,10,16,16,128,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,26957178.441414,26.957178,0.026957,6553600,0.316716,33.067055,33.383771,0,10,2,2,16,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,73059734.719731,73.059735,0.073060,6553600,0.224969,33.093543,33.318512,0,10,16,16,16,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,88801772.399834,88.801772,0.088802,26214400,0.367065,33.016073,33.383138,0,10,2,2,64,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,179737548.644002,179.737549,0.179738,26214400,0.217809,33.189378,33.407187,0,10,16,16,64,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,126393390.008386,126.393390,0.126393,52428800,0.528947,32.992049,33.520996,0,10,2,2,128,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP,O2,521060523.866817,521.060524,0.521061,52428800,0.228531,32.910271,33.138802,0,10,16,16,128,32,81920,81920,204800,409600,4,2,2.000000,0,0
