Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,22389.425640,0.022389,0.000022,409600,21.627035,32.938981,54.566016,0,10,2,2,16,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,25421.555699,0.025422,0.000025,409600,18.819944,33.581228,52.401172,0,10,4,4,16,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,23452.217341,0.023452,0.000023,409600,21.151036,33.802370,54.953406,0,10,16,16,16,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,25178.225500,0.025178,0.000025,409600,20.122212,33.561443,53.683655,0,10,2,2,64,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,22640.634113,0.022641,0.000023,409600,21.216881,33.616630,54.833511,0,10,4,4,64,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,24590.123863,0.024590,0.000025,409600,19.359656,32.714655,52.074310,0,10,16,16,64,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,25638.805306,0.025639,0.000026,409600,18.987204,32.749847,51.737051,0,10,2,2,128,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,23418.027320,0.023418,0.000023,409600,20.677093,33.315057,53.992150,0,10,4,4,128,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,26859.985162,0.026860,0.000027,409600,18.105963,33.504837,51.610800,0,10,16,16,128,8,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,40592.803165,0.040593,0.000041,409600,12.149110,33.522038,45.671148,0,10,2,2,16,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,35308.553834,0.035309,0.000035,409600,13.303075,32.792794,46.095869,0,10,4,4,16,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,35416.087459,0.035416,0.000035,409600,12.669789,33.762516,46.432305,0,10,16,16,16,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,39792.953383,0.039793,0.000040,409600,11.568301,32.124025,43.692326,0,10,2,2,64,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,40765.832631,0.040766,0.000041,409600,12.367341,32.514604,44.881945,0,10,4,4,64,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,38616.700971,0.038617,0.000039,409600,12.758097,32.182823,44.940920,0,10,16,16,64,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,37402.864579,0.037403,0.000037,409600,12.114462,32.463265,44.577727,0,10,2,2,128,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,41916.080714,0.041916,0.000042,409600,10.927777,33.258979,44.186756,0,10,4,4,128,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,35512.581046,0.035513,0.000036,409600,13.463212,33.868638,47.331849,0,10,16,16,128,16,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,52059.109529,0.052059,0.000052,409600,10.034195,32.371232,42.405427,0,10,2,2,16,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,65098.225299,0.065098,0.000065,409600,8.344667,32.654875,40.999542,0,10,4,4,16,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,64708.406834,0.064708,0.000065,409600,7.939975,32.059720,39.999695,0,10,16,16,16,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,55820.038722,0.055820,0.000056,409600,9.543407,32.617554,42.160961,0,10,2,2,64,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,49810.631737,0.049811,0.000050,409600,10.403590,32.688905,43.092495,0,10,4,4,64,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,57168.028929,0.057168,0.000057,409600,9.157595,32.522352,41.679947,0,10,16,16,64,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,58836.846050,0.058837,0.000059,409600,8.629291,32.688925,41.318216,0,10,2,2,128,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,59541.571393,0.059542,0.000060,409600,8.129042,32.437886,40.566928,0,10,4,4,128,32,81920,81920,204800,409600,4,2,2.000000,0,0
BCSR OMP Transpose,O2,56874.155768,0.056874,0.000057,409600,9.432279,32.409525,41.841804,0,10,16,16,128,32,81920,81920,204800,409600,4,2,2.000000,0,0
