Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,207548602.929599,207.548603,0.207549,17033000,0.083537,19.068320,19.151857,1447056,10,2,2,16,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,204601589.173556,204.601589,0.204602,17033000,0.084107,19.450165,19.534272,1447056,10,4,4,16,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,154509892.514305,154.509893,0.154510,17033000,0.110668,19.893554,20.004222,1447056,10,16,16,16,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,132269901.980174,132.269902,0.132270,17033000,0.129343,19.468771,19.598114,5788224,10,2,2,64,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,132041398.809660,132.041399,0.132041,17033000,0.129762,19.449997,19.579759,5788224,10,4,4,64,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,91078490.766795,91.078491,0.091078,17033000,0.187227,19.730956,19.918183,5788224,10,16,16,64,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,94666964.532864,94.666965,0.094667,17033000,0.180058,19.192396,19.372454,11576448,10,2,2,128,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,95102047.473217,95.102047,0.095102,17033000,0.179892,19.408455,19.588347,11576448,10,4,4,128,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,67034345.443441,67.034345,0.067034,17033000,0.254287,19.729387,19.983674,11576448,10,16,16,128,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,281632499.835221,281.632500,0.281632,17033000,0.061080,19.491455,19.552534,1447056,10,2,2,16,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,266233490.042899,266.233490,0.266233,17033000,0.064452,19.416353,19.480804,1447056,10,4,4,16,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,202873445.072806,202.873445,0.202873,17033000,0.084447,19.788559,19.873006,1447056,10,16,16,16,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,182052638.610325,182.052639,0.182053,17033000,0.094060,19.512939,19.606999,5788224,10,2,2,64,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,168216004.075766,168.216004,0.168216,17033000,0.101877,19.482208,19.584085,5788224,10,4,4,64,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,122860019.928112,122.860020,0.122860,17033000,0.138935,19.740545,19.879480,5788224,10,16,16,64,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,134752832.530553,134.752833,0.134753,17033000,0.126962,19.405387,19.532349,11576448,10,2,2,128,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,128793469.674073,128.793470,0.128793,17033000,0.132613,19.442962,19.575575,11576448,10,4,4,128,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,98276342.695155,98.276343,0.098276,17033000,0.173714,19.775071,19.948785,11576448,10,16,16,128,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,313445954.407159,313.445954,0.313446,17033000,0.056192,19.458396,19.514588,1447056,10,2,2,16,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,323097319.294268,323.097319,0.323097,17033000,0.054245,19.447366,19.501611,1447056,10,4,4,16,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,242967819.454046,242.967819,0.242968,17033000,0.071496,19.623059,19.694555,1447056,10,16,16,16,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,208688543.059752,208.688543,0.208689,17033000,0.083007,19.495510,19.578517,5788224,10,2,2,64,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,191231840.958333,191.231841,0.191232,17033000,0.090383,19.427488,19.517871,5788224,10,4,4,64,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,160407516.277781,160.407516,0.160408,17033000,0.107413,19.777991,19.885404,5788224,10,16,16,64,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,148028957.279566,148.028957,0.148029,17033000,0.116574,19.418896,19.535470,11576448,10,2,2,128,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,149715499.427211,149.715499,0.149715,17033000,0.115078,19.429964,19.545042,11576448,10,4,4,128,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,117417961.344327,117.417961,0.117418,17033000,0.145917,19.803952,19.949869,11576448,10,16,16,128,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
