,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,207548602.929599,207.548603,0.207549,17033000,0.083537,19.06832,19.151857,1447056,10,2,2,16,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
1,BCSR OMP,O2,204601589.173556,204.601589,0.204602,17033000,0.084107,19.450165,19.534272,1447056,10,4,4,16,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
2,BCSR OMP,O2,154509892.514305,154.509893,0.15451,17033000,0.110668,19.893554,20.004222,1447056,10,16,16,16,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
3,BCSR OMP,O2,132269901.980174,132.269902,0.13227,17033000,0.129343,19.468771,19.598114,5788224,10,2,2,64,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
4,BCSR OMP,O2,132041398.80966,132.041399,0.132041,17033000,0.129762,19.449997,19.579759,5788224,10,4,4,64,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
5,BCSR OMP,O2,91078490.766795,91.078491,0.091078,17033000,0.187227,19.730956,19.918183,5788224,10,16,16,64,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
6,BCSR OMP,O2,94666964.532864,94.666965,0.094667,17033000,0.180058,19.192396,19.372454,11576448,10,2,2,128,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
7,BCSR OMP,O2,95102047.473217,95.102047,0.095102,17033000,0.179892,19.408455,19.588347,11576448,10,4,4,128,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
8,BCSR OMP,O2,67034345.443441,67.034345,0.067034,17033000,0.254287,19.729387,19.983674,11576448,10,16,16,128,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
9,BCSR OMP,O2,281632499.835221,281.6325,0.281632,17033000,0.06108,19.491455,19.552534,1447056,10,2,2,16,16,116158,116158,8516500,17033000,3263,73,44.0,176054,419
10,BCSR OMP,O2,266233490.042899,266.23349,0.266233,17033000,0.064452,19.416353,19.480804,1447056,10,4,4,16,16,116158,116158,8516500,17033000,3263,73,44.0,176054,419
