Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,514430196.374862,514.430196,0.514430,17033000,0.034190,76.469207,76.503397,1447056,10,2,2,16,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,463263981.466518,463.263981,0.463264,17033000,0.048507,77.017764,77.066271,1447056,10,4,4,16,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,350835749.584009,350.835750,0.350836,17033000,0.049971,77.340516,77.390488,1447056,10,16,16,16,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,232576254.403592,232.576254,0.232576,17033000,0.080803,76.692104,76.772908,5788224,10,2,2,64,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,252933087.968993,252.933088,0.252933,17033000,0.068501,76.685083,76.753584,5788224,10,4,4,64,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,158904432.741098,158.904433,0.158904,17033000,0.108926,76.975977,77.084903,5788224,10,16,16,64,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,172474677.385351,172.474677,0.172475,17033000,0.107158,76.791945,76.899103,11576448,10,2,2,128,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,176302172.551372,176.302173,0.176302,17033000,0.098906,77.558129,77.657035,11576448,10,4,4,128,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,88492142.340616,88.492142,0.088492,17033000,0.206693,71.418698,71.625391,11576448,10,16,16,128,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,671889161.806867,671.889162,0.671889,17033000,0.027346,77.397170,77.424516,1447056,10,2,2,16,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,674407990.537242,674.407991,0.674408,17033000,0.025899,77.111651,77.137550,1447056,10,4,4,16,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,343963785.010520,343.963785,0.343964,17033000,0.067441,74.306026,74.373467,1447056,10,16,16,16,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,401961585.184936,401.961585,0.401962,17033000,0.043471,76.858055,76.901526,5788224,10,2,2,64,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,399345258.403288,399.345258,0.399345,17033000,0.043455,76.750563,76.794018,5788224,10,4,4,64,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,276691606.920173,276.691607,0.276692,17033000,0.063177,77.538149,77.601326,5788224,10,16,16,64,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,271486377.577179,271.486378,0.271486,17033000,0.068067,76.861574,76.929641,11576448,10,2,2,128,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,291817648.371709,291.817648,0.291818,17033000,0.061753,76.800868,76.862621,11576448,10,4,4,128,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,181293718.617458,181.293719,0.181294,17033000,0.100037,77.181482,77.281519,11576448,10,16,16,128,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,836901576.482784,836.901576,0.836902,17033000,0.021154,77.008200,77.029354,1447056,10,2,2,16,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,672221595.446187,672.221595,0.672222,17033000,0.028467,76.852073,76.880540,1447056,10,4,4,16,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,759675129.464316,759.675129,0.759675,17033000,0.027055,77.192377,77.219432,1447056,10,16,16,16,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,532791140.958647,532.791141,0.532791,17033000,0.036404,77.099817,77.136221,5788224,10,2,2,64,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,516653324.669625,516.653325,0.516653,17033000,0.034312,76.751741,76.786053,5788224,10,4,4,64,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,361895293.810371,361.895294,0.361895,17033000,0.052592,77.247716,77.300308,5788224,10,16,16,64,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,384839388.700371,384.839389,0.384839,17033000,0.049575,77.093339,77.142914,11576448,10,2,2,128,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,376059761.156795,376.059761,0.376060,17033000,0.047801,76.915498,76.963299,11576448,10,4,4,128,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP,O2,253321021.435747,253.321021,0.253321,17033000,0.075165,77.350604,77.425769,11576448,10,16,16,128,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
