,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,2730366908.786893,2730.366909,2.730367,272528000,0.125131,78.97438,79.099511,1447056,10,4,4,16,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
1,BCSR OMP,O2,7371818065.787241,7371.818066,7.371818,1090112000,0.163775,79.218207,79.381982,5788224,10,4,4,64,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
2,BCSR OMP,O2,10937132186.220753,10937.132186,10.937132,2180224000,0.216374,79.220438,79.436812,11576448,10,4,4,128,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
3,BCSR OMP,O2,2053040076.842896,2053.040077,2.05304,272528000,0.163303,79.407364,79.570667,1447056,10,4,4,16,16,116158,116158,8516500,17033000,3263,73,44.0,176054,419
4,BCSR OMP,O2,5992762798.495555,5992.762798,5.992763,1090112000,0.213351,79.246084,79.459435,5788224,10,4,4,64,16,116158,116158,8516500,17033000,3263,73,44.0,176054,419
5,BCSR OMP,O2,8465260441.826634,8465.260442,8.46526,2180224000,0.277439,79.300563,79.578002,11576448,10,4,4,128,16,116158,116158,8516500,17033000,3263,73,44.0,176054,419
6,BCSR OMP,O2,1495094504.346734,1495.094504,1.495095,272528000,0.263906,79.164808,79.428714,1447056,10,4,4,16,32,116158,116158,8516500,17033000,3263,73,44.0,176054,419
7,BCSR OMP,O2,3719854954.656456,3719.854955,3.719855,1090112000,0.338655,78.62231,78.960965,5788224,10,4,4,64,32,116158,116158,8516500,17033000,3263,73,44.0,176054,419
8,BCSR OMP,O2,7634302714.363329,7634.302714,7.634303,2180224000,0.324528,78.832415,79.156943,11576448,10,4,4,128,32,116158,116158,8516500,17033000,3263,73,44.0,176054,419
9,BCSR OMP,O2,1290529287.566617,1290.529288,1.290529,272528000,0.297939,78.544306,78.842245,1447056,10,2,2,16,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
10,BCSR OMP,O2,1462239823.202473,1462.239823,1.46224,272528000,0.207298,78.643067,78.850364,1447056,10,16,16,16,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
11,BCSR OMP,O2,3432392180.460571,3432.39218,3.432392,1090112000,0.439293,78.804604,79.243897,5788224,10,2,2,64,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
12,BCSR OMP,O2,7851896087.949865,7851.896088,7.851896,1090112000,0.151893,79.8314,79.983293,5788224,10,16,16,64,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
13,BCSR OMP,O2,5688667307.099198,5688.667307,5.688667,2180224000,0.43076,78.97658,79.40734,11576448,10,2,2,128,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
14,BCSR OMP,O2,11384945197.684427,11384.945198,11.384945,2180224000,0.196941,79.127112,79.324053,11576448,10,16,16,128,8,116158,116158,8516500,17033000,3263,73,44.0,176054,419
15,BCSR OMP,O2,849746290.313541,849.74629,0.849746,272528000,0.330085,79.344146,79.674231,1447056,10,2,2,16,16,116158,116158,8516500,17033000,3263,73,44.0,176054,419
16,BCSR OMP,O2,3458819735.770781,3458.819736,3.45882,272528000,0.100572,79.147474,79.248046,1447056,10,16,16,16,16,116158,116158,8516500,17033000,3263,73,44.0,176054,419
17,BCSR OMP,O2,3171041052.555981,3171.041053,3.171041,1090112000,0.358677,78.873126,79.231803,5788224,10,2,2,64,16,116158,116158,8516500,17033000,3263,73,44.0,176054,419
18,BCSR OMP,O2,8185457782.684233,8185.457783,8.185458,1090112000,0.14124,79.318485,79.459725,5788224,10,16,16,64,16,116158,116158,8516500,17033000,3263,73,44.0,176054,419
19,BCSR OMP,O2,5286050283.485571,5286.050283,5.28605,2180224000,0.436267,78.840285,79.276552,11576448,10,2,2,128,16,116158,116158,8516500,17033000,3263,73,44.0,176054,419
20,BCSR OMP,O2,12300501272.932545,12300.501273,12.300501,2180224000,0.179305,79.301495,79.4808,11576448,10,16,16,128,16,116158,116158,8516500,17033000,3263,73,44.0,176054,419
21,BCSR OMP,O2,524118840.715105,524.118841,0.524119,272528000,0.550746,79.318146,79.868892,1447056,10,2,2,16,32,116158,116158,8516500,17033000,3263,73,44.0,176054,419
22,BCSR OMP,O2,2599760333.928606,2599.760334,2.59976,272528000,0.138004,79.850099,79.988102,1447056,10,16,16,16,32,116158,116158,8516500,17033000,3263,73,44.0,176054,419
23,BCSR OMP,O2,2323220502.528438,2323.220503,2.323221,1090112000,0.508984,79.203728,79.712712,5788224,10,2,2,64,32,116158,116158,8516500,17033000,3263,73,44.0,176054,419
24,BCSR OMP,O2,8983874774.013786,8983.874774,8.983875,1090112000,0.148203,79.266482,79.414685,5788224,10,16,16,64,32,116158,116158,8516500,17033000,3263,73,44.0,176054,419
25,BCSR OMP,O2,4000270082.613763,4000.270083,4.00027,2180224000,0.586098,79.453743,80.039842,11576448,10,2,2,128,32,116158,116158,8516500,17033000,3263,73,44.0,176054,419
26,BCSR OMP,O2,11257905158.136652,11257.905158,11.257905,2180224000,0.208649,79.166532,79.375181,11576448,10,16,16,128,32,116158,116158,8516500,17033000,3263,73,44.0,176054,419
