Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,955010.733672,0.955011,0.000955,17033000,23.682626,83.071349,106.753975,1447056,10,2,2,16,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1019835.207502,1.019835,0.001020,17033000,18.353148,83.631845,101.984993,1447056,10,4,4,16,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1194205.030191,1.194205,0.001194,17033000,18.240554,84.903632,103.144186,1447056,10,16,16,16,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1139996.110508,1.139996,0.001140,17033000,19.344004,82.758332,102.102336,5788224,10,2,2,64,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,989042.832429,0.989043,0.000989,17033000,20.014436,83.722699,103.737135,5788224,10,4,4,64,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1080822.964903,1.080823,0.001081,17033000,23.374135,83.472872,106.847007,5788224,10,16,16,64,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1058044.997782,1.058045,0.001058,17033000,22.779098,83.132006,105.911104,11576448,10,2,2,128,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1167651.385452,1.167651,0.001168,17033000,17.334786,72.636254,89.971040,11576448,10,4,4,128,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1085981.370562,1.085981,0.001086,17033000,20.516187,81.316496,101.832683,11576448,10,16,16,128,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1764373.528591,1.764374,0.001764,17033000,13.468459,83.532888,97.001347,1447056,10,2,2,16,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1697758.370606,1.697758,0.001698,17033000,12.511314,77.637810,90.149124,1447056,10,4,4,16,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1524945.779338,1.524946,0.001525,17033000,16.249744,83.710241,99.959985,1447056,10,16,16,16,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1937363.237785,1.937363,0.001937,17033000,11.160389,83.503428,94.663817,5788224,10,2,2,64,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1879601.587448,1.879602,0.001880,17033000,13.578283,83.868498,97.446782,5788224,10,4,4,64,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1597425.979106,1.597426,0.001597,17033000,14.873530,84.030306,98.903836,5788224,10,16,16,64,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1634447.790421,1.634448,0.001634,17033000,14.693851,83.861978,98.555829,11576448,10,2,2,128,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,2151208.047463,2.151208,0.002151,17033000,9.379444,77.319469,86.698913,11576448,10,4,4,128,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1549003.613259,1.549004,0.001549,17033000,13.965616,83.793091,97.758707,11576448,10,16,16,128,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1835540.811646,1.835541,0.001836,17033000,12.166916,83.937824,96.104740,1447056,10,2,2,16,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1393273.293427,1.393273,0.001393,17033000,14.472639,82.769303,97.241942,1447056,10,4,4,16,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,2084466.429563,2.084466,0.002084,17033000,11.122784,84.909857,96.032641,1447056,10,16,16,16,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1642363.978892,1.642364,0.001642,17033000,12.776121,83.785707,96.561828,5788224,10,2,2,64,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1720632.335322,1.720632,0.001721,17033000,13.758997,83.886110,97.645107,5788224,10,4,4,64,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,2128999.014143,2.128999,0.002129,17033000,8.966478,73.644668,82.611146,5788224,10,16,16,64,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1650039.694743,1.650040,0.001650,17033000,12.565177,76.893096,89.458273,11576448,10,2,2,128,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1666693.590448,1.666694,0.001667,17033000,12.897810,83.198487,96.096297,11576448,10,4,4,128,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1924653.036626,1.924653,0.001925,17033000,12.116094,83.168940,95.285034,11576448,10,16,16,128,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
