,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR Serial,O2,193960272.046364,193.960272,0.19396,17033000,0.087822,19.415267,19.503089,1447056,10,2,2,16,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
1,BCSR Serial,O2,168642653.817138,168.642654,0.168643,17033000,0.101007,19.800358,19.901365,1447056,10,4,4,16,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
2,BCSR Serial,O2,86294062.916375,86.294063,0.086294,17033000,0.197385,19.953594,20.150979,1447056,10,16,16,16,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
3,BCSR Serial,O2,83008795.119463,83.008795,0.083009,17033000,0.205204,19.803578,20.008782,5788224,10,2,2,64,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
4,BCSR Serial,O2,70958389.154424,70.958389,0.070958,17033000,0.24006,19.751922,19.991982,5788224,10,4,4,64,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
5,BCSR Serial,O2,35346369.283729,35.346369,0.035346,17033000,0.481894,20.051618,20.533512,5788224,10,16,16,64,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
6,BCSR Serial,O2,42115790.60464,42.115791,0.042116,17033000,0.404433,19.569777,19.97421,11576448,10,2,2,128,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
7,BCSR Serial,O2,38372706.033647,38.372706,0.038373,17033000,0.443883,19.6859,20.129783,11576448,10,4,4,128,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
8,BCSR Serial,O2,19204989.160397,19.204989,0.019205,17033000,0.886906,20.113277,21.000183,11576448,10,16,16,128,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
9,BCSR Serial,O2,3139928565.953075,3139.928566,3.139929,272528000,0.086803,19.795298,19.882101,1447056,10,2,2,16,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
10,BCSR Serial,O2,1497507355.338803,1497.507355,1.497507,272528000,0.181991,20.12052,20.302511,1447056,10,16,16,16,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
11,BCSR Serial,O2,4310878114.43897,4310.878114,4.310878,1090112000,0.25288,19.753977,20.006857,5788224,10,2,2,64,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
12,BCSR Serial,O2,2183385958.536601,2183.385959,2.183386,1090112000,0.499278,19.896929,20.396207,5788224,10,16,16,64,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
13,BCSR Serial,O2,5222031387.668527,5222.031388,5.222031,2180224000,0.417506,19.681974,20.09948,11576448,10,2,2,128,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
14,BCSR Serial,O2,2692577925.682548,2692.577926,2.692578,2180224000,0.809717,19.951058,20.760775,11576448,10,16,16,128,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419
