Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.178495,151.035233,151.213727,1.564524,0,100,1,1,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
csr_serial_O1,0.264505,158.007653,158.272158,7603.207096,0,100,1,1,16,-1,1978519214000,116158,116158,8516500,3263,73,176054,419
ell_serial_O1,7.587787,166.408747,173.996534,11624.244316,0,100,1,1,16,-1,88053235971064,116158,116158,8516500,3263,73,176054,419
bcsr_serial_O1,0.304485,1791.196804,1791.501289,6756.446342,0,100,1,1,16,-1,1978519214000,116158,116158,8516500,3263,73,176054,419
bell_serial_O1,0.172433,244.275227,244.447660,1.626424,8451504,100,1,1,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
bcsr_serial_O1,0.300323,1700.098533,1700.398855,7427.907317,0,100,2,2,16,-1,2182694312288,116158,116158,8516500,3263,73,176054,419
bell_serial_O1,0.174637,161.685735,161.860372,1.589355,8451504,100,2,2,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
bcsr_serial_O1,0.345994,1737.231225,1737.577219,7931.017788,0,100,4,4,16,-1,2690988710592,116158,116158,8516500,3263,73,176054,419
bell_serial_O1,0.175251,160.457716,160.632967,1.574916,8451504,100,4,4,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
bcsr_serial_O1,0.715688,1661.161359,1661.877047,8580.007750,0,100,16,16,16,-1,6075929474048,116158,116158,8516500,3263,73,176054,419
bell_serial_O1,0.184949,160.532524,160.717473,1.489911,8451504,100,16,16,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
coo_serial_O2,0.184208,158.186517,158.370725,1.511171,0,100,1,1,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
csr_serial_O2,0.212688,159.167702,159.380390,9412.049242,0,100,1,1,16,-1,1978519214000,116158,116158,8516500,3263,73,176054,419
ell_serial_O2,4.511874,165.405918,169.917792,19546.449056,0,100,1,1,16,-1,88053235971064,116158,116158,8516500,3263,73,176054,419
bcsr_serial_O2,0.208577,1637.456893,1637.665470,9806.819064,0,100,1,1,16,-1,1978519214000,116158,116158,8516500,3263,73,176054,419
bell_serial_O2,0.175901,160.668788,160.844689,1.568756,8451504,100,1,1,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
bcsr_serial_O2,0.224745,1554.502118,1554.726863,10014.720618,0,100,2,2,16,-1,2182694312288,116158,116158,8516500,3263,73,176054,419
bell_serial_O2,0.175495,150.553748,150.729243,1.561753,8451504,100,2,2,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
bcsr_serial_O2,0.253839,1619.134698,1619.388537,10902.071281,0,100,4,4,16,-1,2690988710592,116158,116158,8516500,3263,73,176054,419
bell_serial_O2,0.181029,160.671263,160.852292,1.532319,8451504,100,4,4,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
bcsr_serial_O2,0.497958,1553.747001,1554.244959,12427.550810,0,100,16,16,16,-1,6075929474048,116158,116158,8516500,3263,73,176054,419
bell_serial_O2,0.189478,161.146645,161.336123,1.469098,8451504,100,16,16,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
coo_serial_O3,0.182893,158.249243,158.432136,1.523705,0,100,1,1,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
csr_serial_O3,0.210780,149.527080,149.737859,9524.516166,0,100,1,1,16,-1,1978519214000,116158,116158,8516500,3263,73,176054,419
ell_serial_O3,4.365701,167.121462,171.487163,20197.136108,0,100,1,1,16,-1,88053235971064,116158,116158,8516500,3263,73,176054,419
bcsr_serial_O3,0.206288,1604.291639,1604.497927,9919.175613,0,100,1,1,16,-1,1978519214000,116158,116158,8516500,3263,73,176054,419
bell_serial_O3,0.178200,160.826240,161.004441,1.569143,8451504,100,1,1,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
bcsr_serial_O3,0.205562,1539.868530,1540.074092,10990.490446,0,100,2,2,16,-1,2182694312288,116158,116158,8516500,3263,73,176054,419
bell_serial_O3,0.177210,160.891838,161.069048,1.570292,8451504,100,2,2,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
bcsr_serial_O3,0.239471,1603.064043,1603.303514,11584.427702,0,100,4,4,16,-1,2690988710592,116158,116158,8516500,3263,73,176054,419
bell_serial_O3,0.178123,162.276355,162.454478,1.555571,8451504,100,4,4,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
bcsr_serial_O3,0.454413,1546.870710,1547.325123,13634.833992,0,100,16,16,16,-1,6075929474048,116158,116158,8516500,3263,73,176054,419
bell_serial_O3,0.187877,160.994184,161.182061,1.479160,8451504,100,16,16,16,-1,272528000,116158,116158,8516500,3263,73,176054,419
