Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,394868744.518255,394.868745,0.394869,10276008,0.057071,58.728061,58.785132,224,10,2,2,16,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,563009494.337397,563.009494,0.563009,10276008,0.018961,62.952548,62.971508,224,10,4,4,16,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,324604888.213431,324.604888,0.324605,10276008,0.032969,62.866920,62.899889,224,10,16,16,16,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,369608736.022217,369.608736,0.369609,10276008,0.028692,62.707168,62.735860,896,10,2,2,64,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,265059123.099103,265.059123,0.265059,10276008,0.039825,62.255331,62.295156,896,10,4,4,64,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,145080184.027684,145.080184,0.145080,10276008,0.073817,65.698377,65.772194,896,10,16,16,64,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,256434119.095638,256.434119,0.256434,10276008,0.042326,62.786938,62.829263,1792,10,2,2,128,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,200863226.019061,200.863226,0.200863,10276008,0.055612,63.312287,63.367899,1792,10,4,4,128,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,91249476.138057,91.249476,0.091249,10276008,0.116327,64.552254,64.668581,1792,10,16,16,128,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,842327814.388286,842.327814,0.842328,10276008,0.017723,63.520639,63.538362,224,10,2,2,16,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,789063103.038519,789.063103,0.789063,10276008,0.013602,63.460427,63.474029,224,10,4,4,16,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,387514809.858594,387.514810,0.387515,10276008,0.035248,63.704917,63.740165,224,10,16,16,16,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,554931203.313471,554.931203,0.554931,10276008,0.019543,63.216265,63.235808,896,10,2,2,64,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,387130855.048538,387.130855,0.387131,10276008,0.035976,64.713059,64.749035,896,10,4,4,64,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,227143320.775257,227.143321,0.227143,10276008,0.047436,63.995018,64.042454,896,10,16,16,64,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,366478852.370987,366.478852,0.366479,10276008,0.033823,64.256361,64.290184,1792,10,2,2,128,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,308578334.565984,308.578335,0.308578,10276008,0.041143,63.825061,63.866204,1792,10,4,4,128,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,142824480.819423,142.824481,0.142824,10276008,0.078002,63.888491,63.966493,1792,10,16,16,128,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,820234256.428298,820.234256,0.820234,10276008,0.028506,64.175390,64.203896,224,10,2,2,16,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,553311101.777266,553.311102,0.553311,10276008,0.037761,64.629483,64.667244,224,10,4,4,16,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,503392680.632682,503.392681,0.503393,10276008,0.027271,64.412076,64.439347,224,10,16,16,16,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,538736856.239553,538.736856,0.538737,10276008,0.038014,63.437782,63.475796,896,10,2,2,64,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,522783010.048213,522.783010,0.522783,10276008,0.023695,63.430749,63.454444,896,10,4,4,64,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,285426619.835400,285.426620,0.285427,10276008,0.045075,63.912403,63.957478,896,10,16,16,64,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,432533290.512381,432.533291,0.432533,10276008,0.035998,63.616935,63.652933,1792,10,2,2,128,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,496539986.915471,496.539987,0.496540,10276008,0.022111,63.402435,63.424546,1792,10,4,4,128,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP,O2,167470122.150028,167.470122,0.167470,10276008,0.071133,64.920079,64.991212,1792,10,16,16,128,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
