,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,1874088226.700398,1874.088227,1.874088,164416128,0.10941,64.460271,64.569681,224,10,4,4,16,8,108384,108384,5138004,10276008,204,47,4.0,313,17
1,BCSR OMP,O2,2175512824.663688,2175.512825,2.175513,657664512,0.317372,63.802079,64.119451,896,10,4,4,64,8,108384,108384,5138004,10276008,204,47,4.0,313,17
2,BCSR OMP,O2,9136789009.508965,9136.78901,9.136789,1315329024,0.164073,64.810534,64.974607,1792,10,4,4,128,8,108384,108384,5138004,10276008,204,47,4.0,313,17
3,BCSR OMP,O2,1450706113.149615,1450.706113,1.450706,164416128,0.134959,64.805322,64.940281,224,10,4,4,16,16,108384,108384,5138004,10276008,204,47,4.0,313,17
4,BCSR OMP,O2,4761077776.64476,4761.077777,4.761078,657664512,0.183794,64.655778,64.839572,896,10,4,4,64,16,108384,108384,5138004,10276008,204,47,4.0,313,17
5,BCSR OMP,O2,8390596433.880104,8390.596434,8.390596,1315329024,0.180022,65.08002,65.260042,1792,10,4,4,128,16,108384,108384,5138004,10276008,204,47,4.0,313,17
6,BCSR OMP,O2,720622367.454503,720.622367,0.720622,164416128,0.277954,63.097335,63.375289,224,10,4,4,16,32,108384,108384,5138004,10276008,204,47,4.0,313,17
7,BCSR OMP,O2,3538464432.755986,3538.464433,3.538464,657664512,0.239312,64.47569,64.715002,896,10,4,4,64,32,108384,108384,5138004,10276008,204,47,4.0,313,17
8,BCSR OMP,O2,5808273128.039354,5808.273128,5.808273,1315329024,0.286733,64.557765,64.844498,1792,10,4,4,128,32,108384,108384,5138004,10276008,204,47,4.0,313,17
9,BCSR OMP,O2,1129996743.479294,1129.996743,1.129997,164416128,0.185773,64.837362,65.023135,224,10,2,2,16,8,108384,108384,5138004,10276008,204,47,4.0,313,17
10,BCSR OMP,O2,1421749136.365684,1421.749136,1.421749,164416128,0.124498,65.242789,65.367287,224,10,16,16,16,8,108384,108384,5138004,10276008,204,47,4.0,313,17
11,BCSR OMP,O2,3022092353.89376,3022.092354,3.022092,657664512,0.240994,65.114933,65.355927,896,10,2,2,64,8,108384,108384,5138004,10276008,204,47,4.0,313,17
12,BCSR OMP,O2,6101991367.853206,6101.991368,6.101991,657664512,0.115476,64.767868,64.883344,896,10,16,16,64,8,108384,108384,5138004,10276008,204,47,4.0,313,17
13,BCSR OMP,O2,5674274657.963462,5674.274658,5.674275,1315329024,0.296172,64.900616,65.196789,1792,10,2,2,128,8,108384,108384,5138004,10276008,204,47,4.0,313,17
14,BCSR OMP,O2,8931112502.372845,8931.112502,8.931113,1315329024,0.150972,64.060484,64.211455,1792,10,16,16,128,8,108384,108384,5138004,10276008,204,47,4.0,313,17
15,BCSR OMP,O2,516028883.541814,516.028884,0.516029,164416128,0.34377,63.594107,63.937877,224,10,2,2,16,16,108384,108384,5138004,10276008,204,47,4.0,313,17
16,BCSR OMP,O2,2795684523.700877,2795.684524,2.795685,164416128,0.073696,64.800467,64.874163,224,10,16,16,16,16,108384,108384,5138004,10276008,204,47,4.0,313,17
17,BCSR OMP,O2,2128941574.173,2128.941574,2.128942,657664512,0.331797,64.385786,64.717583,896,10,2,2,64,16,108384,108384,5138004,10276008,204,47,4.0,313,17
18,BCSR OMP,O2,7219497076.418454,7219.497076,7.219497,657664512,0.098522,64.872072,64.970594,896,10,16,16,64,16,108384,108384,5138004,10276008,204,47,4.0,313,17
19,BCSR OMP,O2,4281432199.175801,4281.432199,4.281432,1315329024,0.368137,64.52123,64.889367,1792,10,2,2,128,16,108384,108384,5138004,10276008,204,47,4.0,313,17
20,BCSR OMP,O2,10529720430.40662,10529.72043,10.52972,1315329024,0.138306,65.387248,65.525554,1792,10,16,16,128,16,108384,108384,5138004,10276008,204,47,4.0,313,17
21,BCSR OMP,O2,523972615.714706,523.972616,0.523973,164416128,0.357329,64.887984,65.245313,224,10,2,2,16,32,108384,108384,5138004,10276008,204,47,4.0,313,17
22,BCSR OMP,O2,2111712471.486031,2111.712471,2.111712,164416128,0.110587,65.03654,65.147127,224,10,16,16,16,32,108384,108384,5138004,10276008,204,47,4.0,313,17
23,BCSR OMP,O2,3199205083.337008,3199.205083,3.199205,657664512,0.308086,64.830595,65.138681,896,10,2,2,64,32,108384,108384,5138004,10276008,204,47,4.0,313,17
24,BCSR OMP,O2,6432984319.913343,6432.98432,6.432984,657664512,0.151981,65.389941,65.541922,896,10,16,16,64,32,108384,108384,5138004,10276008,204,47,4.0,313,17
25,BCSR OMP,O2,3890280746.176215,3890.280746,3.890281,1315329024,0.425187,65.106696,65.531883,1792,10,2,2,128,32,108384,108384,5138004,10276008,204,47,4.0,313,17
26,BCSR OMP,O2,9870492753.164326,9870.492753,9.870493,1315329024,0.170421,65.873983,66.044404,1792,10,16,16,128,32,108384,108384,5138004,10276008,204,47,4.0,313,17
