Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,576189.811166,0.576190,0.000576,10276008,23.016086,67.958709,90.974795,224,10,2,2,16,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,587031.707986,0.587032,0.000587,10276008,21.705564,67.531700,89.237264,224,10,4,4,16,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,647944.159712,0.647944,0.000648,10276008,16.148668,62.330429,78.479097,224,10,16,16,16,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,709279.714816,0.709280,0.000709,10276008,16.179246,62.413043,78.592289,896,10,2,2,64,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,678196.512895,0.678197,0.000678,10276008,17.082620,67.594412,84.677032,896,10,4,4,64,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,633269.687451,0.633270,0.000633,10276008,19.454783,67.252194,86.706977,896,10,16,16,64,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,736154.473515,0.736154,0.000736,10276008,14.967171,64.957038,79.924209,1792,10,2,2,128,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,690033.431644,0.690033,0.000690,10276008,15.564859,65.293882,80.858741,1792,10,4,4,128,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,665652.376997,0.665652,0.000666,10276008,17.183040,66.205638,83.388678,1792,10,16,16,128,8,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,976217.801182,0.976218,0.000976,10276008,11.146902,65.135238,76.282140,224,10,2,2,16,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,1054202.379150,1.054202,0.001054,10276008,12.411782,65.250409,77.662191,224,10,4,4,16,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,944267.455322,0.944267,0.000944,10276008,13.301374,65.660319,78.961693,224,10,16,16,16,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,941727.529402,0.941728,0.000942,10276008,12.635220,64.533138,77.168358,896,10,2,2,64,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,1029039.005811,1.029039,0.001029,10276008,12.881164,60.997564,73.878728,896,10,4,4,64,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,966154.239165,0.966154,0.000966,10276008,11.546606,66.470756,78.017362,896,10,16,16,64,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,1039892.503158,1.039893,0.001040,10276008,11.589604,65.846997,77.436601,1792,10,2,2,128,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,912555.825041,0.912556,0.000913,10276008,13.872035,65.184558,79.056593,1792,10,4,4,128,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,1068379.045928,1.068379,0.001068,10276008,10.912214,62.325601,73.237815,1792,10,16,16,128,16,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,1030700.305162,1.030700,0.001031,10276008,11.564214,63.910960,75.475174,224,10,2,2,16,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,1070678.907940,1.070679,0.001071,10276008,10.986223,65.862742,76.848965,224,10,4,4,16,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,1139161.376200,1.139161,0.001139,10276008,9.996853,60.838320,70.835173,224,10,16,16,16,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,1084843.921278,1.084844,0.001085,10276008,11.032808,65.380548,76.413356,896,10,2,2,64,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,1025566.545189,1.025567,0.001026,10276008,11.302318,64.337551,75.639869,896,10,4,4,64,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,992022.875519,0.992023,0.000992,10276008,11.655099,65.626974,77.282073,896,10,16,16,64,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,984180.904366,0.984181,0.000984,10276008,11.841813,60.017620,71.859433,1792,10,2,2,128,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,969507.377367,0.969507,0.000970,10276008,12.097979,64.912616,77.010595,1792,10,4,4,128,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
BCSR OMP Transpose,O2,1082816.040826,1.082816,0.001083,10276008,10.966832,65.547860,76.514693,1792,10,16,16,128,32,108384,108384,5138004,10276008,204,47,4.000000,313,17
