Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,100776730.743188,100.776731,0.100777,4272056,0.042635,17.800881,17.843516,1588864,10,2,2,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,177554454.018918,177.554454,0.177554,11574624,0.065479,17.864469,17.929948,1589024,10,4,4,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,554352641.342924,554.352641,0.554353,109372416,0.198252,18.804999,19.003252,1588624,10,16,16,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,65606757.661087,65.606758,0.065607,4272056,0.065558,17.796550,17.862108,6355456,10,2,2,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,119986671.540143,119.986672,0.119987,11574624,0.097051,17.870528,17.967579,6356096,10,4,4,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,290157718.251228,290.157718,0.290158,109372416,0.378191,19.302115,19.680306,6354496,10,16,16,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,50715180.368540,50.715180,0.050715,4272056,0.084513,17.804944,17.889456,12710912,10,2,2,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,81347143.869323,81.347144,0.081347,11574624,0.143014,17.886854,18.029868,12712192,10,4,4,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,185532870.586362,185.532871,0.185533,109372416,0.591295,18.905917,19.497212,12708992,10,16,16,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,131370203.799706,131.370204,0.131370,4272056,0.033168,17.854000,17.887168,1588864,10,2,2,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,235642794.149971,235.642794,0.235643,11574624,0.049628,17.962736,18.012364,1589024,10,4,4,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,748174564.880324,748.174565,0.748175,109372416,0.146533,18.886407,19.032940,1588624,10,16,16,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,86076509.865488,86.076510,0.086077,4272056,0.050449,17.791803,17.842252,6355456,10,2,2,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,147615182.947119,147.615183,0.147615,11574624,0.078785,18.205251,18.284036,6356096,10,4,4,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,391150581.126334,391.150581,0.391151,109372416,0.281729,19.161007,19.442736,6354496,10,16,16,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,67697508.675864,67.697509,0.067698,4272056,0.063466,17.844303,17.907768,12710912,10,2,2,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,112288942.102228,112.288942,0.112289,11574624,0.103267,17.920901,18.024168,12712192,10,4,4,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,278974927.719296,278.974928,0.278975,109372416,0.393024,18.883535,19.276559,12708992,10,16,16,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,163280834.505180,163.280835,0.163281,4272056,0.028228,17.872924,17.901152,1588864,10,2,2,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,293689996.746077,293.689997,0.293690,11574624,0.040696,17.891430,17.932126,1589024,10,4,4,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,942227940.089526,942.227940,0.942228,109372416,0.116721,19.246392,19.363113,1588624,10,16,16,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,104189291.842998,104.189292,0.104189,4272056,0.041955,18.123283,18.165238,6355456,10,2,2,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,196040825.549905,196.040826,0.196041,11574624,0.060381,18.153681,18.214062,6356096,10,4,4,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,563317027.909178,563.317028,0.563317,109372416,0.195040,19.202318,19.397358,6354496,10,16,16,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,85474748.261897,85.474748,0.085475,4272056,0.051318,17.681881,17.733199,12710912,10,2,2,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,140855636.002799,140.855636,0.140856,11574624,0.083061,18.213070,18.296131,12712192,10,4,4,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,385049722.416583,385.049722,0.385050,109372416,0.286080,19.248584,19.534664,12708992,10,16,16,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
