Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,119376877.026093,119.376877,0.119377,2724174,0.058931,82.216103,82.275034,1588864,10,2,2,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,112413680.941410,112.413681,0.112414,2724174,0.027731,82.622270,82.650001,1589024,10,4,4,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,16959591.466309,16.959591,0.016960,2724174,0.173227,83.920388,84.093615,1588624,10,16,16,16,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,85668906.297196,85.668906,0.085669,2724174,0.034576,82.617996,82.652572,6355456,10,2,2,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,53190060.395225,53.190060,0.053190,2724174,0.054033,82.960331,83.014364,6356096,10,4,4,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,6701540.534527,6.701541,0.006702,2724174,0.409288,83.846149,84.255437,6354496,10,16,16,64,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,55199105.465816,55.199105,0.055199,2724174,0.056483,82.237041,82.293524,12710912,10,2,2,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,36996093.708239,36.996094,0.036996,2724174,0.081860,82.439763,82.521623,12712192,10,4,4,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,4161457.790393,4.161458,0.004161,2724174,0.679884,83.920804,84.600688,12708992,10,16,16,128,8,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,172030022.602530,172.030023,0.172030,2724174,0.026329,82.378343,82.404672,1588864,10,2,2,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,120422332.693213,120.422333,0.120422,2724174,0.045035,82.718709,82.763744,1589024,10,4,4,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,29486189.455431,29.486189,0.029486,2724174,0.099773,84.073908,84.173681,1588624,10,16,16,16,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,108965880.681576,108.965881,0.108966,2724174,0.037997,82.338454,82.376451,6355456,10,2,2,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,76415039.120984,76.415039,0.076415,2724174,0.043674,82.548806,82.592480,6356096,10,4,4,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,9652422.990426,9.652423,0.009652,2724174,0.298847,83.992419,84.291266,6354496,10,16,16,64,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,83983790.563019,83.983791,0.083984,2724174,0.039409,83.164454,83.203863,12710912,10,2,2,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,56049056.036370,56.049056,0.056049,2724174,0.051443,82.475544,82.526987,12712192,10,4,4,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,7346899.583345,7.346900,0.007347,2724174,0.384151,84.235167,84.619318,12708992,10,16,16,128,16,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,244453153.347716,244.453153,0.244453,2724174,0.020897,82.498243,82.519139,1588864,10,2,2,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,146121477.142061,146.121477,0.146121,2724174,0.031742,82.744394,82.776136,1589024,10,4,4,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,37195718.051231,37.195718,0.037196,2724174,0.081373,83.841307,83.922680,1588624,10,16,16,16,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,147781884.015874,147.781884,0.147782,2724174,0.024391,82.491015,82.515406,6355456,10,2,2,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,88174253.395632,88.174253,0.088174,2724174,0.043447,82.512500,82.555947,6356096,10,4,4,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,15375532.509126,15.375533,0.015376,2724174,0.180435,84.106452,84.286887,6354496,10,16,16,64,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,91433324.480395,91.433324,0.091433,2724174,0.044528,82.230251,82.274778,12710912,10,2,2,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,56573041.358116,56.573041,0.056573,2724174,0.060959,82.676437,82.737396,12712192,10,4,4,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
BCSR OMP,O2,11251468.102460,11.251468,0.011251,2724174,0.265078,83.913723,84.178801,12708992,10,16,16,128,32,121192,121192,1362087,2724174,24,11,2.000000,45,6
