Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,264752868.469431,264.752868,0.264753,83492,0.001292,0.179848,0.181140,0,10,2,2,16,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,133732457.527629,133.732458,0.133732,83492,0.001497,0.152951,0.154448,0,10,4,4,16,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,73313352.228584,73.313352,0.073313,83492,0.003425,0.117315,0.120740,0,10,16,16,16,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,106048935.698539,106.048936,0.106049,83492,0.001988,0.123656,0.125644,0,10,2,2,64,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,65503091.121946,65.503091,0.065503,83492,0.002747,0.112128,0.114875,0,10,4,4,64,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,27052657.125686,27.052657,0.027053,83492,0.006024,0.118135,0.124159,0,10,16,16,64,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,103805056.344848,103.805056,0.103805,83492,0.001980,0.109563,0.111543,0,10,2,2,128,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,63925200.053576,63.925200,0.063925,83492,0.001618,0.109899,0.111517,0,10,4,4,128,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,16061143.299456,16.061143,0.016061,83492,0.008656,0.191160,0.199816,0,10,16,16,128,8,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,481567521.506006,481.567522,0.481568,83492,0.001231,0.103860,0.105091,0,10,2,2,16,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,218160501.229347,218.160501,0.218161,83492,0.001256,0.115134,0.116390,0,10,4,4,16,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,65592534.534163,65.592535,0.065593,83492,0.003122,0.187579,0.190701,0,10,16,16,16,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,138002530.888998,138.002531,0.138003,83492,0.001464,0.180639,0.182103,0,10,2,2,64,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,144416199.334286,144.416199,0.144416,83492,0.002012,0.111429,0.113441,0,10,4,4,64,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,42878119.977654,42.878120,0.042878,83492,0.004047,0.113711,0.117758,0,10,16,16,64,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,115955070.330030,115.955070,0.115955,83492,0.001757,0.162650,0.164407,0,10,2,2,128,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,119091136.832342,119.091137,0.119091,83492,0.001377,0.104035,0.105412,0,10,4,4,128,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,26682135.082063,26.682135,0.026682,83492,0.005397,0.121690,0.127087,0,10,16,16,128,16,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,918118084.825059,918.118085,0.918118,83492,0.001175,0.110517,0.111692,0,10,2,2,16,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,325661688.469190,325.661688,0.325662,83492,0.001671,0.187146,0.188817,0,10,4,4,16,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,151660867.879916,151.660868,0.151661,83492,0.001809,0.112387,0.114196,0,10,16,16,16,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,371927992.171164,371.927992,0.371928,83492,0.000840,0.103923,0.104763,0,10,2,2,64,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,298945666.251767,298.945666,0.298946,83492,0.001440,0.179719,0.181159,0,10,4,4,64,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,66868135.355691,66.868135,0.066868,83492,0.003087,0.112436,0.115523,0,10,16,16,64,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,179252646.105008,179.252646,0.179253,83492,0.001358,0.102077,0.103435,0,10,2,2,128,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,144441070.443076,144.441070,0.144441,83492,0.002265,0.116786,0.119051,0,10,4,4,128,32,8192,8192,41746,83492,8,5,1.000000,0,0
BCSR OMP,O2,44967973.040176,44.967973,0.044968,83492,0.004775,0.119122,0.123897,0,10,16,16,128,32,8192,8192,41746,83492,8,5,1.000000,0,0
