Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,1166371399.856163,1166.371400,1.166371,28787634,0.026102,31.299562,31.325664,256,10,2,2,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,1090322215.911395,1090.322216,1.090322,28787634,0.027921,31.175184,31.203105,256,10,4,4,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,570744651.718015,570.744652,0.570745,28787634,0.052211,31.748931,31.801142,256,10,16,16,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,386720949.971147,386.720950,0.386721,28787634,0.079297,31.332352,31.411649,1024,10,2,2,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,359362432.290687,359.362432,0.359362,28787634,0.082556,31.161327,31.243883,1024,10,4,4,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,178161082.891260,178.161083,0.178161,28787634,0.164746,31.435323,31.600069,1024,10,16,16,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,228084221.837463,228.084222,0.228084,28787634,0.129402,31.450637,31.580039,2048,10,2,2,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,207777504.252521,207.777504,0.207778,28787634,0.144127,31.200346,31.344473,2048,10,4,4,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,120671648.863104,120.671649,0.120672,28787634,0.241812,31.708199,31.950011,2048,10,16,16,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,1465050959.227807,1465.050959,1.465051,28787634,0.020713,31.119002,31.139715,256,10,2,2,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,1381789350.201433,1381.789350,1.381789,28787634,0.023169,31.233297,31.256466,256,10,4,4,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,790640967.426948,790.640967,0.790641,28787634,0.039160,31.606235,31.645395,256,10,16,16,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,526483654.401260,526.483654,0.526484,28787634,0.057002,31.750974,31.807975,1024,10,2,2,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,469534354.945429,469.534355,0.469534,28787634,0.082178,31.049479,31.131657,1024,10,4,4,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,238052372.435137,238.052372,0.238052,28787634,0.137483,32.086654,32.224137,1024,10,16,16,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,367350649.494312,367.350649,0.367351,28787634,0.091810,31.395181,31.486991,2048,10,2,2,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,288188735.200859,288.188735,0.288189,28787634,0.103239,31.896690,31.999929,2048,10,4,4,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,184724210.422565,184.724210,0.184724,28787634,0.157845,31.979823,32.137668,2048,10,16,16,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,1991445408.792257,1991.445409,1.991445,28787634,0.015006,31.230676,31.245682,256,10,2,2,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,1662338504.329175,1662.338504,1.662339,28787634,0.018972,31.266543,31.285515,256,10,4,4,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,995440820.994455,995.440821,0.995441,28787634,0.029851,31.529860,31.559711,256,10,16,16,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,494915670.398982,494.915670,0.494916,28787634,0.059054,31.111736,31.170790,1024,10,2,2,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,630107108.022151,630.107108,0.630107,28787634,0.045823,31.213160,31.258982,1024,10,4,4,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,327027554.487200,327.027554,0.327028,28787634,0.089048,31.485702,31.574750,1024,10,16,16,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,321016767.714447,321.016768,0.321017,28787634,0.089983,31.196089,31.286072,2048,10,2,2,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,294279796.245031,294.279796,0.294280,28787634,0.098435,31.175134,31.273569,2048,10,4,4,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP,O2,215598602.871365,215.598603,0.215599,28787634,0.133939,31.728060,31.861999,2048,10,16,16,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
