Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,2683394.345688,2.683394,0.002683,4381182,1.633962,2.587337,4.221299,144,10,2,2,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,2657075.230523,2.657075,0.002657,4381182,1.653135,2.593109,4.246244,144,10,4,4,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,2718606.133397,2.718606,0.002719,4381182,1.612266,2.644241,4.256507,144,10,16,16,16,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,2708612.376956,2.708612,0.002709,4381182,1.618090,2.589068,4.207158,576,10,2,2,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,2629712.846311,2.629713,0.002630,4381182,1.666231,2.582623,4.248854,576,10,4,4,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,2649087.377834,2.649087,0.002649,4381182,1.654414,2.647004,4.301417,576,10,16,16,64,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,2577712.649634,2.577713,0.002578,4381182,1.701703,2.584885,4.286588,1152,10,2,2,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,2512124.831592,2.512125,0.002512,4381182,1.744789,2.580536,4.325325,1152,10,4,4,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,2557988.771084,2.557989,0.002558,4381182,1.714159,2.664070,4.378229,1152,10,16,16,128,8,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,5246217.323844,5.246217,0.005246,4381182,0.835977,2.576102,3.412079,144,10,2,2,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,5431114.440786,5.431114,0.005431,4381182,0.806757,2.589038,3.395795,144,10,4,4,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,5434029.196552,5.434029,0.005434,4381182,0.808486,2.646461,3.454947,144,10,16,16,16,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,5213298.037572,5.213298,0.005213,4381182,0.840665,2.586323,3.426988,576,10,2,2,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,4744391.653790,4.744392,0.004744,4381182,0.925005,2.582518,3.507523,576,10,4,4,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,4839111.433211,4.839111,0.004839,4381182,0.905660,2.652594,3.558254,576,10,16,16,64,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,5270127.959720,5.270128,0.005270,4381182,0.832121,2.575819,3.407940,1152,10,2,2,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,4627117.632573,4.627118,0.004627,4381182,0.950841,2.582761,3.533602,1152,10,4,4,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,4666673.640677,4.666674,0.004667,4381182,0.939201,2.650795,3.589996,1152,10,16,16,128,16,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,10053315.117941,10.053315,0.010053,4381182,0.440080,2.577999,3.018080,144,10,2,2,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,10556247.364974,10.556247,0.010556,4381182,0.417140,2.577499,2.994639,144,10,4,4,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,10065841.992289,10.065842,0.010066,4381182,0.436910,2.645010,3.081920,144,10,16,16,16,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,9951667.832307,9.951668,0.009952,4381182,0.442238,2.581377,3.023615,576,10,2,2,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,9221850.211292,9.221850,0.009222,4381182,0.476421,2.526231,3.002652,576,10,4,4,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,8956609.918508,8.956610,0.008957,4381182,0.492670,2.641298,3.133968,576,10,16,16,64,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,9573665.059568,9.573665,0.009574,4381182,0.459992,2.576827,3.036819,1152,10,2,2,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,9389814.608975,9.389815,0.009390,4381182,0.468309,2.581836,3.050145,1152,10,4,4,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
BCSR OMP Transpose,O2,8800139.827106,8.800140,0.008800,4381182,0.500954,2.683255,3.184209,1152,10,16,16,128,32,36417,36417,2190591,4381182,184,60,3.000000,753,27
