Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,403142053.102666,403.142053,0.403142,4748002,0.017503,3.593101,3.610604,6112,10,2,2,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,235985839.546966,235.985840,0.235986,4748002,0.030433,3.544446,3.574879,6112,10,4,4,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,108437643.325266,108.437643,0.108438,4748002,0.049735,3.664655,3.714390,6112,10,16,16,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,157817627.431774,157.817627,0.157818,4748002,0.037700,3.576333,3.614033,24448,10,2,2,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,93363937.411141,93.363937,0.093364,4748002,0.056168,3.600878,3.657046,24448,10,4,4,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,45916732.017615,45.916732,0.045917,4748002,0.107016,3.721997,3.829013,24448,10,16,16,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,117562568.836992,117.562569,0.117563,4748002,0.048118,3.609428,3.657546,48896,10,2,2,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,59043031.527929,59.043032,0.059043,4748002,0.087708,3.532504,3.620212,48896,10,4,4,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,32172881.067941,32.172881,0.032173,4748002,0.151606,3.720176,3.871782,48896,10,16,16,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,701538825.076046,701.538825,0.701539,4748002,0.014870,3.583250,3.598120,6112,10,2,2,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,531926894.464703,531.926894,0.531927,4748002,0.016749,3.604053,3.620802,6112,10,4,4,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,207548922.641015,207.548923,0.207549,4748002,0.033205,3.702114,3.735320,6112,10,16,16,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,266670540.308283,266.670540,0.266671,4748002,0.025235,3.587034,3.612269,24448,10,2,2,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,161434635.370482,161.434635,0.161435,4748002,0.039005,3.571569,3.610574,24448,10,4,4,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,67666331.567601,67.666332,0.067666,4748002,0.076977,3.680082,3.757059,24448,10,16,16,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,144742173.559540,144.742174,0.144742,4748002,0.040174,3.521681,3.561855,48896,10,2,2,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,109383994.148050,109.383994,0.109384,4748002,0.051061,3.593516,3.644577,48896,10,4,4,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,36977789.676307,36.977790,0.036978,4748002,0.128867,3.727630,3.856497,48896,10,16,16,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,285150573.671116,285.150574,0.285151,4748002,0.023470,3.574696,3.598166,6112,10,2,2,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,230868107.874466,230.868108,0.230868,4748002,0.027639,3.631873,3.659512,6112,10,4,4,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,120312897.459984,120.312897,0.120313,4748002,0.042247,3.726270,3.768517,6112,10,16,16,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,136883588.380383,136.883588,0.136884,4748002,0.040036,3.563290,3.603326,24448,10,2,2,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,110255341.420787,110.255341,0.110255,4748002,0.045711,3.566235,3.611946,24448,10,4,4,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,68939071.386388,68.939071,0.068939,4748002,0.070601,3.714876,3.785477,24448,10,16,16,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,92330041.513771,92.330042,0.092330,4748002,0.052984,3.560862,3.613846,48896,10,2,2,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,78900893.061947,78.900893,0.078901,4748002,0.062981,3.624241,3.687221,48896,10,4,4,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,49499037.142968,49.499037,0.049499,4748002,0.096433,3.720631,3.817063,48896,10,16,16,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
