Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP,O2,340062304.896679,340.062305,0.340062,4748002,0.026904,11.220959,11.247863,6112,10,2,2,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,283957992.866624,283.957993,0.283958,4748002,0.034083,11.216813,11.250896,6112,10,4,4,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,180543426.276555,180.543426,0.180543,4748002,0.030934,11.358541,11.389475,6112,10,16,16,16,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,201656317.646473,201.656318,0.201656,4748002,0.031489,11.205860,11.237349,24448,10,2,2,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,171077661.253686,171.077661,0.171078,4748002,0.039149,11.230133,11.269282,24448,10,4,4,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,93089866.258199,93.089866,0.093090,4748002,0.053873,11.365220,11.419093,24448,10,16,16,64,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,145296366.621920,145.296367,0.145296,4748002,0.039214,11.252584,11.291798,48896,10,2,2,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,157918394.613680,157.918395,0.157918,4748002,0.031598,11.274129,11.305727,48896,10,4,4,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,55886935.901211,55.886936,0.055887,4748002,0.087723,11.429436,11.517159,48896,10,16,16,128,8,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,332705822.268062,332.705822,0.332706,4748002,0.028165,11.207682,11.235847,6112,10,2,2,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,293880663.388281,293.880663,0.293881,4748002,0.029173,11.259594,11.288767,6112,10,4,4,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,260279619.777637,260.279620,0.260280,4748002,0.028402,11.379992,11.408394,6112,10,16,16,16,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,225124955.750062,225.124956,0.225125,4748002,0.030933,11.221395,11.252328,24448,10,2,2,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,146422421.310922,146.422421,0.146422,4748002,0.037163,11.318292,11.355455,24448,10,4,4,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,138974498.643864,138.974499,0.138974,4748002,0.038841,11.359260,11.398101,24448,10,16,16,64,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,178154126.491801,178.154126,0.178154,4748002,0.033630,11.182395,11.216025,48896,10,2,2,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,123712145.232698,123.712145,0.123712,4748002,0.041897,11.233059,11.274956,48896,10,4,4,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,91836848.377179,91.836848,0.091837,4748002,0.057165,11.410279,11.467444,48896,10,16,16,128,16,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,225691003.468441,225.691003,0.225691,4748002,0.028066,11.194115,11.222181,6112,10,2,2,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,303152977.248044,303.152977,0.303153,4748002,0.028167,11.229455,11.257622,6112,10,4,4,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,230228518.336851,230.228518,0.230229,4748002,0.028750,11.437503,11.466252,6112,10,16,16,16,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,275847193.691059,275.847194,0.275847,4748002,0.025243,11.214697,11.239940,24448,10,2,2,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,147652566.088983,147.652566,0.147653,4748002,0.034998,11.266953,11.301951,24448,10,4,4,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,202724237.478288,202.724237,0.202724,4748002,0.025036,11.407959,11.432995,24448,10,16,16,64,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,258326458.508766,258.326459,0.258326,4748002,0.029986,11.222370,11.252356,48896,10,2,2,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,216855893.743392,216.855894,0.216856,4748002,0.031312,11.240560,11.271872,48896,10,4,4,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
BCSR OMP,O2,125607755.105103,125.607755,0.125608,4748002,0.045324,11.396998,11.442322,48896,10,16,16,128,32,46835,46835,2374001,4748002,145,50,2.000000,772,27
