Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,847803.657326,0.847804,0.000848,17033000,20.100020,20.358738,40.458758,1447056,10,2,2,16,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,848015.270198,0.848015,0.000848,17033000,20.096293,19.820412,39.916705,1447056,10,4,4,16,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,847953.083205,0.847953,0.000848,17033000,20.092807,20.133129,40.225936,1447056,10,16,16,16,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,855428.298027,0.855428,0.000855,17033000,19.918592,19.868860,39.787452,5788224,10,2,2,64,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,836827.070150,0.836827,0.000837,17033000,20.364893,19.846849,40.211742,5788224,10,4,4,64,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,818693.063845,0.818693,0.000819,17033000,20.816754,20.154381,40.971135,5788224,10,16,16,64,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,838798.351958,0.838798,0.000839,17033000,20.313189,19.884913,40.198102,11576448,10,2,2,128,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,862292.457925,0.862292,0.000862,17033000,19.756312,20.056588,39.812900,11576448,10,4,4,128,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,822605.206725,0.822605,0.000823,17033000,20.716680,20.159762,40.876442,11576448,10,16,16,128,8,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1478476.142230,1.478476,0.001478,17033000,11.523360,19.855744,31.379105,1447056,10,2,2,16,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1470163.766707,1.470164,0.001470,17033000,11.587586,19.872639,31.460225,1447056,10,4,4,16,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1484998.164007,1.484998,0.001485,17033000,11.471493,20.131187,31.602680,1447056,10,16,16,16,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1486105.008227,1.486105,0.001486,17033000,11.462940,20.026142,31.489082,5788224,10,2,2,64,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1493027.963265,1.493028,0.001493,17033000,11.409617,19.879645,31.289263,5788224,10,4,4,64,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1461294.517197,1.461295,0.001461,17033000,11.659194,20.197065,31.856259,5788224,10,16,16,64,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1463604.458918,1.463604,0.001464,17033000,11.639483,20.066760,31.706243,11576448,10,2,2,128,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1484238.103567,1.484238,0.001484,17033000,11.480385,19.990014,31.470399,11576448,10,4,4,128,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,1460925.424889,1.460925,0.001461,17033000,11.660121,20.254540,31.914661,11576448,10,16,16,128,16,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,2503353.674616,2.503354,0.002503,17033000,6.806025,20.054930,26.860955,1447056,10,2,2,16,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,2490433.399269,2.490433,0.002490,17033000,6.839660,20.004133,26.843793,1447056,10,4,4,16,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,2514331.103063,2.514331,0.002514,17033000,6.774883,19.849840,26.624723,1447056,10,16,16,16,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,2518937.729352,2.518938,0.002519,17033000,6.762825,19.991500,26.754325,5788224,10,2,2,64,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,2520022.370950,2.520022,0.002520,17033000,6.759428,20.033138,26.792566,5788224,10,4,4,64,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,2487641.807889,2.487642,0.002488,17033000,6.847951,19.843756,26.691707,5788224,10,16,16,64,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,2504851.260714,2.504851,0.002505,17033000,6.800871,20.000242,26.801113,11576448,10,2,2,128,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,2488480.086018,2.488480,0.002488,17033000,6.845159,20.029706,26.874865,11576448,10,4,4,128,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
BCSR OMP Transpose,O2,2463017.232127,2.463017,0.002463,17033000,6.916927,20.323172,27.240099,11576448,10,16,16,128,32,116158,116158,8516500,17033000,3263,73,44.000000,176054,419
