,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation,Unnamed: 0
0,BCSR OMP,O2,41962593.14105,41.962593,0.041963,1748756,0.042113,12.156952,12.199065,0,10,2,2,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,
1,BCSR OMP,O2,26976315.957697,26.976316,0.026976,1748756,0.065851,12.551684,12.617535,0,10,4,4,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,
2,BCSR OMP,O2,11523274.683368,11.523275,0.011523,1748756,0.152098,13.394811,13.546909,0,10,16,16,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,
3,BCSR OMP,O2,25639812.312541,25.639812,0.02564,1748756,0.068895,12.408044,12.47694,0,10,2,2,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,
4,BCSR OMP,O2,16570923.217937,16.570923,0.016571,1748756,0.105761,12.73469,12.840451,0,10,4,4,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,
5,BCSR OMP,O2,6483962.95145,6.483963,0.006484,1748756,0.270023,13.647072,13.917095,0,10,16,16,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,
6,BCSR OMP,O2,19954698.539652,19.954699,0.019955,1748756,0.087902,12.59794,12.685842,0,10,2,2,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,
7,BCSR OMP,O2,11963182.934441,11.963183,0.011963,1748756,0.146465,12.797057,12.943522,0,10,4,4,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,
8,BCSR OMP,O2,4395173.176284,4.395173,0.004395,1748756,0.397917,13.716334,14.114251,0,10,16,16,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,
9,BCSR OMP,O2,55129780.634118,55.129781,0.05513,1748756,0.032613,12.521446,12.554059,0,10,2,2,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,
10,BCSR OMP,O2,34127381.343646,34.127381,0.034127,1748756,0.05197,12.691421,12.743391,0,10,4,4,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,
11,BCSR OMP,O2,14735328.154311,14.735328,0.014735,1748756,0.119034,13.613584,13.732618,0,10,16,16,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,
12,BCSR OMP,O2,35011790.310534,35.01179,0.035012,1748756,0.050556,12.533992,12.584548,0,10,2,2,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,
13,BCSR OMP,O2,21122003.347589,21.122003,0.021122,1748756,0.083362,12.672274,12.755636,0,10,4,4,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,
14,BCSR OMP,O2,8718948.393881,8.718948,0.008719,1748756,0.200751,13.547384,13.748135,0,10,16,16,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,
15,BCSR OMP,O2,27121892.06985,27.121892,0.027122,1748756,0.064901,12.375403,12.440304,0,10,2,2,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,
16,BCSR OMP,O2,16062367.412076,16.062367,0.016062,1748756,0.109409,12.613244,12.722653,0,10,4,4,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,
17,BCSR OMP,O2,6137557.039786,6.137557,0.006138,1748756,0.285307,13.562002,13.847309,0,10,16,16,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,
18,BCSR OMP,O2,68776226.203394,68.776226,0.068776,1748756,0.026995,12.477362,12.504357,0,10,2,2,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,
19,BCSR OMP,O2,39644488.075725,39.644488,0.039644,1748756,0.045307,12.689568,12.734875,0,10,4,4,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,
20,BCSR OMP,O2,18403356.2477,18.403356,0.018403,1748756,0.09633,13.532608,13.628938,0,10,16,16,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,
21,BCSR OMP,O2,41029469.956777,41.02947,0.041029,1748756,0.043832,12.506115,12.549948,0,10,2,2,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,
