,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation,Unnamed: 0
0,BCSR Serial,O2,317664068.145691,317.664068,0.317664,27980096,0.089649,52.004344,52.093993,0,10,4,4,16,-1,101492,101492,874378,1748756,24,8,3.0,14,3,
1,BCSR Serial,O2,702196689.444227,702.196689,0.702197,111920384,0.160598,51.985287,52.145885,0,10,4,4,64,-1,101492,101492,874378,1748756,24,8,3.0,14,3,
2,BCSR Serial,O2,782525696.43153,782.525696,0.782526,223840768,0.288462,52.101778,52.39024,0,10,4,4,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,
3,BCSR Serial,O2,317664068.145691,317.664068,0.317664,27980096,0.089649,52.004344,52.093993,0,10,4,4,16,-1,101492,101492,874378,1748756,24,8,3.0,14,3,0.0
4,BCSR Serial,O2,702196689.444227,702.196689,0.702197,111920384,0.160598,51.985287,52.145885,0,10,4,4,64,-1,101492,101492,874378,1748756,24,8,3.0,14,3,1.0
5,BCSR Serial,O2,782525696.43153,782.525696,0.782526,223840768,0.288462,52.101778,52.39024,0,10,4,4,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,2.0
6,BCSR Serial,O2,656511292.639534,656.511293,0.656511,27980096,0.045156,51.697325,51.742481,0,10,2,2,16,-1,101492,101492,874378,1748756,24,8,3.0,14,3,3.0
7,BCSR Serial,O2,54524375.651585,54.524376,0.054524,27980096,0.513705,53.128467,53.642172,0,10,16,16,16,-1,101492,101492,874378,1748756,24,8,3.0,14,3,4.0
8,BCSR Serial,O2,1443703814.719548,1443.703815,1.443704,111920384,0.079096,51.576388,51.655484,0,10,2,2,64,-1,101492,101492,874378,1748756,24,8,3.0,14,3,5.0
9,BCSR Serial,O2,116540283.326887,116.540283,0.11654,111920384,0.960786,53.311732,54.272518,0,10,16,16,64,-1,101492,101492,874378,1748756,24,8,3.0,14,3,6.0
10,BCSR Serial,O2,1769264501.261762,1769.264501,1.769265,223840768,0.128451,51.250069,51.37852,0,10,2,2,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,7.0
11,BCSR Serial,O2,127888542.7182,127.888543,0.127889,223840768,1.750595,52.982452,54.733048,0,10,16,16,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,8.0
