,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,551560385.788806,551.560386,0.55156,15496192,0.039303,2.861756,2.901059,480,10,4,4,16,8,23560,23560,484256,968512,21,20,1.0,1,1
1,BCSR OMP,O2,1558771025.802876,1558.771026,1.558771,61984768,0.049068,2.909369,2.958437,1920,10,4,4,64,8,23560,23560,484256,968512,21,20,1.0,1,1
2,BCSR OMP,O2,2783650325.43584,2783.650325,2.78365,123969536,0.052215,2.892902,2.945117,3840,10,4,4,128,8,23560,23560,484256,968512,21,20,1.0,1,1
3,BCSR OMP,O2,480725234.899198,480.725235,0.480725,15496192,0.05289,2.883816,2.936706,480,10,4,4,16,16,23560,23560,484256,968512,21,20,1.0,1,1
4,BCSR OMP,O2,1937196884.006169,1937.196884,1.937197,61984768,0.066885,2.925541,2.992426,1920,10,4,4,64,16,23560,23560,484256,968512,21,20,1.0,1,1
5,BCSR OMP,O2,3001777122.286067,3001.777122,3.001777,123969536,0.058218,2.907126,2.965344,3840,10,4,4,128,16,23560,23560,484256,968512,21,20,1.0,1,1
6,BCSR OMP,O2,347725536.261659,347.725536,0.347726,15496192,0.13868,2.909591,3.048271,480,10,4,4,16,32,23560,23560,484256,968512,21,20,1.0,1,1
7,BCSR OMP,O2,1031246413.009023,1031.246413,1.031246,61984768,0.104558,2.922141,3.026699,1920,10,4,4,64,32,23560,23560,484256,968512,21,20,1.0,1,1
8,BCSR OMP,O2,1989503335.030803,1989.503335,1.989503,123969536,0.152735,2.905774,3.05851,3840,10,4,4,128,32,23560,23560,484256,968512,21,20,1.0,1,1
9,BCSR OMP,O2,350767014.82405,350.767015,0.350767,15496192,0.053711,2.854644,2.908355,480,10,2,2,16,8,23560,23560,484256,968512,21,20,1.0,1,1
10,BCSR OMP,O2,644725981.568446,644.725982,0.644726,15496192,0.037699,2.945077,2.982776,480,10,16,16,16,8,23560,23560,484256,968512,21,20,1.0,1,1
11,BCSR OMP,O2,1338745520.224849,1338.74552,1.338746,61984768,0.058076,2.888554,2.94663,1920,10,2,2,64,8,23560,23560,484256,968512,21,20,1.0,1,1
12,BCSR OMP,O2,1944792188.378215,1944.792188,1.944792,61984768,0.04282,2.987217,3.030037,1920,10,16,16,64,8,23560,23560,484256,968512,21,20,1.0,1,1
13,BCSR OMP,O2,2219999332.077944,2219.999332,2.219999,123969536,0.0804,2.89838,2.97878,3840,10,2,2,128,8,23560,23560,484256,968512,21,20,1.0,1,1
14,BCSR OMP,O2,2546471338.536033,2546.471339,2.546471,123969536,0.060578,2.972785,3.033363,3840,10,16,16,128,8,23560,23560,484256,968512,21,20,1.0,1,1
15,BCSR OMP,O2,332595995.898901,332.595996,0.332596,15496192,0.075651,2.873861,2.949512,480,10,2,2,16,16,23560,23560,484256,968512,21,20,1.0,1,1
16,BCSR OMP,O2,694660068.377345,694.660068,0.69466,15496192,0.056105,2.988379,3.044484,480,10,16,16,16,16,23560,23560,484256,968512,21,20,1.0,1,1
17,BCSR OMP,O2,1207533395.020348,1207.533395,1.207533,61984768,0.086907,2.924703,3.01161,1920,10,2,2,64,16,23560,23560,484256,968512,21,20,1.0,1,1
18,BCSR OMP,O2,1786868865.670447,1786.868866,1.786869,61984768,0.072733,2.978247,3.05098,1920,10,16,16,64,16,23560,23560,484256,968512,21,20,1.0,1,1
19,BCSR OMP,O2,2021917228.713792,2021.917229,2.021917,123969536,0.079391,2.904908,2.984299,3840,10,2,2,128,16,23560,23560,484256,968512,21,20,1.0,1,1
20,BCSR OMP,O2,2503103633.542112,2503.103634,2.503104,123969536,0.081946,3.005434,3.08738,3840,10,16,16,128,16,23560,23560,484256,968512,21,20,1.0,1,1
21,BCSR OMP,O2,283763157.587422,283.763158,0.283763,15496192,0.119202,2.925822,3.045024,480,10,2,2,16,32,23560,23560,484256,968512,21,20,1.0,1,1
22,BCSR OMP,O2,687542196.787411,687.542197,0.687542,15496192,0.073662,2.980326,3.053988,480,10,16,16,16,32,23560,23560,484256,968512,21,20,1.0,1,1
23,BCSR OMP,O2,993090125.598698,993.090126,0.99309,61984768,0.120341,2.953973,3.074314,1920,10,2,2,64,32,23560,23560,484256,968512,21,20,1.0,1,1
24,BCSR OMP,O2,1674577888.663132,1674.577889,1.674578,61984768,0.075215,2.987645,3.06286,1920,10,16,16,64,32,23560,23560,484256,968512,21,20,1.0,1,1
25,BCSR OMP,O2,1313195663.840328,1313.195664,1.313196,123969536,0.14279,2.929066,3.071856,3840,10,2,2,128,32,23560,23560,484256,968512,21,20,1.0,1,1
26,BCSR OMP,O2,3109175537.472059,3109.175537,3.109176,123969536,0.08083,2.987776,3.068606,3840,10,16,16,128,32,23560,23560,484256,968512,21,20,1.0,1,1
