,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR Serial,O2,203067473.555525,203.067474,0.203067,968512,0.004853,1.073293,1.078147,480,10,2,2,16,-1,23560,23560,484256,968512,21,20,1.0,1,1
1,BCSR Serial,O2,157351405.667019,157.351406,0.157351,968512,0.006258,1.021964,1.028222,480,10,4,4,16,-1,23560,23560,484256,968512,21,20,1.0,1,1
2,BCSR Serial,O2,43145139.502797,43.14514,0.043145,968512,0.022453,1.144696,1.167149,480,10,16,16,16,-1,23560,23560,484256,968512,21,20,1.0,1,1
3,BCSR Serial,O2,76368529.479038,76.368529,0.076369,968512,0.012696,0.970556,0.983252,1920,10,2,2,64,-1,23560,23560,484256,968512,21,20,1.0,1,1
4,BCSR Serial,O2,61894313.215027,61.894313,0.061894,968512,0.015661,0.985048,1.000709,1920,10,4,4,64,-1,23560,23560,484256,968512,21,20,1.0,1,1
5,BCSR Serial,O2,17567419.348342,17.567419,0.017567,968512,0.05515,1.025085,1.080235,1920,10,16,16,64,-1,23560,23560,484256,968512,21,20,1.0,1,1
6,BCSR Serial,O2,41346233.208991,41.346233,0.041346,968512,0.023439,0.975364,0.998803,3840,10,2,2,128,-1,23560,23560,484256,968512,21,20,1.0,1,1
7,BCSR Serial,O2,35793469.147933,35.793469,0.035793,968512,0.027068,0.965669,0.992737,3840,10,4,4,128,-1,23560,23560,484256,968512,21,20,1.0,1,1
8,BCSR Serial,O2,9918238.980598,9.918239,0.009918,968512,0.097654,1.025601,1.123255,3840,10,16,16,128,-1,23560,23560,484256,968512,21,20,1.0,1,1
9,BCSR Serial,O2,3269007807.454516,3269.007807,3.269008,15496192,0.004855,1.013944,1.018799,480,10,2,2,16,-1,23560,23560,484256,968512,21,20,1.0,1,1
10,BCSR Serial,O2,818747054.082419,818.747054,0.818747,15496192,0.018935,1.021895,1.04083,480,10,16,16,16,-1,23560,23560,484256,968512,21,20,1.0,1,1
11,BCSR Serial,O2,4154367371.344626,4154.367371,4.154367,61984768,0.014983,0.880268,0.895251,1920,10,2,2,64,-1,23560,23560,484256,968512,21,20,1.0,1,1
12,BCSR Serial,O2,1224504566.952938,1224.504567,1.224505,61984768,0.050631,0.990327,1.040958,1920,10,16,16,64,-1,23560,23560,484256,968512,21,20,1.0,1,1
13,BCSR Serial,O2,5051526472.952689,5051.526473,5.051526,123969536,0.024612,0.944856,0.969468,3840,10,2,2,128,-1,23560,23560,484256,968512,21,20,1.0,1,1
14,BCSR Serial,O2,1413323672.92178,1413.323673,1.413324,123969536,0.087718,0.976423,1.064141,3840,10,16,16,128,-1,23560,23560,484256,968512,21,20,1.0,1,1
