,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,107488354.842,107.488355,0.107488,4069834,0.038161,5.389359,5.42752,0,10,2,2,16,8,62451,62451,2034917,4069834,40,32,1.0,54,7
1,BCSR OMP,O2,98412262.620314,98.412263,0.098412,4069834,0.043138,5.568966,5.612104,0,10,4,4,16,8,62451,62451,2034917,4069834,40,32,1.0,54,7
2,BCSR OMP,O2,72199155.174529,72.199155,0.072199,4069834,0.058097,5.628987,5.687084,0,10,16,16,16,8,62451,62451,2034917,4069834,40,32,1.0,54,7
3,BCSR OMP,O2,64900434.28473,64.900434,0.0649,4069834,0.06302,5.563231,5.626251,0,10,2,2,64,8,62451,62451,2034917,4069834,40,32,1.0,54,7
4,BCSR OMP,O2,56601769.071363,56.601769,0.056602,4069834,0.072249,5.571184,5.643433,0,10,4,4,64,8,62451,62451,2034917,4069834,40,32,1.0,54,7
5,BCSR OMP,O2,40626385.042303,40.626385,0.040626,4069834,0.100358,5.653788,5.754146,0,10,16,16,64,8,62451,62451,2034917,4069834,40,32,1.0,54,7
6,BCSR OMP,O2,51435659.877536,51.43566,0.051436,4069834,0.079427,5.497489,5.576916,0,10,2,2,128,8,62451,62451,2034917,4069834,40,32,1.0,54,7
7,BCSR OMP,O2,46045067.957019,46.045068,0.046045,4069834,0.089619,5.564929,5.654548,0,10,4,4,128,8,62451,62451,2034917,4069834,40,32,1.0,54,7
8,BCSR OMP,O2,32029180.222496,32.02918,0.032029,4069834,0.127498,5.610896,5.738394,0,10,16,16,128,8,62451,62451,2034917,4069834,40,32,1.0,54,7
9,BCSR OMP,O2,141002537.973122,141.002538,0.141003,4069834,0.029615,5.580416,5.610031,0,10,2,2,16,16,62451,62451,2034917,4069834,40,32,1.0,54,7
10,BCSR OMP,O2,122769055.641488,122.769056,0.122769,4069834,0.033958,5.561149,5.595107,0,10,4,4,16,16,62451,62451,2034917,4069834,40,32,1.0,54,7
11,BCSR OMP,O2,85238734.27253,85.238734,0.085239,4069834,0.048912,5.654928,5.703839,0,10,16,16,16,16,62451,62451,2034917,4069834,40,32,1.0,54,7
12,BCSR OMP,O2,90254226.424536,90.254226,0.090254,4069834,0.04568,5.525276,5.570956,0,10,2,2,64,16,62451,62451,2034917,4069834,40,32,1.0,54,7
13,BCSR OMP,O2,76468089.315951,76.468089,0.076468,4069834,0.05459,5.571823,5.626413,0,10,4,4,64,16,62451,62451,2034917,4069834,40,32,1.0,54,7
14,BCSR OMP,O2,55108874.118172,55.108874,0.055109,4069834,0.074343,5.662302,5.736645,0,10,16,16,64,16,62451,62451,2034917,4069834,40,32,1.0,54,7
15,BCSR OMP,O2,66381322.410184,66.381322,0.066381,4069834,0.061911,5.560562,5.622473,0,10,2,2,128,16,62451,62451,2034917,4069834,40,32,1.0,54,7
16,BCSR OMP,O2,59510594.054303,59.510594,0.059511,4069834,0.068863,5.596778,5.665641,0,10,4,4,128,16,62451,62451,2034917,4069834,40,32,1.0,54,7
17,BCSR OMP,O2,41595073.498212,41.595073,0.041595,4069834,0.098474,5.658344,5.756818,0,10,16,16,128,16,62451,62451,2034917,4069834,40,32,1.0,54,7
