Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,700683.335346,0.700683,0.000701,4069834,5.810343,5.405717,11.216060,0,10,2,2,16,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,698710.111730,0.698710,0.000699,4069834,5.827571,5.534617,11.362188,0,10,4,4,16,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,691528.955354,0.691529,0.000692,4069834,5.886352,5.643189,11.529541,0,10,16,16,16,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,696433.778052,0.696434,0.000696,4069834,5.846868,5.519156,11.366024,0,10,2,2,64,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,688588.372342,0.688588,0.000689,4069834,5.911409,5.543479,11.454888,0,10,4,4,64,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,662588.977811,0.662589,0.000663,4069834,6.146679,5.721750,11.868429,0,10,16,16,64,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,692748.581372,0.692749,0.000693,4069834,5.875346,5.500141,11.375487,0,10,2,2,128,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,680078.282396,0.680078,0.000680,4069834,5.987575,5.543614,11.531189,0,10,4,4,128,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,666925.196914,0.666925,0.000667,4069834,6.103035,5.639453,11.742488,0,10,16,16,128,8,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1317970.191613,1.317970,0.001318,4069834,3.088149,5.680783,8.768932,0,10,2,2,16,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1308144.427669,1.308144,0.001308,4069834,3.114512,5.553101,8.667613,0,10,4,4,16,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1248553.345277,1.248553,0.001249,4069834,3.263017,5.646059,8.909076,0,10,16,16,16,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1316947.109415,1.316947,0.001317,4069834,3.090759,5.517316,8.608075,0,10,2,2,64,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1217506.563821,1.217507,0.001218,4069834,3.345773,5.539241,8.885014,0,10,4,4,64,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1282030.036361,1.282030,0.001282,4069834,3.174889,5.600382,8.775271,0,10,16,16,64,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1260054.542992,1.260055,0.001260,4069834,3.231115,5.540763,8.771878,0,10,2,2,128,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1304545.991425,1.304546,0.001305,4069834,3.120624,5.552391,8.673015,0,10,4,4,128,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,1204324.874649,1.204325,0.001204,4069834,3.380352,5.621154,9.001506,0,10,16,16,128,16,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2365543.830045,2.365544,0.002366,4069834,1.721750,5.526121,7.247871,0,10,2,2,16,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2406883.368764,2.406883,0.002407,4069834,1.692476,5.754965,7.447441,0,10,4,4,16,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2428846.394676,2.428846,0.002429,4069834,1.675862,5.617899,7.293761,0,10,16,16,16,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2390171.620237,2.390172,0.002390,4069834,1.705323,5.519312,7.224635,0,10,2,2,64,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2336959.453007,2.336959,0.002337,4069834,1.743354,5.529697,7.273051,0,10,4,4,64,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2310344.078871,2.310344,0.002310,4069834,1.762765,5.612179,7.374944,0,10,16,16,64,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2321724.550698,2.321725,0.002322,4069834,1.754124,5.524515,7.278639,0,10,2,2,128,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2352205.209690,2.352205,0.002352,4069834,1.730629,5.600252,7.330881,0,10,4,4,128,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
BCSR OMP Transpose,O2,2319959.940729,2.319960,0.002320,4069834,1.754917,5.531477,7.286394,0,10,16,16,128,32,62451,62451,2034917,4069834,40,32,1.000000,54,7
