Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,2206896.276764,2.206896,0.002207,14212696,6.445565,7.547309,13.992874,32,10,2,2,16,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,2194227.484682,2.194227,0.002194,14212696,6.480782,7.501081,13.981863,32,10,4,4,16,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,2233971.896138,2.233972,0.002234,14212696,6.365190,8.032907,14.398097,32,10,16,16,16,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,2155738.318661,2.155738,0.002156,14212696,6.595882,7.469414,14.065296,128,10,2,2,64,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,2137679.832062,2.137680,0.002138,14212696,6.654965,7.519103,14.174068,128,10,4,4,64,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,2094937.160973,2.094937,0.002095,14212696,6.786917,8.076423,14.863340,128,10,16,16,64,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,2180304.606966,2.180305,0.002180,14212696,6.519501,7.843287,14.362788,256,10,2,2,128,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,2117674.774451,2.117675,0.002118,14212696,6.720182,7.726432,14.446614,256,10,4,4,128,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,2024090.177849,2.024090,0.002024,14212696,7.022902,8.095526,15.118428,256,10,16,16,128,8,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,4135003.764356,4.135004,0.004135,14212696,3.441766,7.547418,10.989184,32,10,2,2,16,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,4055130.030701,4.055130,0.004055,14212696,3.511411,7.591474,11.102885,32,10,4,4,16,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,4095606.294753,4.095606,0.004096,14212696,3.473027,8.106770,11.579797,32,10,16,16,16,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,4112608.289677,4.112608,0.004113,14212696,3.457196,7.539063,10.996259,128,10,2,2,64,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,4022051.386883,4.022051,0.004022,14212696,3.540083,7.591501,11.131584,128,10,4,4,64,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,3893548.000774,3.893548,0.003894,14212696,3.652112,8.317609,11.969721,128,10,16,16,64,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,3999674.515452,3.999675,0.004000,14212696,3.555976,7.535795,11.091771,256,10,2,2,128,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,3794061.440141,3.794061,0.003794,14212696,3.751177,7.667741,11.418917,256,10,4,4,128,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,3696367.934926,3.696368,0.003696,14212696,3.849375,8.083857,11.933232,256,10,16,16,128,16,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7748230.552797,7.748231,0.007748,14212696,1.836340,7.568929,9.405269,32,10,2,2,16,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7334495.260267,7.334495,0.007334,14212696,1.941653,7.608993,9.550646,32,10,4,4,16,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7551486.707365,7.551487,0.007551,14212696,1.883576,8.148198,10.031774,32,10,16,16,16,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7572253.116526,7.572253,0.007572,14212696,1.878258,7.519661,9.397919,128,10,2,2,64,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7370400.664458,7.370401,0.007370,14212696,1.929722,7.623623,9.553345,128,10,4,4,64,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7141601.040683,7.141601,0.007142,14212696,1.990293,8.309427,10.299720,128,10,16,16,64,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7325255.036254,7.325255,0.007325,14212696,1.941816,7.527846,9.469662,256,10,2,2,128,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,7091230.284979,7.091230,0.007091,14212696,2.005512,7.602763,9.608275,256,10,4,4,128,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
BCSR OMP Transpose,O2,6519344.621474,6.519345,0.006519,14212696,2.180993,8.431679,10.612672,256,10,16,16,128,32,63838,63838,7106348,14212696,297,111,2.000000,2339,48
