,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,264752868.469431,264.752868,0.264753,83492,0.001292,0.179848,0.18114,0,10,2,2,16,8,8192,8192,41746,83492,8,5,1.0,0,0
1,BCSR OMP,O2,133732457.527629,133.732458,0.133732,83492,0.001497,0.152951,0.154448,0,10,4,4,16,8,8192,8192,41746,83492,8,5,1.0,0,0
2,BCSR OMP,O2,73313352.228584,73.313352,0.073313,83492,0.003425,0.117315,0.12074,0,10,16,16,16,8,8192,8192,41746,83492,8,5,1.0,0,0
3,BCSR OMP,O2,106048935.698539,106.048936,0.106049,83492,0.001988,0.123656,0.125644,0,10,2,2,64,8,8192,8192,41746,83492,8,5,1.0,0,0
4,BCSR OMP,O2,65503091.121946,65.503091,0.065503,83492,0.002747,0.112128,0.114875,0,10,4,4,64,8,8192,8192,41746,83492,8,5,1.0,0,0
5,BCSR OMP,O2,27052657.125686,27.052657,0.027053,83492,0.006024,0.118135,0.124159,0,10,16,16,64,8,8192,8192,41746,83492,8,5,1.0,0,0
6,BCSR OMP,O2,103805056.344848,103.805056,0.103805,83492,0.00198,0.109563,0.111543,0,10,2,2,128,8,8192,8192,41746,83492,8,5,1.0,0,0
7,BCSR OMP,O2,63925200.053576,63.9252,0.063925,83492,0.001618,0.109899,0.111517,0,10,4,4,128,8,8192,8192,41746,83492,8,5,1.0,0,0
8,BCSR OMP,O2,16061143.299456,16.061143,0.016061,83492,0.008656,0.19116,0.199816,0,10,16,16,128,8,8192,8192,41746,83492,8,5,1.0,0,0
9,BCSR OMP,O2,481567521.506006,481.567522,0.481568,83492,0.001231,0.10386,0.105091,0,10,2,2,16,16,8192,8192,41746,83492,8,5,1.0,0,0
10,BCSR OMP,O2,218160501.229347,218.160501,0.218161,83492,0.001256,0.115134,0.11639,0,10,4,4,16,16,8192,8192,41746,83492,8,5,1.0,0,0
11,BCSR OMP,O2,65592534.534163,65.592535,0.065593,83492,0.003122,0.187579,0.190701,0,10,16,16,16,16,8192,8192,41746,83492,8,5,1.0,0,0
12,BCSR OMP,O2,138002530.888998,138.002531,0.138003,83492,0.001464,0.180639,0.182103,0,10,2,2,64,16,8192,8192,41746,83492,8,5,1.0,0,0
13,BCSR OMP,O2,144416199.334286,144.416199,0.144416,83492,0.002012,0.111429,0.113441,0,10,4,4,64,16,8192,8192,41746,83492,8,5,1.0,0,0
14,BCSR OMP,O2,42878119.977654,42.87812,0.042878,83492,0.004047,0.113711,0.117758,0,10,16,16,64,16,8192,8192,41746,83492,8,5,1.0,0,0
15,BCSR OMP,O2,115955070.33003,115.95507,0.115955,83492,0.001757,0.16265,0.164407,0,10,2,2,128,16,8192,8192,41746,83492,8,5,1.0,0,0
16,BCSR OMP,O2,119091136.832342,119.091137,0.119091,83492,0.001377,0.104035,0.105412,0,10,4,4,128,16,8192,8192,41746,83492,8,5,1.0,0,0
17,BCSR OMP,O2,26682135.082063,26.682135,0.026682,83492,0.005397,0.12169,0.127087,0,10,16,16,128,16,8192,8192,41746,83492,8,5,1.0,0,0
18,BCSR OMP,O2,918118084.825059,918.118085,0.918118,83492,0.001175,0.110517,0.111692,0,10,2,2,16,32,8192,8192,41746,83492,8,5,1.0,0,0
19,BCSR OMP,O2,325661688.46919,325.661688,0.325662,83492,0.001671,0.187146,0.188817,0,10,4,4,16,32,8192,8192,41746,83492,8,5,1.0,0,0
20,BCSR OMP,O2,151660867.879916,151.660868,0.151661,83492,0.001809,0.112387,0.114196,0,10,16,16,16,32,8192,8192,41746,83492,8,5,1.0,0,0
21,BCSR OMP,O2,371927992.171164,371.927992,0.371928,83492,0.00084,0.103923,0.104763,0,10,2,2,64,32,8192,8192,41746,83492,8,5,1.0,0,0
22,BCSR OMP,O2,298945666.251767,298.945666,0.298946,83492,0.00144,0.179719,0.181159,0,10,4,4,64,32,8192,8192,41746,83492,8,5,1.0,0,0
23,BCSR OMP,O2,66868135.355691,66.868135,0.066868,83492,0.003087,0.112436,0.115523,0,10,16,16,64,32,8192,8192,41746,83492,8,5,1.0,0,0
24,BCSR OMP,O2,179252646.105008,179.252646,0.179253,83492,0.001358,0.102077,0.103435,0,10,2,2,128,32,8192,8192,41746,83492,8,5,1.0,0,0
25,BCSR OMP,O2,144441070.443076,144.44107,0.144441,83492,0.002265,0.116786,0.119051,0,10,4,4,128,32,8192,8192,41746,83492,8,5,1.0,0,0
26,BCSR OMP,O2,44967973.040176,44.967973,0.044968,83492,0.004775,0.119122,0.123897,0,10,16,16,128,32,8192,8192,41746,83492,8,5,1.0,0,0
27,BCSR OMP,O2,143562528.751749,143.562529,0.143563,1335872,0.011256,0.156691,0.167947,0,10,2,2,16,8,8192,8192,41746,83492,8,5,1.0,0,0
28,BCSR OMP,O2,494599841.113108,494.599841,0.4946,1335872,0.004885,0.111768,0.116652,0,10,16,16,16,8,8192,8192,41746,83492,8,5,1.0,0,0
29,BCSR OMP,O2,585882654.510202,585.882655,0.585883,5343488,0.010721,0.179514,0.190235,0,10,2,2,64,8,8192,8192,41746,83492,8,5,1.0,0,0
30,BCSR OMP,O2,1128066695.037361,1128.066695,1.128067,5343488,0.007397,0.108718,0.116114,0,10,16,16,64,8,8192,8192,41746,83492,8,5,1.0,0,0
31,BCSR OMP,O2,1206353315.714285,1206.353316,1.206353,10686976,0.009119,0.103028,0.112147,0,10,2,2,128,8,8192,8192,41746,83492,8,5,1.0,0,0
32,BCSR OMP,O2,1659872473.756259,1659.872474,1.659872,10686976,0.010136,0.128628,0.138764,0,10,16,16,128,8,8192,8192,41746,83492,8,5,1.0,0,0
33,BCSR OMP,O2,124903840.413521,124.90384,0.124904,1335872,0.012601,0.097131,0.109732,0,10,2,2,16,16,8192,8192,41746,83492,8,5,1.0,0,0
34,BCSR OMP,O2,622577768.436603,622.577768,0.622578,1335872,0.003295,0.115016,0.118311,0,10,16,16,16,16,8192,8192,41746,83492,8,5,1.0,0,0
35,BCSR OMP,O2,524216646.621621,524.216647,0.524217,5343488,0.011779,0.103361,0.11514,0,10,2,2,64,16,8192,8192,41746,83492,8,5,1.0,0,0
36,BCSR OMP,O2,1580694666.661581,1580.694667,1.580695,5343488,0.005036,0.108941,0.113977,0,10,16,16,64,16,8192,8192,41746,83492,8,5,1.0,0,0
37,BCSR OMP,O2,990113704.649986,990.113705,0.990114,10686976,0.011369,0.118266,0.129635,0,10,2,2,128,16,8192,8192,41746,83492,8,5,1.0,0,0
38,BCSR OMP,O2,2401053153.05942,2401.053153,2.401053,10686976,0.007084,0.109002,0.116086,0,10,16,16,128,16,8192,8192,41746,83492,8,5,1.0,0,0
39,BCSR OMP,O2,99364828.255324,99.364828,0.099365,1335872,0.016939,0.118091,0.13503,0,10,2,2,16,32,8192,8192,41746,83492,8,5,1.0,0,0
40,BCSR OMP,O2,546270620.801854,546.270621,0.546271,1335872,0.004675,0.188679,0.193354,0,10,16,16,16,32,8192,8192,41746,83492,8,5,1.0,0,0
41,BCSR OMP,O2,443648429.85094,443.64843,0.443648,5343488,0.013606,0.09943,0.113036,0,10,2,2,64,32,8192,8192,41746,83492,8,5,1.0,0,0
42,BCSR OMP,O2,1515913712.597313,1515.913713,1.515914,5343488,0.007464,0.112236,0.1197,0,10,16,16,64,32,8192,8192,41746,83492,8,5,1.0,0,0
43,BCSR OMP,O2,924770398.239124,924.770398,0.92477,10686976,0.012349,0.096304,0.108653,0,10,2,2,128,32,8192,8192,41746,83492,8,5,1.0,0,0
44,BCSR OMP,O2,2623315662.314225,2623.315662,2.623316,10686976,0.004841,0.108449,0.11329,0,10,16,16,128,32,8192,8192,41746,83492,8,5,1.0,0,0
