,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR Serial,O2,114620427.544803,114.620428,0.11462,83492,0.000733,0.205126,0.205859,0,10,2,2,16,-1,8192,8192,41746,83492,8,5,1.0,0,0
1,BCSR Serial,O2,67606499.792869,67.6065,0.067606,83492,0.001238,0.196751,0.197989,0,10,4,4,16,-1,8192,8192,41746,83492,8,5,1.0,0,0
2,BCSR Serial,O2,19032945.216983,19.032945,0.019033,83492,0.004388,0.210122,0.214511,0,10,16,16,16,-1,8192,8192,41746,83492,8,5,1.0,0,0
3,BCSR Serial,O2,42747292.519867,42.747293,0.042747,83492,0.001972,0.181276,0.183248,0,10,2,2,64,-1,8192,8192,41746,83492,8,5,1.0,0,0
4,BCSR Serial,O2,26541686.981047,26.541687,0.026542,83492,0.003158,0.114509,0.117667,0,10,4,4,64,-1,8192,8192,41746,83492,8,5,1.0,0,0
5,BCSR Serial,O2,7492736.861347,7.492737,0.007493,83492,0.011154,0.165998,0.177152,0,10,16,16,64,-1,8192,8192,41746,83492,8,5,1.0,0,0
6,BCSR Serial,O2,20766484.200819,20.766484,0.020766,83492,0.004057,0.189034,0.193091,0,10,2,2,128,-1,8192,8192,41746,83492,8,5,1.0,0,0
7,BCSR Serial,O2,14396430.233792,14.39643,0.014396,83492,0.005831,0.193945,0.199776,0,10,4,4,128,-1,8192,8192,41746,83492,8,5,1.0,0,0
8,BCSR Serial,O2,4379196.547355,4.379197,0.004379,83492,0.019081,0.174639,0.19372,0,10,16,16,128,-1,8192,8192,41746,83492,8,5,1.0,0,0
9,BCSR Serial,O2,971718991.8761,971.718992,0.971719,1335872,0.001635,0.2276,0.229235,0,10,2,2,16,-1,8192,8192,41746,83492,8,5,1.0,0,0
10,BCSR Serial,O2,316477708.733259,316.477709,0.316478,1335872,0.004299,0.180049,0.184348,0,10,16,16,16,-1,8192,8192,41746,83492,8,5,1.0,0,0
11,BCSR Serial,O2,2565766405.503519,2565.766406,2.565766,5343488,0.002106,0.105104,0.10721,0,10,2,2,64,-1,8192,8192,41746,83492,8,5,1.0,0,0
12,BCSR Serial,O2,479604590.483343,479.60459,0.479605,5343488,0.011152,0.198161,0.209313,0,10,16,16,64,-1,8192,8192,41746,83492,8,5,1.0,0,0
13,BCSR Serial,O2,2978322885.160276,2978.322885,2.978323,10686976,0.003625,0.190462,0.194087,0,10,2,2,128,-1,8192,8192,41746,83492,8,5,1.0,0,0
14,BCSR Serial,O2,580355347.147974,580.355347,0.580355,10686976,0.01843,0.195022,0.213452,0,10,16,16,128,-1,8192,8192,41746,83492,8,5,1.0,0,0
