,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,303277450.362862,303.27745,0.303277,28787634,0.095416,11.958515,12.053931,256,10,2,2,16,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
1,BCSR OMP,O2,296716249.290117,296.716249,0.296716,28787634,0.097788,11.912253,12.010041,256,10,4,4,16,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
2,BCSR OMP,O2,224491138.188037,224.491138,0.224491,28787634,0.128605,12.285552,12.414157,256,10,16,16,16,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
3,BCSR OMP,O2,197515674.46063,197.515674,0.197516,28787634,0.146557,11.915121,12.061678,1024,10,2,2,64,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
4,BCSR OMP,O2,184321390.784933,184.321391,0.184321,28787634,0.157111,12.016787,12.173898,1024,10,4,4,64,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
5,BCSR OMP,O2,124590163.845405,124.590164,0.12459,28787634,0.231276,12.334396,12.565672,1024,10,16,16,64,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
6,BCSR OMP,O2,139211219.714143,139.21122,0.139211,28787634,0.207519,11.933659,12.141179,2048,10,2,2,128,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
7,BCSR OMP,O2,130148534.484436,130.148534,0.130149,28787634,0.222163,11.993359,12.215522,2048,10,4,4,128,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
8,BCSR OMP,O2,93125547.35116,93.125547,0.093126,28787634,0.309868,12.218467,12.528335,2048,10,16,16,128,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
9,BCSR OMP,O2,400367835.209674,400.367835,0.400368,28787634,0.072388,11.995417,12.067805,256,10,2,2,16,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
10,BCSR OMP,O2,392059370.054018,392.05937,0.392059,28787634,0.074395,11.962794,12.037189,256,10,4,4,16,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
11,BCSR OMP,O2,305640120.663648,305.640121,0.30564,28787634,0.094651,12.241908,12.336559,256,10,16,16,16,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
12,BCSR OMP,O2,262620977.437437,262.620977,0.262621,28787634,0.110208,11.98978,12.099988,1024,10,2,2,64,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
13,BCSR OMP,O2,244735844.463768,244.735844,0.244736,28787634,0.118149,12.015219,12.133368,1024,10,4,4,64,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
14,BCSR OMP,O2,178217514.597539,178.217515,0.178218,28787634,0.162054,12.327746,12.4898,1024,10,16,16,64,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
15,BCSR OMP,O2,193844223.064808,193.844223,0.193844,28787634,0.148988,12.017631,12.166619,2048,10,2,2,128,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
16,BCSR OMP,O2,187424651.036826,187.424651,0.187425,28787634,0.154036,12.008455,12.162491,2048,10,4,4,128,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
17,BCSR OMP,O2,136234618.034613,136.234618,0.136235,28787634,0.212205,12.305893,12.518098,2048,10,16,16,128,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
18,BCSR OMP,O2,512734563.729254,512.734564,0.512735,28787634,0.057531,11.929777,11.987308,256,10,2,2,16,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
19,BCSR OMP,O2,485315496.243534,485.315496,0.485315,28787634,0.060498,12.017719,12.078217,256,10,4,4,16,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
20,BCSR OMP,O2,377274809.913951,377.27481,0.377275,28787634,0.078035,12.58038,12.658415,256,10,16,16,16,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
21,BCSR OMP,O2,325444054.658955,325.444055,0.325444,28787634,0.089307,12.018724,12.108031,1024,10,2,2,64,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
22,BCSR OMP,O2,309196858.446972,309.196858,0.309197,28787634,0.094038,12.009072,12.10311,1024,10,4,4,64,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
23,BCSR OMP,O2,239004932.310832,239.004932,0.239005,28787634,0.121284,12.266282,12.387566,1024,10,16,16,64,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
24,BCSR OMP,O2,264035898.235376,264.035898,0.264036,28787634,0.109767,11.98331,12.093077,2048,10,2,2,128,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
25,BCSR OMP,O2,243654349.599633,243.65435,0.243654,28787634,0.118771,11.963444,12.082215,2048,10,4,4,128,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
26,BCSR OMP,O2,180378579.820685,180.37858,0.180379,28787634,0.160268,12.298025,12.458293,2048,10,16,16,128,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
27,BCSR OMP,O2,2299313625.559538,2299.313626,2.299314,460602144,0.20199,11.758639,11.960629,256,10,2,2,16,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
28,BCSR OMP,O2,3565332706.299994,3565.332706,3.565333,460602144,0.129984,12.251995,12.381979,256,10,16,16,16,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
29,BCSR OMP,O2,5280157478.739069,5280.157479,5.280157,1842408576,0.349908,11.897664,12.247572,1024,10,2,2,64,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
30,BCSR OMP,O2,7935340193.315239,7935.340193,7.93534,1842408576,0.232519,12.247169,12.479688,1024,10,16,16,64,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
31,BCSR OMP,O2,7022904751.394861,7022.904751,7.022905,3684817152,0.52544,11.950222,12.475662,2048,10,2,2,128,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
32,BCSR OMP,O2,11819482319.162262,11819.482319,11.819482,3684817152,0.311891,12.214718,12.526609,2048,10,16,16,128,8,72000,72000,14393817,28787634,481,199,2.0,6652,81
33,BCSR OMP,O2,2151480989.099095,2151.480989,2.151481,460602144,0.215592,11.939364,12.154956,256,10,2,2,16,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
34,BCSR OMP,O2,4403942997.414439,4403.942997,4.403943,460602144,0.105004,12.256267,12.361271,256,10,16,16,16,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
35,BCSR OMP,O2,5319729458.333826,5319.729458,5.319729,1842408576,0.347665,11.977165,12.32483,1024,10,2,2,64,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
36,BCSR OMP,O2,10600361466.802324,10600.361467,10.600361,1842408576,0.176825,12.247104,12.423929,1024,10,16,16,64,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
37,BCSR OMP,O2,6602845285.700655,6602.845286,6.602845,3684817152,0.558558,11.973653,12.532211,2048,10,2,2,128,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
38,BCSR OMP,O2,17283957851.39834,17283.957851,17.283958,3684817152,0.213728,12.230669,12.444397,2048,10,16,16,128,16,72000,72000,14393817,28787634,481,199,2.0,6652,81
39,BCSR OMP,O2,1849609712.75039,1849.609713,1.84961,460602144,0.250481,11.92033,12.170811,256,10,2,2,16,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
40,BCSR OMP,O2,3030075746.547244,3030.075747,3.030076,460602144,0.159635,12.228659,12.388294,256,10,16,16,16,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
41,BCSR OMP,O2,4875150164.080637,4875.150164,4.87515,1842408576,0.378818,11.888737,12.267555,1024,10,2,2,64,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
42,BCSR OMP,O2,7882300883.860773,7882.300884,7.882301,1842408576,0.239282,12.228142,12.467424,1024,10,16,16,64,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
43,BCSR OMP,O2,6611821653.871901,6611.821654,6.611822,3684817152,0.557742,11.958244,12.515986,2048,10,2,2,128,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
44,BCSR OMP,O2,13105478919.376842,13105.478919,13.105479,3684817152,0.288054,12.265269,12.553323,2048,10,16,16,128,32,72000,72000,14393817,28787634,481,199,2.0,6652,81
