Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
BCSR OMP Transpose,O2,3795842.032793,3.795842,0.003796,28787634,7.586015,11.778349,19.364364,256,10,2,2,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,3712884.939812,3.712885,0.003713,28787634,7.765156,12.056558,19.821714,256,10,4,4,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,3696337.941465,3.696338,0.003696,28787634,7.796299,12.387042,20.183341,256,10,16,16,16,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,3682688.009258,3.682688,0.003683,28787634,7.822588,12.089638,19.912226,1024,10,2,2,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,3693877.440785,3.693877,0.003694,28787634,7.795500,12.064504,19.860004,1024,10,4,4,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,3668481.202487,3.668481,0.003668,28787634,7.849340,12.398711,20.248051,1024,10,16,16,64,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,3672957.002260,3.672957,0.003673,28787634,7.838606,12.090070,19.928676,2048,10,2,2,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,3560951.520929,3.560952,0.003561,28787634,8.087113,12.066136,20.153249,2048,10,4,4,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,3460324.723807,3.460325,0.003460,28787634,8.323237,12.429000,20.752237,2048,10,16,16,128,8,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,7062883.252162,7.062883,0.007063,28787634,4.077211,12.106078,16.183289,256,10,2,2,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6987479.274415,6.987479,0.006987,28787634,4.122569,12.344869,16.467438,256,10,4,4,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6852404.515042,6.852405,0.006852,28787634,4.201972,12.390494,16.592466,256,10,16,16,16,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6942587.572660,6.942588,0.006943,28787634,4.149687,12.062106,16.211793,1024,10,2,2,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6488690.713346,6.488691,0.006489,28787634,4.442086,12.081772,16.523858,1024,10,4,4,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6413066.225964,6.413066,0.006413,28787634,4.489555,12.387024,16.876579,1024,10,16,16,64,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6806129.365628,6.806129,0.006806,28787634,4.230591,12.076315,16.306906,2048,10,2,2,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6556997.852809,6.556998,0.006557,28787634,4.394319,12.049625,16.443944,2048,10,4,4,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,6573629.148191,6.573629,0.006574,28787634,4.379532,12.377848,16.757380,2048,10,16,16,128,16,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,12877007.112335,12.877007,0.012877,28787634,2.237436,12.106252,14.343688,256,10,2,2,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,12820711.453898,12.820711,0.012821,28787634,2.246166,12.055727,14.301893,256,10,4,4,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,12349294.170009,12.349294,0.012349,28787634,2.331638,12.663009,14.994646,256,10,16,16,16,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,12416189.733443,12.416190,0.012416,28787634,2.319746,12.047707,14.367453,1024,10,2,2,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,12306601.334559,12.306601,0.012307,28787634,2.340839,12.092996,14.433835,1024,10,4,4,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,12043320.583753,12.043321,0.012043,28787634,2.390906,12.366453,14.757359,1024,10,16,16,64,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,12038214.064587,12.038214,0.012038,28787634,2.392145,12.078259,14.470404,2048,10,2,2,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,12014302.397548,12.014302,0.012014,28787634,2.398258,12.091605,14.489863,2048,10,4,4,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
BCSR OMP Transpose,O2,11630815.998901,11.630816,0.011631,28787634,2.475989,12.414001,14.889990,2048,10,16,16,128,32,72000,72000,14393817,28787634,481,199,2.000000,6652,81
