,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,1816111245.150112,1816.111245,1.816111,70098912,0.053284,7.21769,7.270974,144,10,4,4,16,8,36417,36417,2190591,4381182,184,60,3.0,753,27
1,BCSR OMP,O2,3617794869.730615,3617.79487,3.617795,280395648,0.13325,7.246176,7.379426,576,10,4,4,64,8,36417,36417,2190591,4381182,184,60,3.0,753,27
2,BCSR OMP,O2,8825695919.65859,8825.69592,8.825696,560791296,0.068296,7.233263,7.301559,1152,10,4,4,128,8,36417,36417,2190591,4381182,184,60,3.0,753,27
3,BCSR OMP,O2,1352955975.741005,1352.955976,1.352956,70098912,0.070847,7.252114,7.322961,144,10,4,4,16,16,36417,36417,2190591,4381182,184,60,3.0,753,27
4,BCSR OMP,O2,4263148001.979743,4263.148002,4.263148,280395648,0.10643,7.270815,7.377245,576,10,4,4,64,16,36417,36417,2190591,4381182,184,60,3.0,753,27
5,BCSR OMP,O2,4515583284.828246,4515.583285,4.515583,560791296,0.164732,7.292855,7.457587,1152,10,4,4,128,16,36417,36417,2190591,4381182,184,60,3.0,753,27
6,BCSR OMP,O2,1000729294.487177,1000.729294,1.000729,70098912,0.124669,7.284334,7.409003,144,10,4,4,16,32,36417,36417,2190591,4381182,184,60,3.0,753,27
7,BCSR OMP,O2,2867674344.878885,2867.674345,2.867674,280395648,0.139387,7.249222,7.388609,576,10,4,4,64,32,36417,36417,2190591,4381182,184,60,3.0,753,27
8,BCSR OMP,O2,6036406995.205725,6036.406995,6.036407,560791296,0.160197,7.271703,7.4319,1152,10,4,4,128,32,36417,36417,2190591,4381182,184,60,3.0,753,27
9,BCSR OMP,O2,720940674.848596,720.940675,0.720941,70098912,0.143851,7.218138,7.361989,144,10,2,2,16,8,36417,36417,2190591,4381182,184,60,3.0,753,27
10,BCSR OMP,O2,1642046277.380155,1642.046277,1.642046,70098912,0.09953,7.308773,7.408303,144,10,16,16,16,8,36417,36417,2190591,4381182,184,60,3.0,753,27
11,BCSR OMP,O2,2869331713.778441,2869.331714,2.869332,280395648,0.144376,7.269409,7.413785,576,10,2,2,64,8,36417,36417,2190591,4381182,184,60,3.0,753,27
12,BCSR OMP,O2,6980536758.963575,6980.536759,6.980537,280395648,0.041524,7.268605,7.310129,576,10,16,16,64,8,36417,36417,2190591,4381182,184,60,3.0,753,27
13,BCSR OMP,O2,6299230433.741694,6299.230434,6.29923,560791296,0.091013,7.2678,7.358812,1152,10,2,2,128,8,36417,36417,2190591,4381182,184,60,3.0,753,27
14,BCSR OMP,O2,8163229463.607265,8163.229464,8.163229,560791296,0.095254,7.325999,7.421253,1152,10,16,16,128,8,36417,36417,2190591,4381182,184,60,3.0,753,27
15,BCSR OMP,O2,824389612.144954,824.389612,0.82439,70098912,0.126712,7.270647,7.397359,144,10,2,2,16,16,36417,36417,2190591,4381182,184,60,3.0,753,27
16,BCSR OMP,O2,2609470942.759157,2609.470943,2.609471,70098912,0.122273,7.346597,7.46887,144,10,16,16,16,16,36417,36417,2190591,4381182,184,60,3.0,753,27
17,BCSR OMP,O2,4070474835.597369,4070.474836,4.070475,280395648,0.070212,7.307319,7.37753,576,10,2,2,64,16,36417,36417,2190591,4381182,184,60,3.0,753,27
18,BCSR OMP,O2,6802394316.399638,6802.394316,6.802394,280395648,0.055574,7.413433,7.469007,576,10,16,16,64,16,36417,36417,2190591,4381182,184,60,3.0,753,27
19,BCSR OMP,O2,5251201323.437765,5251.201323,5.251201,560791296,0.121838,7.254769,7.376607,1152,10,2,2,128,16,36417,36417,2190591,4381182,184,60,3.0,753,27
20,BCSR OMP,O2,8244627728.175382,8244.627728,8.244628,560791296,0.086064,7.337572,7.423636,1152,10,16,16,128,16,36417,36417,2190591,4381182,184,60,3.0,753,27
21,BCSR OMP,O2,705912222.088496,705.912222,0.705912,70098912,0.16962,7.249984,7.419604,144,10,2,2,16,32,36417,36417,2190591,4381182,184,60,3.0,753,27
22,BCSR OMP,O2,1940584841.066689,1940.584841,1.940585,70098912,0.100066,7.347468,7.447534,144,10,16,16,16,32,36417,36417,2190591,4381182,184,60,3.0,753,27
23,BCSR OMP,O2,2477248895.052913,2477.248895,2.477249,280395648,0.259651,7.304187,7.563838,576,10,2,2,64,32,36417,36417,2190591,4381182,184,60,3.0,753,27
24,BCSR OMP,O2,6016519825.165375,6016.519825,6.01652,280395648,0.068808,7.352593,7.421401,576,10,16,16,64,32,36417,36417,2190591,4381182,184,60,3.0,753,27
25,BCSR OMP,O2,5331025077.230919,5331.025077,5.331025,560791296,0.148836,7.244353,7.39319,1152,10,2,2,128,32,36417,36417,2190591,4381182,184,60,3.0,753,27
26,BCSR OMP,O2,9188370250.637049,9188.370251,9.18837,560791296,0.090468,7.365261,7.455729,1152,10,16,16,128,32,36417,36417,2190591,4381182,184,60,3.0,753,27
