,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR Serial,O2,196831019.485518,196.831019,0.196831,4381182,0.022295,2.588292,2.610587,144,10,2,2,16,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
1,BCSR Serial,O2,161840832.021723,161.840832,0.161841,4381182,0.027115,2.614689,2.641805,144,10,4,4,16,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
2,BCSR Serial,O2,91216889.088717,91.216889,0.091217,4381182,0.048053,2.713379,2.761431,144,10,16,16,16,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
3,BCSR Serial,O2,88341482.487819,88.341482,0.088341,4381182,0.049602,2.606277,2.655879,576,10,2,2,64,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
4,BCSR Serial,O2,65510719.900241,65.51072,0.065511,4381182,0.066885,2.622068,2.688953,576,10,4,4,64,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
5,BCSR Serial,O2,34776677.926564,34.776678,0.034777,4381182,0.125984,2.65426,2.780244,576,10,16,16,64,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
6,BCSR Serial,O2,47650105.487376,47.650105,0.04765,4381182,0.091969,2.585832,2.677801,1152,10,2,2,128,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
7,BCSR Serial,O2,37783615.204911,37.783615,0.037784,4381182,0.115966,2.579644,2.69561,1152,10,4,4,128,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
8,BCSR Serial,O2,18585095.698468,18.585096,0.018585,4381182,0.235741,2.658865,2.894606,1152,10,16,16,128,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
9,BCSR Serial,O2,3320683109.496448,3320.683109,3.320683,70098912,0.021132,2.698902,2.720034,144,10,2,2,16,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
10,BCSR Serial,O2,1800956042.914135,1800.956043,1.800956,70098912,0.038943,2.692268,2.731211,144,10,16,16,16,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
11,BCSR Serial,O2,6031328790.740168,6031.328791,6.031329,280395648,0.046494,2.482268,2.528762,576,10,2,2,64,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
12,BCSR Serial,O2,2382186801.036393,2382.186801,2.382187,280395648,0.117709,2.626467,2.744176,576,10,16,16,64,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
13,BCSR Serial,O2,6827426722.271261,6827.426722,6.827427,560791296,0.082156,2.521924,2.60408,1152,10,2,2,128,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
14,BCSR Serial,O2,2691997125.594675,2691.997126,2.691997,560791296,0.20832,2.617103,2.825423,1152,10,16,16,128,-1,36417,36417,2190591,4381182,184,60,3.0,753,27
