,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR OMP,O2,1331416667.947266,1331.416668,1.331417,75968032,0.066388,11.425392,11.49178,6112,10,4,4,16,8,46835,46835,2374001,4748002,145,50,2.0,772,27
1,BCSR OMP,O2,4554577938.011702,4554.577938,4.554578,303872128,0.068368,11.361649,11.430017,24448,10,4,4,64,8,46835,46835,2374001,4748002,145,50,2.0,772,27
2,BCSR OMP,O2,7585691359.684237,7585.69136,7.585691,607744256,0.0816,11.367153,11.448753,48896,10,4,4,128,8,46835,46835,2374001,4748002,145,50,2.0,772,27
3,BCSR OMP,O2,1122832117.786704,1122.832118,1.122832,75968032,0.160859,11.36088,11.521739,6112,10,4,4,16,16,46835,46835,2374001,4748002,145,50,2.0,772,27
4,BCSR OMP,O2,4612148116.816475,4612.148117,4.612148,303872128,0.068066,11.376356,11.444422,24448,10,4,4,64,16,46835,46835,2374001,4748002,145,50,2.0,772,27
5,BCSR OMP,O2,7273371945.442682,7273.371945,7.273372,607744256,0.09224,11.345789,11.438029,48896,10,4,4,128,16,46835,46835,2374001,4748002,145,50,2.0,772,27
6,BCSR OMP,O2,925452704.155773,925.452704,0.925453,75968032,0.1142,11.353799,11.468,6112,10,4,4,16,32,46835,46835,2374001,4748002,145,50,2.0,772,27
7,BCSR OMP,O2,3843945478.319312,3843.945478,3.843945,303872128,0.109499,11.410659,11.520158,24448,10,4,4,64,32,46835,46835,2374001,4748002,145,50,2.0,772,27
8,BCSR OMP,O2,4418494823.76856,4418.494824,4.418495,607744256,0.32789,11.341705,11.669595,48896,10,4,4,128,32,46835,46835,2374001,4748002,145,50,2.0,772,27
9,BCSR OMP,O2,1169123514.781378,1169.123515,1.169124,75968032,0.068082,11.311007,11.379089,6112,10,2,2,16,8,46835,46835,2374001,4748002,145,50,2.0,772,27
10,BCSR OMP,O2,2184705917.572908,2184.705918,2.184706,75968032,0.036053,11.475573,11.511626,6112,10,16,16,16,8,46835,46835,2374001,4748002,145,50,2.0,772,27
11,BCSR OMP,O2,3727260965.662669,3727.260966,3.727261,303872128,0.086269,11.370506,11.456775,24448,10,2,2,64,8,46835,46835,2374001,4748002,145,50,2.0,772,27
12,BCSR OMP,O2,4675020270.81401,4675.020271,4.67502,303872128,0.065779,11.518287,11.584066,24448,10,16,16,64,8,46835,46835,2374001,4748002,145,50,2.0,772,27
13,BCSR OMP,O2,3680119112.096473,3680.119112,3.680119,607744256,0.201639,11.299658,11.501297,48896,10,2,2,128,8,46835,46835,2374001,4748002,145,50,2.0,772,27
14,BCSR OMP,O2,7793917636.755739,7793.917637,7.793918,607744256,0.078558,11.498268,11.576826,48896,10,16,16,128,8,46835,46835,2374001,4748002,145,50,2.0,772,27
15,BCSR OMP,O2,955995326.278044,955.995326,0.955995,75968032,0.095654,11.314987,11.410642,6112,10,2,2,16,16,46835,46835,2374001,4748002,145,50,2.0,772,27
16,BCSR OMP,O2,2575747518.753125,2575.747519,2.575748,75968032,0.046917,11.501397,11.548314,6112,10,16,16,16,16,46835,46835,2374001,4748002,145,50,2.0,772,27
17,BCSR OMP,O2,3849827175.529025,3849.827176,3.849827,303872128,0.105983,11.3447,11.450683,24448,10,2,2,64,16,46835,46835,2374001,4748002,145,50,2.0,772,27
18,BCSR OMP,O2,5070770227.422411,5070.770227,5.07077,303872128,0.069782,11.461093,11.530875,24448,10,16,16,64,16,46835,46835,2374001,4748002,145,50,2.0,772,27
19,BCSR OMP,O2,5072625152.992339,5072.625153,5.072625,607744256,0.137977,11.317822,11.455799,48896,10,2,2,128,16,46835,46835,2374001,4748002,145,50,2.0,772,27
20,BCSR OMP,O2,7039682813.846495,7039.682814,7.039683,607744256,0.094623,11.48001,11.574633,48896,10,16,16,128,16,46835,46835,2374001,4748002,145,50,2.0,772,27
21,BCSR OMP,O2,888130859.636134,888.13086,0.888131,75968032,0.146829,11.304131,11.45096,6112,10,2,2,16,32,46835,46835,2374001,4748002,145,50,2.0,772,27
22,BCSR OMP,O2,2127836714.074216,2127.836714,2.127837,75968032,0.073536,11.442183,11.515719,6112,10,16,16,16,32,46835,46835,2374001,4748002,145,50,2.0,772,27
23,BCSR OMP,O2,2813337901.256808,2813.337901,2.813338,303872128,0.164263,11.332891,11.497153,24448,10,2,2,64,32,46835,46835,2374001,4748002,145,50,2.0,772,27
24,BCSR OMP,O2,3647146657.195065,3647.146657,3.647147,303872128,0.170024,11.486021,11.656045,24448,10,16,16,64,32,46835,46835,2374001,4748002,145,50,2.0,772,27
25,BCSR OMP,O2,2906929106.055398,2906.929106,2.906929,607744256,0.369936,11.305254,11.67519,48896,10,2,2,128,32,46835,46835,2374001,4748002,145,50,2.0,772,27
26,BCSR OMP,O2,6197994913.208144,6197.994913,6.197995,607744256,0.179942,11.504152,11.684094,48896,10,16,16,128,32,46835,46835,2374001,4748002,145,50,2.0,772,27
