,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
0,BCSR Serial,O2,170360127.553026,170.360128,0.17036,4748002,0.027887,3.695674,3.723561,6112,10,2,2,16,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
1,BCSR Serial,O2,132793616.871872,132.793617,0.132794,4748002,0.035767,3.6689,3.704667,6112,10,4,4,16,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
2,BCSR Serial,O2,66415164.939915,66.415165,0.066415,4748002,0.071498,3.779593,3.851091,6112,10,16,16,16,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
3,BCSR Serial,O2,74366750.741887,74.366751,0.074367,4748002,0.063849,3.653444,3.717292,24448,10,2,2,64,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
4,BCSR Serial,O2,55087600.479426,55.0876,0.055088,4748002,0.086191,3.688786,3.774977,24448,10,4,4,64,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
5,BCSR Serial,O2,24373839.127447,24.373839,0.024374,4748002,0.194802,3.872442,4.067244,24448,10,16,16,64,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
6,BCSR Serial,O2,41974044.824821,41.974045,0.041974,4748002,0.11313,3.689986,3.803116,48896,10,2,2,128,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
7,BCSR Serial,O2,30185904.741397,30.185905,0.030186,4748002,0.157308,3.766284,3.923592,48896,10,4,4,128,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
8,BCSR Serial,O2,13115157.355489,13.115157,0.013115,4748002,0.362031,3.795274,4.157305,48896,10,16,16,128,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
9,BCSR Serial,O2,2919556680.087721,2919.55668,2.919557,75968032,0.026033,3.660142,3.686175,6112,10,2,2,16,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
10,BCSR Serial,O2,1258559792.848176,1258.559793,1.25856,75968032,0.060371,3.811189,3.87156,6112,10,16,16,16,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
11,BCSR Serial,O2,4890358172.183024,4890.358172,4.890358,303872128,0.062144,3.528019,3.590163,24448,10,2,2,64,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
12,BCSR Serial,O2,1708727093.142275,1708.727093,1.708727,303872128,0.177837,3.716812,3.894649,24448,10,16,16,64,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
13,BCSR Serial,O2,5809684918.497046,5809.684918,5.809685,607744256,0.104623,3.602883,3.707506,48896,10,2,2,128,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
14,BCSR Serial,O2,1885890438.34897,1885.890438,1.88589,607744256,0.322263,3.691901,4.014165,48896,10,16,16,128,-1,46835,46835,2374001,4748002,145,50,2.0,772,27
