Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsstk17 1x1,0.00244,7.524237,7.526677,1982.824424,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bcsstk17 1x1 -t 32,0.002118,7.42842,7.430538,30662.614693,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsstk17 1x1 (gpu),0.004499,7.375739,7.380239,45629.811118,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bcsstk17 2x2,0.00227,7.485746,7.488015,2540.173156,0,10,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
bcsstk17 2x2 -t 32,0.002387,7.431258,7.433645,30978.833002,0,10,2,2,16,32,5745898608,10974,10974,219812,108,20,79,8
bcsstk17 2x2 (gpu),0.004093,7.314195,7.318288,61712.06743,0,10,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
bcsstk17 4x4,0.002967,7.420726,7.423693,2857.302181,0,10,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bcsstk17 4x4 -t 32,0.003052,7.420073,7.423125,37449.204574,0,10,4,4,16,32,8464553472,10974,10974,219812,108,20,79,8
bcsstk17 4x4 (gpu),0.004194,7.281391,7.285585,64457.924387,0,10,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bcsstk17 16x16,0.007404,7.432081,7.439485,3209.504711,0,10,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
bcsstk17 16x16 -t 32,0.004278,7.321174,7.325452,34166.726251,0,10,16,16,16,32,23744575488,10974,10974,219812,108,20,79,8
bcsstk17 16x16 (gpu),0.003893,7.282255,7.286148,58802.690491,0,10,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
cant 1x1,0.022163,289.1642,289.186363,11471.235949,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
cant 1x1 -t 32,0.027644,286.736032,286.763676,10105.383903,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
cant 1x1 (gpu),0.037616,285.548553,285.586169,7910.716613,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
