Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsstk17 1x1,0.00244,7.524237,7.526677,1982.824424,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bcsstk17 2x2,0.00227,7.485746,7.488015,2540.173156,0,10,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
bcsstk17 4x4,0.002967,7.420726,7.423693,2857.302181,0,10,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bcsstk17 16x16,0.007404,7.432081,7.439485,3209.504711,0,10,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
cant 1x1,0.022163,289.1642,289.186363,11471.235949,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
cant 2x2,0.022975,288.02512,288.048095,14904.643126,0,10,2,2,16,-1,342384859656,62451,62451,2034917,40,32,54,7
cant 4x4,0.028991,284.234513,284.263504,16496.958058,0,10,4,4,16,-1,478122857568,62451,62451,2034917,40,32,54,7
cant 16x16,0.057151,283.692723,283.749874,18546.719741,0,10,16,16,16,-1,1059808458240,62451,62451,2034917,40,32,54,7
cop20k_A 1x1,0.061137,969.735261,969.796398,5400.67565,2387987,10,1,1,16,-1,330148095408,121192,121192,1362087,24,11,45,6
cop20k_A 2x2,0.069413,948.11834,948.187753,7459.433447,2387992,10,2,2,16,-1,517739010752,121192,121192,1362087,24,11,45,6
cop20k_A 4x4,0.136471,946.952436,947.088907,10281.481679,2387984,10,4,4,16,-1,1402751831808,121192,121192,1362087,24,11,45,6
cop20k_A 16x16,0.941534,945.863311,946.804845,14078.271717,2387983,10,16,16,16,-1,13255061839872,121192,121192,1362087,24,11,45,6
pdb1HYS 1x1,0.025066,108.747447,108.772513,6366.913672,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
pdb1HYS 2x2,0.022748,106.480887,106.503635,8219.593146,0,10,2,2,16,-1,186933413712,36417,36417,2190591,184,60,753,27
pdb1HYS 4x4,0.026502,106.254696,106.281198,9282.432813,0,10,4,4,16,-1,245955173952,36417,36417,2190591,184,60,753,27
pdb1HYS 16x16,0.050235,106.175661,106.225896,9829.469457,0,10,16,16,16,-1,493714300416,36417,36417,2190591,184,60,753,27
rma10 1x1,0.028374,170.599261,170.627635,7838.537715,0,10,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
rma10 2x2,0.029125,168.291145,168.32027,9863.861301,0,10,2,2,16,-1,287196716160,46835,46835,2374001,145,50,772,27
rma10 4x4,0.036168,168.584738,168.620906,11246.049414,0,10,4,4,16,-1,406688163040,46835,46835,2374001,145,50,772,27
rma10 16x16,0.081224,170.722349,170.803573,11791.434892,0,10,16,16,16,-1,957694069760,46835,46835,2374001,145,50,772,27
