Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O2,0.001264,0.309373,0.310637,5.592960,0,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
csr_serial_O2,0.001421,0.316213,0.317634,3411.199223,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
ell_serial_O2,0.007217,0.250017,0.257234,3608.474270,0,10,1,1,16,-1,26012594016,10974,10974,219812,108,20,79,8
bcsr_serial_O2,0.002440,7.524237,7.526677,1982.824424,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bell_serial_O2,0.001270,0.339567,0.340837,5.570341,113065,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O2,0.002270,7.485746,7.488015,2540.173156,0,10,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
bell_serial_O2,0.001397,0.343552,0.344949,5.065070,113065,10,2,2,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O2,0.002967,7.420726,7.423693,2857.302181,0,10,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bell_serial_O2,0.001503,0.353359,0.354862,4.706781,113065,10,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O2,0.007404,7.432081,7.439485,3209.504711,0,10,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
bell_serial_O2,0.001694,0.346776,0.348470,4.180295,113065,10,16,16,16,-1,7033984,10974,10974,219812,108,20,79,8
Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O2,0.012032,5.607841,5.619873,5.412558,0,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
csr_serial_O2,0.013108,5.583268,5.596376,19391.243247,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
ell_serial_O2,0.016803,5.819771,5.836574,18580.769695,0,10,1,1,16,-1,312010192080,62451,62451,2034917,40,32,54,7
bcsr_serial_O2,0.022163,289.164200,289.186363,11471.235949,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
bell_serial_O2,0.012068,5.854744,5.866812,5.396409,1510685,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O2,0.022975,288.025120,288.048095,14904.643126,0,10,2,2,16,-1,342384859656,62451,62451,2034917,40,32,54,7
bell_serial_O2,0.013665,5.790025,5.803690,4.779705,1510685,10,2,2,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O2,0.028991,284.234513,284.263504,16496.958058,0,10,4,4,16,-1,478122857568,62451,62451,2034917,40,32,54,7
bell_serial_O2,0.013354,5.560190,5.573544,4.878607,1510685,10,4,4,16,-1,65117344,62451,62451,2034917,40,32,54,7
bcsr_serial_O2,0.057151,283.692723,283.749874,18546.719741,0,10,16,16,16,-1,1059808458240,62451,62451,2034917,40,32,54,7
bell_serial_O2,0.013889,5.670701,5.684590,4.695525,1510685,10,16,16,16,-1,65117344,62451,62451,2034917,40,32,54,7
Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O2,0.054998,17.500345,17.555343,0.792602,0,10,1,1,16,-1,43586784,121192,121192,1362087,24,11,45,6
csr_serial_O2,0.056626,17.878033,17.934659,5831.428404,0,10,1,1,16,-1,330148095408,121192,121192,1362087,24,11,45,6
ell_serial_O2,0.072560,18.143387,18.215947,9718.630320,0,10,1,1,16,-1,705000041472,121192,121192,1362087,24,11,45,6
bcsr_serial_O2,0.061137,969.735261,969.796398,5400.675650,2387987,10,1,1,16,-1,330148095408,121192,121192,1362087,24,11,45,6
bell_serial_O2,0.055965,18.098912,18.154877,0.778942,1334311,10,1,1,16,-1,43586784,121192,121192,1362087,24,11,45,6
bcsr_serial_O2,0.069413,948.118340,948.187753,7459.433447,2387992,10,2,2,16,-1,517739010752,121192,121192,1362087,24,11,45,6
bell_serial_O2,0.060676,18.160394,18.221070,0.718453,1334311,10,2,2,16,-1,43586784,121192,121192,1362087,24,11,45,6
bcsr_serial_O2,0.136471,946.952436,947.088907,10281.481679,2387984,10,4,4,16,-1,1402751831808,121192,121192,1362087,24,11,45,6
bell_serial_O2,0.062561,18.137773,18.200334,0.696783,1334311,10,4,4,16,-1,43586784,121192,121192,1362087,24,11,45,6
bcsr_serial_O2,0.941534,945.863311,946.804845,14078.271717,2387983,10,16,16,16,-1,13255061839872,121192,121192,1362087,24,11,45,6
bell_serial_O2,0.062830,17.891445,17.954275,0.693783,1334311,10,16,16,16,-1,43586784,121192,121192,1362087,24,11,45,6
Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O2,0.013996,2.366145,2.380140,5.011522,0,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
csr_serial_O2,0.015045,2.391386,2.406431,10609.759114,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
ell_serial_O2,0.046334,2.650411,2.696745,10535.069884,0,10,1,1,16,-1,488040823152,36417,36417,2190591,184,60,753,27
bcsr_serial_O2,0.025066,108.747447,108.772513,6366.913672,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
bell_serial_O2,0.013574,2.599680,2.613254,5.167432,2141161,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
bcsr_serial_O2,0.022748,106.480887,106.503635,8219.593146,0,10,2,2,16,-1,186933413712,36417,36417,2190591,184,60,753,27
bell_serial_O2,0.015266,2.597789,2.613055,4.597071,2141161,10,2,2,16,-1,70098912,36417,36417,2190591,184,60,753,27
