Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsstk17 1,0.00127,0.339567,0.340837,5.570341,113065,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsstk17 2,0.001397,0.343552,0.344949,5.06507,113065,10,2,2,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsstk17 4,0.001503,0.353359,0.354862,4.706781,113065,10,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsstk17 16,0.001694,0.346776,0.34847,4.180295,113065,10,16,16,16,-1,7033984,10974,10974,219812,108,20,79,8
cant 1,0.012068,5.854744,5.866812,5.396409,1510685,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
cant 2,0.013665,5.790025,5.80369,4.779705,1510685,10,2,2,16,-1,65117344,62451,62451,2034917,40,32,54,7
cant 4,0.013354,5.56019,5.573544,4.878607,1510685,10,4,4,16,-1,65117344,62451,62451,2034917,40,32,54,7
cant 16,0.013889,5.670701,5.68459,4.695525,1510685,10,16,16,16,-1,65117344,62451,62451,2034917,40,32,54,7
cop20k_a 1,0.055965,18.098912,18.154877,0.778942,1334311,10,1,1,16,-1,43586784,121192,121192,1362087,24,11,45,6
cop20k_a 2,0.060676,18.160394,18.22107,0.718453,1334311,10,2,2,16,-1,43586784,121192,121192,1362087,24,11,45,6
cop20k_a 4,0.062561,18.137773,18.200334,0.696783,1334311,10,4,4,16,-1,43586784,121192,121192,1362087,24,11,45,6
cop20k_a 16,0.06283,17.891445,17.954275,0.693783,1334311,10,16,16,16,-1,43586784,121192,121192,1362087,24,11,45,6
pdb1hys 1,0.013574,2.59968,2.613254,5.167432,2141161,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
pdb1hys 2,0.015266,2.597789,2.613055,4.597071,2141161,10,2,2,16,-1,70098912,36417,36417,2190591,184,60,753,27
pdb1hys 4,0.016185,2.600598,2.616783,4.334786,2141161,10,4,4,16,-1,70098912,36417,36417,2190591,184,60,753,27
pdb1hys 16,0.018421,2.5869,2.605321,3.807969,2141161,10,16,16,16,-1,70098912,36417,36417,2190591,184,60,753,27
rma10 1,0.017658,3.708328,3.725986,4.302698,1703782,10,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
rma10 2,0.020164,3.70513,3.725294,3.767653,1703782,10,2,2,16,-1,75968032,46835,46835,2374001,145,50,772,27
rma10 4,0.022494,3.662686,3.68518,3.377677,1703782,10,4,4,16,-1,75968032,46835,46835,2374001,145,50,772,27
rma10 16,0.030591,3.668253,3.698844,2.705937,1703782,10,16,16,16,-1,75968032,46835,46835,2374001,145,50,772,27
