Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsstk17 -t 8,0.007272,0.304767,0.312039,96.083088,0,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bcsstk17 -t 16,0.002967,0.203937,0.206904,99.602723,0,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bcsstk17 -t 32,0.001648,0.202553,0.204201,97.001409,0,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
cant -t 8,0.022511,5.076009,5.09852,3.112252,0,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
cant -t 16,0.022439,5.29213,5.314569,3.443651,0,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
cant -t 32,0.021928,5.266453,5.288381,3.700672,0,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
cop20k_A -t 8,0.027593,17.566275,17.593868,1.98341,0,10,1,1,16,8,43586784,121192,121192,1362087,24,11,45,6
cop20k_A -t 16,0.027585,17.532252,17.559837,1.826236,0,10,1,1,16,16,43586784,121192,121192,1362087,24,11,45,6
cop20k_A -t 32,0.030804,17.530803,17.561607,1.690726,0,10,1,1,16,32,43586784,121192,121192,1362087,24,11,45,6
pdb1HYS -t 8,0.009377,2.335037,2.344414,90.613511,0,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
pdb1HYS -t 16,0.008728,2.32542,2.334148,121.68616,0,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
pdb1HYS -t 32,0.007777,2.322763,2.33054,123.288794,0,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
rma10 -t 8,0.014073,3.381685,3.395758,11.305259,0,10,1,1,16,8,75968032,46835,46835,2374001,145,50,772,27
rma10 -t 16,0.016603,3.38739,3.403992,7.624384,0,10,1,1,16,16,75968032,46835,46835,2374001,145,50,772,27
rma10 -t 32,0.015601,3.395151,3.410752,7.960906,0,10,1,1,16,32,75968032,46835,46835,2374001,145,50,772,27
