Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsstk17 -t 8,0.002169,0.29449,0.296659,11163.961825,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsstk17 -t 16,0.002103,0.306275,0.308378,11699.216799,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsstk17 -t 32,0.001233,0.206274,0.207507,23884.852677,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
cant -t 8,0.033587,5.126728,5.160315,7640.154162,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
cant -t 16,0.025943,5.324307,5.35025,10262.786144,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
cant -t 32,0.02498,5.32222,5.3472,10929.985616,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
cop20k_A -t 8,0.047423,17.560655,17.608078,6980.901248,0,10,1,1,16,8,330148095408,121192,121192,1362087,24,11,45,6
cop20k_A -t 16,0.035411,17.493075,17.528487,9509.519522,0,10,1,1,16,16,330148095408,121192,121192,1362087,24,11,45,6
cop20k_A -t 32,0.030439,17.628189,17.658628,11470.392499,0,10,1,1,16,32,330148095408,121192,121192,1362087,24,11,45,6
pdb1HYS -t 8,0.010977,2.336066,2.347043,48923.473752,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
pdb1HYS -t 16,0.008398,2.324732,2.33313,89627.950996,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
pdb1HYS -t 32,0.009007,2.307775,2.316782,143676.910467,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
rma10 -t 8,0.022883,3.365974,3.388857,17269.605575,0,10,1,1,16,8,222372673670,46835,46835,2374001,145,50,772,27
rma10 -t 16,0.011801,3.363127,3.374928,42056.855945,0,10,1,1,16,16,222372673670,46835,46835,2374001,145,50,772,27
rma10 -t 32,0.022851,3.400688,3.423538,17575.436346,0,10,1,1,16,32,222372673670,46835,46835,2374001,145,50,772,27
