Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsstk -t 8,0.005484,0.326439,0.331923,15125.173083,0,10,1,1,16,8,26012594016,10974,10974,219812,108,20,79,8
bcsstk -t 16,0.004149,0.242218,0.246367,20346.357177,0,10,1,1,16,16,26012594016,10974,10974,219812,108,20,79,8
bcsstk -t 32,0.00333,0.25406,0.25739,35788.081978,0,10,1,1,16,32,26012594016,10974,10974,219812,108,20,79,8
cant -t 8,0.037438,5.450302,5.48774,8364.901542,0,10,1,1,16,8,312010192080,62451,62451,2034917,40,32,54,7
cant -t 16,0.024205,5.566438,5.590643,15344.920947,0,10,1,1,16,16,312010192080,62451,62451,2034917,40,32,54,7
cant -t 32,0.025418,5.539818,5.565236,13085.564379,0,10,1,1,16,32,312010192080,62451,62451,2034917,40,32,54,7
cop20k_A -t 8,0.057514,17.414816,17.47233,12486.994416,0,10,1,1,16,8,705000041472,121192,121192,1362087,24,11,45,6
cop20k_A -t 16,0.042586,18.16588,18.208466,17038.336166,0,10,1,1,16,16,705000041472,121192,121192,1362087,24,11,45,6
cop20k_A -t 32,0.031964,17.48532,17.517284,23383.212736,0,10,1,1,16,32,705000041472,121192,121192,1362087,24,11,45,6
pdb1HYS -t 8,0.020055,2.596255,2.61631,49043.718503,0,10,1,1,16,8,488040823152,36417,36417,2190591,184,60,753,27
pdb1HYS -t 16,0.013508,2.471897,2.485405,103960.31676,0,10,1,1,16,16,488040823152,36417,36417,2190591,184,60,753,27
pdb1HYS -t 32,0.020107,2.489026,2.509133,120240.698906,0,10,1,1,16,32,488040823152,36417,36417,2190591,184,60,753,27
rma10 -t 8,0.027599,3.681779,3.709377,29491.975536,0,10,1,1,16,8,636119995250,46835,46835,2374001,145,50,772,27
rma10 -t 16,0.024027,3.636093,3.66012,42960.899797,0,10,1,1,16,16,636119995250,46835,46835,2374001,145,50,772,27
rma10 -t 32,0.032953,3.652017,3.684969,25091.879493,0,10,1,1,16,32,636119995250,46835,46835,2374001,145,50,772,27
