Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O2,0.017264,16.215523,16.232787,4.186268,2141161,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O2,81.855301,15.948484,97.803785,0.000856,2141161,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.009553,15.075757,15.085310,7.429676,2141161,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O2,41.465259,16.056588,57.521847,0.001691,2141161,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.008034,15.077915,15.085950,10.794137,2141161,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O2,21.837602,16.015606,37.853208,0.003210,2141161,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.014676,16.006024,16.020700,4.858654,2141161,10,2,2,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O2,85.630522,16.008344,101.638866,0.000819,2141161,10,2,2,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.009353,15.085716,15.095069,8.259605,2141161,10,2,2,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O2,43.465580,15.943189,59.408769,0.001613,2141161,10,2,2,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.007807,15.090537,15.098345,10.761158,2141161,10,2,2,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O2,22.876940,15.972231,38.849171,0.003064,2141161,10,2,2,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.018873,15.085699,15.104572,3.877566,2141161,10,4,4,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O2,92.605041,16.037685,108.642726,0.000757,2141161,10,4,4,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.010697,15.085243,15.095940,6.618502,2141161,10,4,4,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O2,46.946104,16.040417,62.986521,0.001493,2141161,10,4,4,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.008777,15.075212,15.083989,9.522519,2141161,10,4,4,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O2,24.695888,15.991286,40.687173,0.002839,2141161,10,4,4,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.020922,16.011736,16.032658,3.503796,2141161,10,16,16,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O2,110.853750,16.017593,126.871343,0.000632,2141161,10,16,16,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.012076,15.092275,15.104351,5.840256,2141161,10,16,16,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O2,56.138834,16.006348,72.145182,0.001249,2141161,10,16,16,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O2,0.008631,15.103989,15.112620,8.982253,2141161,10,16,16,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O2,29.564614,16.052236,45.616851,0.002371,2141161,10,16,16,16,32,70098912,36417,36417,2190591,184,60,753,27
