Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo,0.021928,5.266453,5.288381,3.700672,0,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
csr,0.02498,5.32222,5.3472,10929.985616,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
ell,0.025418,5.539818,5.565236,13085.564379,0,10,1,1,16,32,312010192080,62451,62451,2034917,40,32,54,7
bcsr 1x1,0.027644,286.736032,286.763676,10105.383903,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr 2x2,0.026982,284.806733,284.833715,13787.156553,0,10,2,2,16,32,342384859656,62451,62451,2034917,40,32,54,7
bcsr 4x4,0.03231,282.741418,282.773728,15630.762066,0,10,4,4,16,32,478122857568,62451,62451,2034917,40,32,54,7
bcsr 16x16,0.044574,283.948722,283.993296,24492.071976,0,10,16,16,16,32,1059808458240,62451,62451,2034917,40,32,54,7
bell 1,0.019493,5.647867,5.66736,3.732457,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell 2,0.019966,5.632285,5.652251,3.621741,1510685,10,2,2,16,32,65117344,62451,62451,2034917,40,32,54,7
bell 4,0.022053,5.647249,5.669302,3.236405,1510685,10,4,4,16,32,65117344,62451,62451,2034917,40,32,54,7
bell 16,0.022722,5.612423,5.635145,3.135152,1510685,10,16,16,16,32,65117344,62451,62451,2034917,40,32,54,7
