Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo,0.030804,17.530803,17.561607,1.690726,0,10,1,1,16,32,43586784,121192,121192,1362087,24,11,45,6
csr,0.030439,17.628189,17.658628,11470.392499,0,10,1,1,16,32,330148095408,121192,121192,1362087,24,11,45,6
ell,0.031964,17.48532,17.517284,23383.212736,0,10,1,1,16,32,705000041472,121192,121192,1362087,24,11,45,6
bcsr 1x1,0.025932,972.063532,972.089464,13653.996316,2387987,10,1,1,16,32,330148095408,121192,121192,1362087,24,11,45,6
bcsr 2x2,0.031633,957.594488,957.626121,17137.675465,2387992,10,2,2,16,32,517739010752,121192,121192,1362087,24,11,45,6
bcsr 4x4,0.046245,947.498358,947.544603,31290.18504,2387984,10,4,4,16,32,1402751831808,121192,121192,1362087,24,11,45,6
bcsr 16x16,0.144085,943.116435,943.26052,92491.032116,2387983,10,16,16,16,32,13255061839872,121192,121192,1362087,24,11,45,6
bell 1,0.025748,17.979799,18.005547,1.798295,1334311,10,1,1,16,32,43586784,121192,121192,1362087,24,11,45,6
bell 2,0.028617,17.897936,17.926553,1.612803,1334311,10,2,2,16,32,43586784,121192,121192,1362087,24,11,45,6
bell 4,0.030824,17.748011,17.778835,1.495563,1334311,10,4,4,16,32,43586784,121192,121192,1362087,24,11,45,6
bell 16,0.030766,18.319537,18.350303,1.505484,1334311,10,16,16,16,32,43586784,121192,121192,1362087,24,11,45,6
