Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo (serial),0.013996,2.366145,2.38014,5.011522,0,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
coo,0.007777,2.322763,2.33054,123.288794,0,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
coo (gpu),0.009215,2.367883,2.377098,93.386255,2772204,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
csr (serial),0.015045,2.391386,2.406431,10609.759114,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
csr,0.009007,2.307775,2.316782,143676.910467,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
csr (gpu),0.009144,2.378599,2.387743,198257.398737,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
ell (serial),0.046334,2.650411,2.696745,10535.069884,0,10,1,1,16,-1,488040823152,36417,36417,2190591,184,60,753,27
ell,0.020107,2.489026,2.509133,120240.698906,0,10,1,1,16,32,488040823152,36417,36417,2190591,184,60,753,27
ell (gpu),0.012426,2.647443,2.659869,211644.502066,0,10,1,1,16,-1,488040823152,36417,36417,2190591,184,60,753,27
bcsr 1x1 (serial),0.025066,108.747447,108.772513,6366.913672,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
bcsr 1x1,0.009089,109.446642,109.455731,109492.229712,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bcsr 1x1 (gpu),0.009071,109.934363,109.943434,157525.574158,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
bcsr 2x2 (serial),0.022748,106.480887,106.503635,8219.593146,0,10,2,2,16,-1,186933413712,36417,36417,2190591,184,60,753,27
bcsr 2x2,0.009362,107.890699,107.900061,144303.997083,0,10,2,2,16,32,186933413712,36417,36417,2190591,184,60,753,27
bcsr 2x2 (gpu),0.009109,107.986471,107.99558,235930.906136,0,10,2,2,16,-1,186933413712,36417,36417,2190591,184,60,753,27
bcsr 4x4 (serial),0.026502,106.254696,106.281198,9282.432813,0,10,4,4,16,-1,245955173952,36417,36417,2190591,184,60,753,27
bcsr 4x4,0.019453,104.780659,104.800111,73877.717352,0,10,4,4,16,32,245955173952,36417,36417,2190591,184,60,753,27
bcsr 4x4 (gpu),0.012776,106.914677,106.927453,177029.720292,0,10,4,4,16,-1,245955173952,36417,36417,2190591,184,60,753,27
bcsr 16x16 (serial),0.050235,106.175661,106.225896,9829.469457,0,10,16,16,16,-1,493714300416,36417,36417,2190591,184,60,753,27
bcsr 16x16,0.020894,107.101369,107.122263,104055.325982,0,10,16,16,16,32,493714300416,36417,36417,2190591,184,60,753,27
bcsr 16x16 (gpu),0.012373,107.466432,107.478805,225898.762583,0,10,16,16,16,-1,493714300416,36417,36417,2190591,184,60,753,27
bell 1 (serial),0.013574,2.59968,2.613254,5.167432,2141161,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell 1,0.008439,2.632175,2.640614,75.136895,2141161,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
bell 1 (gpu),0.008093,2.601066,2.609159,90.568964,2141161,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell 2 (serial),0.015266,2.597789,2.613055,4.597071,2141161,10,2,2,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell 2,0.007321,2.595651,2.602972,68.450394,2141161,10,2,2,16,32,70098912,36417,36417,2190591,184,60,753,27
bell 2 (gpu),0.009666,2.60963,2.619297,72.768129,2141161,10,2,2,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell 4 (serial),0.016185,2.600598,2.616783,4.334786,2141161,10,4,4,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell 4,0.008265,2.630718,2.638983,60.780368,2141161,10,4,4,16,32,70098912,36417,36417,2190591,184,60,753,27
bell 4 (gpu),0.009002,2.628659,2.637661,78.248985,2141161,10,4,4,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell 16 (serial),0.018421,2.5869,2.605321,3.807969,2141161,10,16,16,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell 16,0.00878,2.637773,2.646553,51.49741,2141161,10,16,16,16,32,70098912,36417,36417,2190591,184,60,753,27
bell 16 (gpu),0.014858,2.656546,2.671404,57.324615,2141161,10,16,16,16,-1,70098912,36417,36417,2190591,184,60,753,27
